
[00:00:00.000 --> 00:00:02.000]  大興姐妹平安
[00:00:02.000 --> 00:00:04.000]  好了 今天我們
[00:00:04.000 --> 00:00:06.000]  去到《約翰福音》第20章
[00:00:06.000 --> 00:00:08.000]  那都是
[00:00:08.000 --> 00:00:10.000]  講完今天 講完下次
[00:00:10.000 --> 00:00:12.000]  我們就講完《約翰福音》了
[00:00:12.000 --> 00:00:14.000]  不知道大家會不會覺得
[00:00:14.000 --> 00:00:16.000]  好像走了很遠的路
[00:00:16.000 --> 00:00:18.000]  看《約翰福音》看了很久
[00:00:18.000 --> 00:00:20.000]  但是都是一個
[00:00:20.000 --> 00:00:22.000]  很好的一個
[00:00:22.000 --> 00:00:24.000]  運動 一個習促
[00:00:24.000 --> 00:00:26.000]  讓我們一齊思想《約翰福音》
[00:00:26.000 --> 00:00:28.000]  我們一齊低頭祈禱
[00:00:28.000 --> 00:00:30.000]  天父願祢自己教導我們
[00:00:30.000 --> 00:00:32.000]  願祢的說話
[00:00:32.000 --> 00:00:34.000]  再一次的提醒我們
[00:00:34.000 --> 00:00:36.000]  今天祢要我們去明白的
[00:00:36.000 --> 00:00:38.000]  今天祢要我們思想的
[00:00:38.000 --> 00:00:40.000]  要我們去立志跟從的
[00:00:40.000 --> 00:00:42.000]  願祢開我們的心
[00:00:42.000 --> 00:00:44.000]  讓我們去聽得明白
[00:00:44.000 --> 00:00:46.000]  亦都心悅誠服的跟從
[00:00:46.000 --> 00:00:48.000]  憑祢所祈禱的名祈求 阿們
[00:00:48.000 --> 00:00:52.000]  上一次就講到
[00:00:52.000 --> 00:00:54.000]  主耶穌基本上就
[00:00:54.000 --> 00:00:56.000]  已經復活了
[00:00:56.000 --> 00:00:58.000]  馬利亞是第一個
[00:00:58.000 --> 00:01:00.000]  已經見了耶穌復活
[00:01:00.000 --> 00:01:02.000]  見了耶穌復活之後
[00:01:02.000 --> 00:01:04.000]  他就回去跟那些門徒講
[00:01:04.000 --> 00:01:06.000]  但其實那些門徒都不太相信
[00:01:06.000 --> 00:01:08.000]  他們都不相信
[00:01:08.000 --> 00:01:10.000]  所以呢他們
[00:01:10.000 --> 00:01:12.000]  一開始的時候
[00:01:12.000 --> 00:01:14.000]  你就看到他們仍然都很害怕
[00:01:14.000 --> 00:01:16.000]  他們就很害怕
[00:01:16.000 --> 00:01:18.000]  就躲起來了
[00:01:18.000 --> 00:01:20.000]  他說門都關了
[00:01:20.000 --> 00:01:22.000]  他們因為怕猶太人
[00:01:22.000 --> 00:01:24.000]  所以這個是一個
[00:01:24.000 --> 00:01:26.000]  基本上都是一個
[00:01:26.000 --> 00:01:28.000]  非常合理的
[00:01:28.000 --> 00:01:30.000]  一個懼怕
[00:01:30.000 --> 00:01:32.000]  因為耶穌基督是
[00:01:32.000 --> 00:01:34.000]  被羅馬人
[00:01:34.000 --> 00:01:36.000]  釘十字架的時候
[00:01:36.000 --> 00:01:38.000]  那個罪名就是
[00:01:38.000 --> 00:01:40.000]  猶太人的王
[00:01:40.000 --> 00:01:42.000]  意思就是一個政治犯
[00:01:42.000 --> 00:01:44.000]  是一個革命份子
[00:01:44.000 --> 00:01:46.000]  當一個政治犯
[00:01:46.000 --> 00:01:48.000]  是一個革命份子的時候
[00:01:48.000 --> 00:01:50.000]  很多人都會
[00:01:50.000 --> 00:01:52.000]  怕受牽連
[00:01:52.000 --> 00:01:54.000]  就是如果你
[00:01:54.000 --> 00:01:56.000]  反而你做那些
[00:01:56.000 --> 00:01:58.000]  大賊
[00:01:58.000 --> 00:02:00.000]  殺人那些
[00:02:00.000 --> 00:02:02.000]  上一次都有講過
[00:02:02.000 --> 00:02:04.000]  就是你的家人朋友
[00:02:04.000 --> 00:02:06.000]  可能都敢探你監
[00:02:06.000 --> 00:02:08.000]  但如果你做政治犯
[00:02:08.000 --> 00:02:10.000]  很多人都不敢探你監
[00:02:10.000 --> 00:02:12.000]  因為
[00:02:12.000 --> 00:02:14.000]  這個是會受牽連
[00:02:14.000 --> 00:02:16.000]  這個是很大件事
[00:02:16.000 --> 00:02:18.000]  所以呢門徒當時來講
[00:02:18.000 --> 00:02:20.000]  他們都是懼怕
[00:02:20.000 --> 00:02:22.000]  他們把門都關了
[00:02:22.000 --> 00:02:24.000]  那
[00:02:24.000 --> 00:02:26.000]  那就
[00:02:26.000 --> 00:02:28.000]  而這次
[00:02:28.000 --> 00:02:30.000]  耶穌自己已經
[00:02:30.000 --> 00:02:32.000]  上一次祂
[00:02:32.000 --> 00:02:34.000]  耶穌的復活的顯現
[00:02:34.000 --> 00:02:36.000]  上一次已經講過
[00:02:36.000 --> 00:02:38.000]  是一個意料之外的復活來的
[00:02:38.000 --> 00:02:40.000]  就是意料之外的顯現來的
[00:02:40.000 --> 00:02:42.000]  祂不打算
[00:02:42.000 --> 00:02:44.000]  向任何人顯現的
[00:02:44.000 --> 00:02:46.000]  所以上一次你都見到
[00:02:46.000 --> 00:02:48.000]  耶穌是想叫天使都出現
[00:02:48.000 --> 00:02:50.000]  叫瑪利亞走
[00:02:50.000 --> 00:02:52.000]  是不是
[00:02:52.000 --> 00:02:54.000]  瑪利亞不肯走
[00:02:54.000 --> 00:02:56.000]  那耶穌就
[00:02:56.000 --> 00:02:58.000]  做了一個
[00:02:58.000 --> 00:03:00.000]  祂原本計劃之外的顯現
[00:03:00.000 --> 00:03:02.000]  而所以祂顯現
