
[00:00:00.000 --> 00:00:03.000]  丁字妹主來平安
[00:00:03.000 --> 00:00:06.000]  我們一齊同心禱告
[00:00:06.000 --> 00:00:10.000]  耶和華你是我們的目者
[00:00:10.000 --> 00:00:13.000]  我們在你裏面一無所缺
[00:00:13.000 --> 00:00:20.000]  主願以詩篇二十三篇再一次帶領我們的心向你
[00:00:20.000 --> 00:00:23.000]  因為你是我們的目者
[00:00:23.000 --> 00:00:28.000]  我們在你那裏找到安穩的帶領
[00:00:28.000 --> 00:00:31.000]  現在我們打開你的說話
[00:00:31.000 --> 00:00:34.000]  一同來去思想
[00:00:34.000 --> 00:00:36.000]  求聖靈引導我們
[00:00:36.000 --> 00:00:40.000]  在當中我們有亮光去明白
[00:00:40.000 --> 00:00:44.000]  以上禱告奉主耶穌基督的聖名祈求
[00:00:44.000 --> 00:00:45.000]  阿們
[00:00:45.000 --> 00:00:52.000]  我首先想給一張照片大家看看
[00:00:52.000 --> 00:00:55.000]  你看到這張照片之後你有什麼感覺
[00:00:56.000 --> 00:00:58.000]  我也試過給好幾個人看
[00:00:58.000 --> 00:01:05.000]  基本上大家都覺得這張照片可能給出來的感覺就是寧靜
[00:01:05.000 --> 00:01:07.000]  祥和
[00:01:07.000 --> 00:01:09.000]  一種很穩妥
[00:01:09.000 --> 00:01:13.000]  很靜的感覺
[00:01:13.000 --> 00:01:16.000]  當我讀到詩篇一百三十一篇
[00:01:16.000 --> 00:01:19.000]  在預備今天的講章的時候
[00:01:19.000 --> 00:01:28.000]  我腦海裏面就呈現這張我十年前在紐西蘭拍的照片
[00:01:28.000 --> 00:01:30.000]  在詩篇一百三十一篇裏面
[00:01:30.000 --> 00:01:33.000]  詩人所描述的內心世界
[00:01:33.000 --> 00:01:37.000]  沒有一個很長長的清單
[00:01:37.000 --> 00:01:43.000]  列舉了他當日或者他那一個月需要完成所有的事情
[00:01:43.000 --> 00:01:46.000]  沒有一個to do list在裏面
[00:01:46.000 --> 00:01:52.000]  他心裏面沒有太多的煩躁和焦慮
[00:01:52.000 --> 00:01:57.000]  詩人的心裏面只有上帝
[00:01:57.000 --> 00:02:01.000]  究竟是什麼原因使詩人有這份安穩
[00:02:01.000 --> 00:02:05.000]  能夠令他心如止水
[00:02:05.000 --> 00:02:08.000]  謙卑來信靠上帝呢
[00:02:08.000 --> 00:02:12.000]  或者現在就讓我們一起來看詩篇一百三十一篇
[00:02:12.000 --> 00:02:16.000]  一同去思想尋找這個答案
[00:02:16.000 --> 00:02:21.000]  我請大家一同打開詩篇一百三十一篇
[00:02:21.000 --> 00:02:26.000]  在教會的聖經舊約部份第八百一十三篇
[00:02:26.000 --> 00:02:30.000]  找到的我希望和大家一齊讀出
[00:02:30.000 --> 00:02:33.000]  詩篇一百三十一篇
[00:02:33.000 --> 00:02:34.000]  第一節請
[00:02:34.000 --> 00:02:44.000]  耶和華 我的心不狂傲 我的眼不高大 重大和測不透的事 我也不敢行
[00:02:44.000 --> 00:02:53.000]  我的心平穩安靜 好像斷過賴的孩子 在他母親的懷中
[00:02:53.000 --> 00:02:58.000]  我的心在我裏面 真像斷過賴的孩子
[00:02:58.000 --> 00:03:06.000]  以色列 你當仰望耶和華 從今時直到永遠
[00:03:06.000 --> 00:03:09.000]  這篇詩篇一開始的時候
[00:03:09.000 --> 00:03:14.000]  詩人就用了三個的不來形容他自己的心態
[00:03:14.000 --> 00:03:20.000]  是不狂傲 不高大 和不敢行
[00:03:20.000 --> 00:03:23.000]  如果我用新普及譯本這樣翻譯
[00:03:23.000 --> 00:03:28.000]  上主啊 我的心不驕傲 我的眼也不高傲
[00:03:28.000 --> 00:03:36.000]  太大 太奇妙 非我能把握的事 我都不去做
[00:03:36.000 --> 00:03:39.000]  在希伯來人的心裏面
[00:03:39.000 --> 00:03:41.000]  他的描述就是
[00:03:41.000 --> 00:03:46.000]  心就是指人的頭腦 人的mind
[00:03:46.000 --> 00:03:55.000]  心和眼就是指女和愛 意思就是指整個人的心思意念和行為
[00:03:55.000 --> 00:03:59.000]  如果我嘗試將這三個不反過來
[00:03:59.000 --> 00:04:02.000]  用一個相反的意思來講的時候
