
[00:00:00.000 --> 00:00:01.780]  各位親愛的師父 讓我們先聽神的導議
[00:00:01.780 --> 00:00:03.060]  讓我們先同心同意
[00:00:03.060 --> 00:00:06.400]  願意姐妹讓我們清神道之前先禱告
[00:00:06.400 --> 00:00:09.980]  親愛的師父 多謝您讓我們能夠再次打開您的說話
[00:00:09.980 --> 00:00:13.060]  讓我們有生命的起色來到當中
[00:00:13.060 --> 00:00:16.900]  去明白主您的心 明白主您的行事
[00:00:16.900 --> 00:00:19.460]  讓我們能夠知道怎樣與神同行
[00:00:19.460 --> 00:00:22.260]  再次將這段寶貴的時間交上
[00:00:22.260 --> 00:00:25.440]  讓我們真是全神貫注的在您的當中
[00:00:25.440 --> 00:00:28.300]  等候聆聽主您的說話
[00:00:28.300 --> 00:00:32.900]  再次為我們介紹出您與我們同行的特色
[00:00:32.900 --> 00:00:34.140]  求您與我們同在
[00:00:34.140 --> 00:00:36.640]  讓我們更加懂得去掌握
[00:00:36.640 --> 00:00:39.700]  將見證活在這個地上
[00:00:39.700 --> 00:00:44.420]  親愛的師父 感謝您讓我們有生命的起色來到您的身邊
[00:00:44.420 --> 00:00:47.180]  再次一同打開主您的話語
[00:00:47.180 --> 00:00:49.860]  來到書上 想您怎樣與我們同行
[00:00:49.860 --> 00:00:52.580]  我們再次把這段時間恭敬交上
[00:00:52.580 --> 00:00:55.020]  求您的幫助 透過您的話語
[00:00:55.020 --> 00:01:00.300]  讓我們明白您是怎樣帶領須領我們走面前的道路
[00:01:00.300 --> 00:01:02.540]  我們禱告封住耶穌的名臣
[00:01:02.540 --> 00:01:04.800]  Amen
[00:01:04.800 --> 00:01:08.140]  今天在基督教裏面
[00:01:08.140 --> 00:01:12.180]  經常都說全福音全道這個事情
[00:01:12.180 --> 00:01:16.480]  今天在基督教裏經常講說傳福音這個事情
[00:01:16.480 --> 00:01:17.880]  不過我們也留意到
[00:01:17.880 --> 00:01:21.620]  現在有兩個習慣在全福音上面
[00:01:21.620 --> 00:01:25.320]  不過留意其實可以看到有兩個習慣在傳福音
[00:01:25.320 --> 00:01:27.460]  第一個情況就是什麼呢?
[00:01:27.460 --> 00:01:28.560]  第一個是什麼呢?
[00:01:28.560 --> 00:01:34.200]  就是我們將一些本來不是全道真正的動機
[00:01:34.200 --> 00:01:37.900]  我們將一些不是真正的動機傳到動機
[00:01:37.900 --> 00:01:40.100]  成為了全道的動機
[00:01:40.100 --> 00:01:42.040]  而設成傳到動機
[00:01:42.040 --> 00:01:44.740]  最近我和一對弟兄姊妹傾談的時候
[00:01:44.740 --> 00:01:46.540]  就跟他說
[00:01:46.540 --> 00:01:48.980]  聖經其實成本想講些什麼
[00:01:48.980 --> 00:01:51.820]  你可不可以用一句說話告訴我?
[00:01:51.820 --> 00:01:55.180]  最近我跟一對夫婦來分享的時候說
[00:01:55.180 --> 00:01:57.260]  整本聖經都要講什麼呢?
[00:01:57.260 --> 00:01:59.620]  你可不可以用一句話來解釋呢?
[00:01:59.620 --> 00:02:02.220]  哇!他說很難啊牧師
