
[00:00:00.000 --> 00:00:01.600]  (主席)弟兄姊妹早晨
[00:00:01.600 --> 00:00:06.900]  特別是在大堂或是在副堂的弟兄姊妹
[00:00:06.900 --> 00:00:09.900]  或是在鏡頭前的弟兄姊妹來問安
[00:00:09.900 --> 00:00:12.200]  今天大家回到教會覺得很美麗
[00:00:12.200 --> 00:00:15.600]  我們佈置了這麼美麗的聖景
[00:00:15.600 --> 00:00:17.900]  我自己也有很大的感受,是很美麗
[00:00:17.900 --> 00:00:20.700]  但如果回想起耶穌降生之前
[00:00:20.700 --> 00:00:23.500]  我們現在叫「張臨期」,是等候主回來
[00:00:23.500 --> 00:00:27.300]  那時候是活在黑暗的世代裏面
[00:00:27.300 --> 00:00:29.500]  當時的人是很痛苦
[00:00:29.500 --> 00:00:32.900]  因為神有四百年沒有跟他們說話
[00:00:32.900 --> 00:00:36.900]  在政治上的壓力下,他們民不聊生
[00:00:36.900 --> 00:00:42.100]  所以他們很盼望救世主彌賽,快點降臨
[00:00:42.100 --> 00:00:46.700]  其實我覺得我們現在也是在另類的「張臨期」裏面
[00:00:46.700 --> 00:00:49.500]  我們也是在等候主回來
[00:00:49.500 --> 00:00:54.900]  上一次和大家去看了《以西傑書》第三十四章
[00:00:54.900 --> 00:01:00.300]  很清楚講到今天主耶穌基督會再來到這個世上
[00:01:00.300 --> 00:01:02.900]  作一個大牧人,作君王
[00:01:02.900 --> 00:01:07.300]  去以公義來管理這個世界
[00:01:07.300 --> 00:01:09.300]  然後世界大同
[00:01:09.300 --> 00:01:12.300]  但我們也不要只是盼望主回來
[00:01:12.300 --> 00:01:14.300]  因為主回來的時候會審判
[00:01:14.300 --> 00:01:16.900]  審判才從神的家開始
[00:01:16.900 --> 00:01:21.300]  所以我們不只是盼望,我們也需要來等候
[00:01:21.300 --> 00:01:25.300]  其實神利達透過這個聖景也給我們提醒
[00:01:25.300 --> 00:01:28.300]  因為我知道有這麼漂亮的聖景和紫色的燈
[00:01:28.300 --> 00:01:30.300]  所以今天有人說你很紫
[00:01:30.300 --> 00:01:33.300]  我是特意穿的衣服和打的領帶
[00:01:33.300 --> 00:01:37.300]  全部都是配合這個環境
[00:01:37.300 --> 00:01:42.300]  這時候也有幾年沒有穿這件冥恩堂的衣服
[00:01:42.300 --> 00:01:44.300]  其實也有意思
