
[00:00:00.000 --> 00:00:03.840]  今日我哋會開始一個舊約人物嘅系列
[00:00:03.840 --> 00:00:07.120]  第一個我哋要學習嘅就係以諾呢個人物
[00:00:07.120 --> 00:00:11.120]  喺舊約聖經裏面有四次提到以諾呢個名
[00:00:11.120 --> 00:00:13.200]  三次係一個人名
[00:00:13.200 --> 00:00:16.400]  第四次就係一個城嘅名
[00:00:16.400 --> 00:00:20.600]  全部都喺創世紀裏面你可以搵到佢哋嘅名字嘅
[00:00:20.600 --> 00:00:24.520]  今日我哋讀嘅就係創世紀第五章嘅以諾呢個人
[00:00:24.520 --> 00:00:28.920]  以諾呢個名嘅意思其實就係指奉獻嘅意思
[00:00:28.920 --> 00:00:32.720]  到底以諾佢奉獻嘅生命畀啲乜嘅嘢呢
[00:00:32.720 --> 00:00:37.920]  以至到以諾可以有咁非凡咁非凡嘅不一樣嘅人生
[00:00:37.920 --> 00:00:43.920]  第一樣嘢就係大概就由於佢心愛作為神兒子嘅名分
[00:00:43.920 --> 00:00:46.920]  創世紀第四章結束嘅時候
[00:00:46.920 --> 00:00:52.440]  就記載咗一個殺人犯該隱嘅後代嘅家譜
[00:00:52.440 --> 00:00:55.320]  由佢計起數七代
[00:00:55.320 --> 00:00:59.720]  以一個好驕傲嘅好有自信嘅人物做結束
[00:00:59.720 --> 00:01:01.920]  佢個名叫做賴麥
[00:01:01.920 --> 00:01:04.320]  而去到第五章創世紀嘅作者
[00:01:04.320 --> 00:01:10.320]  好故意咁樣將亞當另一個仔嘅族譜交代出嚟
[00:01:10.320 --> 00:01:12.720]  佢個名叫做塞特
[00:01:12.720 --> 00:01:14.920]  將佢嘅記載落咗嚟之後呢
[00:01:14.920 --> 00:01:17.720]  就好平衡該隱嘅後代
[00:01:17.720 --> 00:01:21.320]  清楚將該隱同塞特嘅兩條線
[00:01:21.320 --> 00:01:24.720]  兩個族譜嘅線畀我哋一齊嚟到去睇
[00:01:24.720 --> 00:01:26.920]  而喺提到呢位塞特嘅時候
[00:01:26.920 --> 00:01:28.720]  留意第五章第三節
[00:01:28.720 --> 00:01:30.320]  我哋一齊讀一讀呢節經文
[00:01:30.320 --> 00:01:31.320]  請讀
[00:01:31.320 --> 00:01:33.920]  亞當活到一百三十歲
[00:01:33.920 --> 00:01:35.720]  生了一個兒子
[00:01:35.720 --> 00:01:38.920]  形象樣式和自己相似
[00:01:38.920 --> 00:01:41.720]  就給他起名叫塞特
[00:01:41.720 --> 00:01:45.720]  呢度特別提到塞特同亞當嘅形象
[00:01:45.720 --> 00:01:47.120]  係好相似
[00:01:47.120 --> 00:01:49.720]  就好似大家可能都會覺得
[00:01:49.720 --> 00:01:51.320]  你可能你要似阿爸個樣
[00:01:51.320 --> 00:01:52.720]  或者你似阿媽個樣
[00:01:52.720 --> 00:01:56.320]  又或者你啲細路仔似你或者似媽咪
[00:01:56.320 --> 00:01:58.120]  唔出奇
[00:01:58.120 --> 00:02:02.320]  但係咁樣嘅交代嘅目的似乎有更進一步
[00:02:02.320 --> 00:02:06.520]  就似乎要強調亞當係塞特嘅爸爸
[00:02:06.520 --> 00:02:09.320]  咁亞當係邊一個嘅仔
[00:02:09.320 --> 00:02:13.120]  冇錯原來神就係佢父親
[00:02:13.120 --> 00:02:15.520]  你睇創世紀第五章第一節到第二節
[00:02:15.520 --> 00:02:16.720]  我哋讀埋呢兩節經文好唔好
[00:02:16.720 --> 00:02:17.720]  請讀
[00:02:17.720 --> 00:02:19.920]  亞當的後代記在下面
[00:02:19.920 --> 00:02:24.520]  當神做人的日子是照著自己的樣式做的
[00:02:24.520 --> 00:02:28.920]  並且做男做女在他們被做的日子
[00:02:28.920 --> 00:02:32.920]  神賜福給他們稱他們為人
[00:02:32.920 --> 00:02:37.920]  呢兩句說話呢就為接下嚟嘅塞特嘅後代
[00:02:37.920 --> 00:02:40.920]  做一個好重要好重要嘅基礎
[00:02:40.920 --> 00:02:43.520]  而著時呢個作者好故意咁樣
[00:02:43.520 --> 00:02:45.520]  就喺度準備亞當
[00:02:45.520 --> 00:02:49.320]  另一個仔塞特嘅後代嘅交代
[00:02:49.320 --> 00:02:51.120]  似乎就要去突出
[00:02:51.120 --> 00:02:53.720]  塞特都係神嘅兒子
[00:02:53.720 --> 00:02:55.320]  作為塞特嘅後代
[00:02:55.320 --> 00:02:56.720]  以諾
[00:02:56.720 --> 00:03:01.120]  塞特係呢一個嘅以諾嘅祖先
[00:03:01.120 --> 00:03:04.920]  佢都係神嘅兒子
[00:03:04.920 --> 00:03:08.320]  咁樣就同該人呢個殺人版嘅後代
[00:03:08.320 --> 00:03:11.120]  成為咗更強烈嘅對比
[00:03:11.120 --> 00:03:12.920]  呼勒神學院佢哋一個嘅
[00:03:12.920 --> 00:03:14.920]  呼勒神學院佢哋一個著名嘅教授
[00:03:14.920 --> 00:03:17.520]  叫做Pete Watson呢個嘅教授
[00:03:17.520 --> 00:03:18.720]  佢曾經講佢話
[00:03:18.720 --> 00:03:21.120]  有啲嘢呢係有價值
[00:03:21.120 --> 00:03:24.320]  所以有人愛呢個人
[00:03:24.320 --> 00:03:26.720]  例如啲乜嘢呢好靚嘅model
[00:03:26.720 --> 00:03:28.520]  例如好有天份嘅運動員
[00:03:28.520 --> 00:03:30.520]  例如聰明過人嘅科學家
[00:03:30.520 --> 00:03:33.520]  又例如天價一樣嘅藝術品
[00:03:33.520 --> 00:03:34.920]  又或者係油畫
[00:03:34.920 --> 00:03:36.520]  點解佢有價值
