
[00:00:00.000 --> 00:00:04.800]  被稱為牧師中的牧師北美神學家畢得生
[00:00:04.800 --> 00:00:09.800]  Eugene Peterson在他的《逐世聖徒》《平凡人的靈性生活》
[00:00:09.800 --> 00:00:12.800]  用了素羅王做例子來講工作
[00:00:12.800 --> 00:00:16.800]  撒姆爾記上描述當初大家都很喜歡素羅
[00:00:16.800 --> 00:00:20.800]  他謙卑不自大,是一個好的將軍,又是一個好人
[00:00:20.800 --> 00:00:24.800]  但漸漸地他也變得不太理想
[00:00:24.800 --> 00:00:30.800]  但漸漸地他的屬靈生命就開始出了問題
[00:00:30.800 --> 00:00:34.800]  因為他不斷打聖仗,變得越來越沉迷於他的工作
[00:00:34.800 --> 00:00:36.800]  而忽略了上帝
[00:00:36.800 --> 00:00:38.800]  當我們的工作做得出色的時候
[00:00:38.800 --> 00:00:41.800]  我們真的好像遲了上帝一樣
[00:00:41.800 --> 00:00:44.800]  又令我們很容易就以為我們就是上帝
[00:00:44.800 --> 00:00:46.800]  我們就會覺得不需要上帝
[00:00:46.800 --> 00:00:49.800]  或者至少不用那麼需要上帝
[00:00:49.800 --> 00:00:52.800]  素羅就是在工作上做得出色的時候
[00:00:52.800 --> 00:00:54.800]  犯罪,但其實我們的職場
[00:00:54.800 --> 00:00:58.800]  才是我們靈性生活的基本場景
[00:00:58.800 --> 00:01:01.800]  在當中我們經歷上帝,學習信服
[00:01:01.800 --> 00:01:03.800]  跟隨聖靈的感動和帶領
[00:01:03.800 --> 00:01:07.800]  在職場上抓緊自己的照命去見聖主
[00:01:07.800 --> 00:01:11.800]  身為基督徒,最基本但卻是最重要的任務
[00:01:11.800 --> 00:01:14.800]  是去認定我們的工作是天職
[00:01:14.800 --> 00:01:16.800]  是上帝所賜神聖的工作
[00:01:16.800 --> 00:01:19.800]  我們要嘗試在工作的混亂裡
[00:01:19.800 --> 00:01:22.800]  建立秩序,培養內心和諧
[00:01:22.800 --> 00:01:25.800]  享受工作所帶來的樂趣
[00:01:25.800 --> 00:01:27.800]  《創世紀》第三十九章第二節
[00:01:27.800 --> 00:01:28.800]  經文這樣說
[00:01:28.800 --> 00:01:30.800]  上主與弱失同在
[00:01:30.800 --> 00:01:33.800]  使他在哀及主人家裡的服事
[00:01:33.800 --> 00:01:35.800]  盡都順利
