
[00:00:00.000 --> 00:00:07.000]  我們看到在第一章是鐵塔羅吉亞教會是一個模範的教會
[00:00:07.000 --> 00:00:15.000]  主的道跟湯香的神的信心在各處都已經傳開了
[00:00:15.000 --> 00:00:18.000]  保羅就稱讚他們
[00:00:18.000 --> 00:00:23.000]  保羅給七個教會寫了九封書信
[00:00:23.000 --> 00:00:29.000]  格林多教會有兩封有前書有後書
[00:00:29.000 --> 00:00:34.000]  然後鐵塔羅吉亞教會也有兩封書信
[00:00:34.000 --> 00:00:36.000]  有前書有後書
[00:00:36.000 --> 00:00:41.000]  這樣七個教會就寫了九封書信
[00:00:41.000 --> 00:00:48.000]  在七個教會中間得到保羅稱讚的只有一個教會
[00:00:48.000 --> 00:00:52.000]  就是鐵塔羅吉亞教會
[00:00:52.000 --> 00:00:56.000]  他們就可以成為當時教會的榜樣
[00:00:56.000 --> 00:01:00.000]  所以在馬其頓周圍的地方
[00:01:00.000 --> 00:01:06.000]  他們都聽到鐵塔羅吉亞教會的情形
[00:01:06.000 --> 00:01:09.000]  到我們看到第二章的時候
[00:01:09.000 --> 00:01:15.000]  就看見為什麼鐵塔羅吉亞教會成為一個模範的教會
[00:01:15.000 --> 00:01:19.000]  是因為跟保羅跟他們同宮們
[00:01:19.000 --> 00:01:22.000]  他們的服飾是分不開的
[00:01:22.000 --> 00:01:26.000]  因為他們這些同宮就是在那個地方
[00:01:26.000 --> 00:01:29.000]  有一個模範的服飾
[00:01:29.000 --> 00:01:33.000]  他們就好像父母一樣
[00:01:33.000 --> 00:01:37.000]  能夠來照顧這些信徒
[00:01:37.000 --> 00:01:42.000]  他們有像母親一樣的愛來照顧信徒
[00:01:42.000 --> 00:01:47.000]  他們也有像父親的管教
[00:01:47.000 --> 00:01:51.000]  教導來培植這些信徒
[00:01:51.000 --> 00:01:54.000]  讓他們在生命上能夠繼續地成長
[00:01:54.000 --> 00:01:59.000]  所以一方面跟他們有這樣很好的服飾
[00:01:59.000 --> 00:02:03.000]  一方面他跟信徒也就是心連心
[00:02:03.000 --> 00:02:07.000]  所以保羅可以說看到他們的情形
[00:02:07.000 --> 00:02:09.000]  他們很得到安慰
[00:02:09.000 --> 00:02:14.000]  他說你們就是你們的榮耀
[00:02:14.000 --> 00:02:17.000]  你們就是我們的喜樂
[00:02:17.000 --> 00:02:22.000]  所以說第二章就說到這個模範的教會
[00:02:22.000 --> 00:02:26.000]  是跟同宮的模範的服飾是分不開的
[00:02:26.000 --> 00:02:31.000]  那麼到了第三章我們就看到
[00:02:31.000 --> 00:02:35.000]  這個模範的教會並不是一帆風順的
[00:02:35.000 --> 00:02:39.000]  不是在一個安逸的環境中間產生的
[00:02:39.000 --> 00:02:45.000]  模範的教會是在風浪中在患難中間成長的
[00:02:45.000 --> 00:02:53.000]  因為天上的教會當時的信徒受到當地人的迫害
[00:02:53.000 --> 00:02:57.000]  他們也是面臨著各種的困難
[00:02:57.000 --> 00:03:04.000]  所以保羅在第三章就是安慰、勸勉他們
[00:03:04.000 --> 00:03:14.000]  保羅所注重的不是說人的健康、財富、地位
[00:03:14.000 --> 00:03:16.000]  或者是舒適的生活
[00:03:16.000 --> 00:03:18.000]  保羅不注重這些
[00:03:18.000 --> 00:03:21.000]  不注重信徒這方面的
[00:03:21.000 --> 00:03:28.000]  而是注重到信徒的屬靈生命的質量
[00:03:28.000 --> 00:03:34.000]  所以這個第三章就可以
[00:03:34.000 --> 00:03:37.000]  十三節聖經就分成兩段
[00:03:37.000 --> 00:03:42.000]  從第一節到第八節就是保羅勸勉安慰他們
[00:03:42.000 --> 00:03:45.000]  怎樣面對患難要做準備
[00:03:45.000 --> 00:03:50.000]  怎樣的準備能夠面對這個患難
[00:03:50.000 --> 00:03:54.000]  下面半章九節到十三節
[00:03:54.000 --> 00:03:57.000]  就是說為了將來的審判
[00:03:57.000 --> 00:03:59.000]  為了祖的再來
[00:03:59.000 --> 00:04:02.000]  怎樣的做準備
[00:04:02.000 --> 00:04:04.000]  保羅有個禱告
[00:04:04.000 --> 00:04:06.000]  所以這個兩方面
[00:04:06.000 --> 00:04:09.000]  第三章十三節聖經不太多
[00:04:09.000 --> 00:04:11.000]  就是兩個主題
[00:04:11.000 --> 00:04:15.000]  一個就是為了患難他們應該有準備
[00:04:15.000 --> 00:04:20.000]  另外一個就是面對將來的主再來
[00:04:20.000 --> 00:04:24.000]  有信徒將來在基督臺前來審判
[00:04:24.000 --> 00:04:28.000]  也要做怎樣的預備
[00:04:28.000 --> 00:04:33.000]  我們先看第一段
[00:04:33.000 --> 00:04:37.000]  就是為了面對這個患難要做的準備
[00:04:37.000 --> 00:04:43.000]  我們從當時鐵三輪教的信徒
[00:04:43.000 --> 00:04:46.000]  他們信主以後
[00:04:46.000 --> 00:04:49.000]  他們遇到很大的困難
[00:04:49.000 --> 00:04:54.000]  就像耶路撒冷猶太人的信徒
[00:04:54.000 --> 00:04:56.000]  他們信了主以後
[00:04:56.000 --> 00:05:02.000]  也是受到當地猶太人對他們的迫害
[00:05:02.000 --> 00:05:06.000]  所以當地的鐵三輪教會的信徒
[00:05:06.000 --> 00:05:09.000]  他們也受到當地人的迫害
[00:05:09.000 --> 00:05:12.000]  所以他們生活的困難
[00:05:12.000 --> 00:05:19.000]  所以這個在戈林多後述第八章
[00:05:19.000 --> 00:05:22.000]  保羅就提到在馬其頓的教會
[00:05:22.000 --> 00:05:29.000]  馬其頓就是鐵三輪教會所在的一個地方
[00:05:29.000 --> 00:05:31.000]  一個大的地區
[00:05:31.000 --> 00:05:35.000]  馬其頓包括有好幾個城市
[00:05:35.000 --> 00:05:37.000]  就說到那邊的信徒
[00:05:37.000 --> 00:05:41.000]  他們在患難中受大試煉
[00:05:41.000 --> 00:05:43.000]  不是單單一點點試煉
[00:05:43.000 --> 00:05:45.000]  他受大試煉
[00:05:45.000 --> 00:05:50.000]  而且他們也願意把自己的錢財拿出來
[00:05:50.000 --> 00:05:54.000]  來顧念到耶路撒冷的窮人
[00:05:54.000 --> 00:05:56.000]  雖然他們是猶太人
[00:05:56.000 --> 00:06:00.000]  但他們也願意拿出他們所有的
[00:06:00.000 --> 00:06:02.000]  能夠拿出來一部分
[00:06:02.000 --> 00:06:06.000]  來給猶太人給耶路撒冷的信徒
[00:06:06.000 --> 00:06:10.000]  所以他說你們在極窮之間
[00:06:10.000 --> 00:06:11.000]  非常窮
[00:06:11.000 --> 00:06:14.000]  但是還有樂捐的厚恩
[00:06:14.000 --> 00:06:17.000]  還願意奉獻錢財
[00:06:17.000 --> 00:06:21.000]  所以可見的鐵三輪教會的信徒
[00:06:21.000 --> 00:06:25.000]  他們的環境並不是很順利
[00:06:25.000 --> 00:06:29.000]  但是這個正是他們經過試煉
[00:06:29.000 --> 00:06:32.000]  他們的信心經過試煉
[00:06:32.000 --> 00:06:33.000]  所以這個試煉什麼呢
[00:06:33.000 --> 00:06:37.000]  試煉就是試驗信徒的信心
[00:06:37.000 --> 00:06:42.000]  所以在第三章的第一節就說到
[00:06:42.000 --> 00:06:45.000]  我們既不能載人
[00:06:45.000 --> 00:06:48.000]  然後到第五節
[00:06:48.000 --> 00:06:52.000]  他說為此我既不能載人
[00:06:52.000 --> 00:06:57.000]  一章中間兩次說到我既不能載人
[00:06:57.000 --> 00:07:03.000]  所以看到保羅的心裡頭的負擔是很重的
[00:07:03.000 --> 00:07:06.000]  他人雖然不在鐵三輪的家
[00:07:06.000 --> 00:07:10.000]  但是他心卻是在他們那裡
[00:07:10.000 --> 00:07:13.000]  所以他自己不能夠去
[00:07:13.000 --> 00:07:16.000]  當時受到限制他不能去
[00:07:16.000 --> 00:07:18.000]  他就打發了童宮
[00:07:18.000 --> 00:07:22.000]  他最得力的童宮就是提摩台
[00:07:22.000 --> 00:07:27.000]  打發提摩台去兼顧安慰他們
[00:07:27.000 --> 00:07:30.000]  你要知道在當時的話
[00:07:30.000 --> 00:07:34.000]  保羅的童宮裡頭提摩台是很重要的
[00:07:34.000 --> 00:07:36.000]  所以這裡說什麼呢
