
[00:00:00.000 --> 00:00:05.100]  今年我們整個教會都在說耶利米愛歌
[00:00:05.100 --> 00:00:08.600]  耶利米愛歌是一部充滿了苦楚
[00:00:08.600 --> 00:00:10.600]  充滿了痛苦的書
[00:00:10.600 --> 00:00:15.200]  是講到猶太人被巴比倫人滅了國
[00:00:15.200 --> 00:00:17.200]  毀壞了他們的聖殿
[00:00:17.200 --> 00:00:19.200]  毀壞了他們的城市
[00:00:19.200 --> 00:00:21.200]  非常非常之慘痛
[00:00:21.200 --> 00:00:23.200]  一個很大的悲劇
[00:00:23.200 --> 00:00:26.200]  但我們也說其實耶利米愛歌
[00:00:26.200 --> 00:00:28.800]  是神透過耶利米先知
[00:00:28.800 --> 00:00:30.800]  給我們的教導
[00:00:30.800 --> 00:00:34.800]  教我們怎樣能夠走出憂鬱黑暗
[00:00:34.800 --> 00:00:38.800]  怎樣能夠面對我們生命中的苦難
[00:00:38.800 --> 00:00:43.800]  第一章就是教我們怎樣可以接受現實
[00:00:43.800 --> 00:00:45.800]  面對我們的苦難
[00:00:45.800 --> 00:00:47.800]  如果我們不接受現實
[00:00:47.800 --> 00:00:49.800]  不接受我們的處境的話
[00:00:49.800 --> 00:00:51.800]  是不能夠走出來
[00:00:51.800 --> 00:00:53.800]  所以第一步很重要
[00:00:53.800 --> 00:00:55.800]  第二步就是要
[00:00:55.800 --> 00:00:58.800]  一方面我們知道是神的主權
[00:00:58.800 --> 00:01:01.800]  容許苦難臨到我們的身上
[00:01:01.800 --> 00:01:03.800]  但另一方面
[00:01:03.800 --> 00:01:06.800]  神也容許我們向祂申訴
[00:01:06.800 --> 00:01:08.800]  要傾心如水
[00:01:08.800 --> 00:01:11.800]  好像愛歌的二章十九節這樣說
[00:01:11.800 --> 00:01:16.800]  第三章我們今天要說的又是怎樣的訊息呢
[00:01:16.800 --> 00:01:19.800]  其實第三章是一個轉捩點
[00:01:19.800 --> 00:01:24.800]  你會看到充滿了希望,開始有希望了
[00:01:24.800 --> 00:01:27.800]  第一第二章還是很悲慘的
[00:01:27.800 --> 00:01:30.800]  但第三章就給我們有很大的希望
[00:01:30.800 --> 00:01:33.800]  在這個苦難當中
[00:01:33.800 --> 00:01:36.800]  我們絕對是要將我們的仰望
[00:01:36.800 --> 00:01:40.800]  將我們的信心放在神的身上
[00:01:40.800 --> 00:01:42.800]  就好像剛才的詩歌說
[00:01:42.800 --> 00:01:47.800]  轉眼仰望我們的神
[00:01:47.800 --> 00:01:49.800]  我們看看
[00:01:49.800 --> 00:01:54.800]  其實愛歌的第一章第二章第四章的一開始
[00:01:54.800 --> 00:01:57.800]  都是用到河景這個字
[00:01:57.800 --> 00:02:00.800]  我們說河景就是一個嘆息
[00:02:00.800 --> 00:02:02.800]  就是
[00:02:02.800 --> 00:02:08.800]  這個就可以說是耶利米愛歌希伯來文的書名
[00:02:08.800 --> 00:02:10.800]  第一章說
[00:02:10.800 --> 00:02:12.800]  本來人煙囚物的城市
[00:02:12.800 --> 00:02:17.800]  為何現在變成要獨坐在這個城市當中
[00:02:17.800 --> 00:02:21.800]  第二章說河景神法路
[00:02:21.800 --> 00:02:23.800]  第四章我們會見到
[00:02:23.800 --> 00:02:28.800]  就好像許冠傑那首歌浪子心聲
[00:02:28.800 --> 00:02:32.800]  他說金屋變成大雅
[00:02:32.800 --> 00:02:33.800]  就是這樣
[00:02:33.800 --> 00:02:36.800]  本來聖殿是金屋
[00:02:36.800 --> 00:02:38.800]  牆都是用金來鋪的
[00:02:38.800 --> 00:02:42.800]  現在變成頹垣敗瓦
[00:02:42.800 --> 00:02:43.800]  很奇怪
[00:02:43.800 --> 00:02:45.800]  第三章開始
[00:02:45.800 --> 00:02:48.800]  沒有再說到河景這個字
[00:02:48.800 --> 00:02:51.800]  第三章也沒有說到猶大
[00:02:51.800 --> 00:02:53.800]  沒有說到耶路撒冷
[00:02:53.800 --> 00:02:55.800]  甚至在第一章第二章
[00:02:55.800 --> 00:02:59.800]  重複出現的這個錫安寡婦
[00:02:59.800 --> 00:03:01.800]  拼命向人申訴
[00:03:01.800 --> 00:03:03.800]  也不再出聲了
[00:03:03.800 --> 00:03:06.800]  第三章是作者耶利米
[00:03:06.800 --> 00:03:09.800]  以第一者的身份出現
[00:03:09.800 --> 00:03:12.800]  她說我 用我
[00:03:12.800 --> 00:03:16.800]  有很多解經家說她這樣做是有意思的
[00:03:16.800 --> 00:03:19.800]  每一個讀耶利米哀歌第三章的人
[00:03:19.800 --> 00:03:22.800]  都可以將自己套進去
[00:03:22.800 --> 00:03:23.800]  這個就是我的苦楚
[00:03:23.800 --> 00:03:27.800]  這個就是我的故事
[00:03:27.800 --> 00:03:32.800]  我們見到第三章第一節一開始
