
[00:00:00.000 --> 00:00:03.000]  提醒姐妹平安
[00:00:03.000 --> 00:00:05.260]  講到關係
[00:00:05.260 --> 00:00:07.560]  包括不同的類型
[00:00:07.560 --> 00:00:09.360]  不同類型的關係
[00:00:09.360 --> 00:00:12.000]  亦都有不同的程度
[00:00:12.000 --> 00:00:13.600]  簡單來說
[00:00:13.600 --> 00:00:15.080]  可以分為兩類
[00:00:15.080 --> 00:00:17.480]  一類是不重要的關係
[00:00:17.480 --> 00:00:20.880]  另一類當然是很重要的關係
[00:00:20.880 --> 00:00:22.920]  對於不重要的關係
[00:00:22.920 --> 00:00:27.480]  當然我們可以按需要繼續維持
[00:00:27.480 --> 00:00:30.080]  但我相信我們不會花太多時間
[00:00:30.080 --> 00:00:32.320]  在不重要的關係上
[00:00:32.320 --> 00:00:35.680]  甚至可以說失去這些關係
[00:00:35.680 --> 00:00:37.560]  亦都覺得無所謂
[00:00:37.560 --> 00:00:40.880]  就好像食客和食肆員工的關係
[00:00:40.880 --> 00:00:42.560]  你不會花很多時間
[00:00:42.560 --> 00:00:44.040]  他不會問你拿去私人電話
[00:00:44.040 --> 00:00:46.160]  你亦不會問他拿去私人電話
[00:00:46.160 --> 00:00:48.000]  可能那一刻跟他打完招呼
[00:00:48.000 --> 00:00:50.280]  很親密好好談
[00:00:50.280 --> 00:00:52.000]  下星期他已經不在了
[00:00:52.000 --> 00:00:53.680]  甚至酒樓都關閉了
[00:00:53.680 --> 00:00:55.400]  這些關係可以維持
[00:00:55.400 --> 00:00:57.280]  但我相信大家都明白
[00:00:57.280 --> 00:00:59.280]  不會長久
[00:00:59.280 --> 00:01:02.280]  但如果重要的關係
[00:01:02.280 --> 00:01:03.800]  特別是在一月三日
[00:01:03.800 --> 00:01:05.480]  講到一個重要的關係
[00:01:05.480 --> 00:01:08.320]  就是你和上帝的關係
[00:01:08.320 --> 00:01:09.800]  在我們人際關係裏面
[00:01:09.800 --> 00:01:11.280]  或者在我們所有關係裏面
[00:01:11.280 --> 00:01:13.280]  是最重要的
[00:01:13.280 --> 00:01:17.120]  這個關係我們必須要好好珍惜
[00:01:17.120 --> 00:01:18.680]  如果被任何東西
[00:01:18.680 --> 00:01:20.800]  包括我們的罪破壞
[00:01:20.800 --> 00:01:22.040]  我們就要想辦法
[00:01:22.040 --> 00:01:23.840]  要很積極地努力地重建
[00:01:23.840 --> 00:01:27.200]  我們和上帝的關係
[00:01:27.200 --> 00:01:29.280]  詩篇51篇
[00:01:29.280 --> 00:01:32.080]  一首個人悔罪的詩
[00:01:32.080 --> 00:01:34.240]  或者是一個祈禱詩
[00:01:34.240 --> 00:01:35.800]  在這篇詩裏面
[00:01:35.800 --> 00:01:40.240]  你化了很多「你」、「我」、「你」、「我」
