
[00:00:00.000 --> 00:00:02.000]  好,那我們一起低頭祈禱吧
[00:00:02.000 --> 00:00:04.000]  天父,我們多謝你今天
[00:00:04.000 --> 00:00:07.000]  思想到耶穌基督為我們釘十字架
[00:00:07.000 --> 00:00:10.000]  煮給我們的心去看到十字架
[00:00:10.000 --> 00:00:12.000]  怎樣去躺開你的心懷
[00:00:12.000 --> 00:00:14.000]  叫我們去明白
[00:00:14.000 --> 00:00:18.000]  不單止是當日發生了什麼事
[00:00:18.000 --> 00:00:20.000]  更加明白你對我們的心意
[00:00:20.000 --> 00:00:22.000]  願你與我們同在
[00:00:22.000 --> 00:00:25.000]  向我們啟示你自己的心意的時候
[00:00:25.000 --> 00:00:27.000]  我們心如成佛地跟從
[00:00:27.000 --> 00:00:29.000]  奉耶穌基督的名祈求
[00:00:29.000 --> 00:00:33.000]  好,今天就講到耶穌基督釘十字架
[00:00:33.000 --> 00:00:36.000]  上一次就講到耶穌基督受審的過程
[00:00:36.000 --> 00:00:39.000]  而整個過程本身
[00:00:39.000 --> 00:00:42.000]  其實重點多次強調
[00:00:42.000 --> 00:00:44.000]  耶穌基督是王來的
[00:00:44.000 --> 00:00:49.000]  而這個一般來講
[00:00:49.000 --> 00:00:55.000]  一個法官審判的應該是罪犯
[00:00:55.000 --> 00:00:59.000]  但是上一次就看到
[00:00:59.000 --> 00:01:01.000]  整個審訊的過程
[00:01:01.000 --> 00:01:05.000]  是突顯出那種荒謬
[00:01:05.000 --> 00:01:10.000]  就是那個法官是不想做的
[00:01:10.000 --> 00:01:13.000]  而那個被審判的
[00:01:13.000 --> 00:01:16.000]  不單止不是罪犯
[00:01:16.000 --> 00:01:18.000]  也不單止不是無辜
[00:01:18.000 --> 00:01:20.000]  而且是被定罪
[00:01:20.000 --> 00:01:22.000]  因為他是王的緣故
[00:01:22.000 --> 00:01:26.000]  所以上一次就講到審訊的過程
[00:01:26.000 --> 00:01:28.000]  這次繼續講下去的時候
[00:01:28.000 --> 00:01:32.000]  就發覺最終還是要釘十字架
[00:01:32.000 --> 00:01:36.000]  而釘十字架的罪狀
[00:01:36.000 --> 00:01:38.000]  比拉多就寫得很清楚
[00:01:38.000 --> 00:01:42.000]  寫的是猶太人的王
[00:01:42.000 --> 00:01:44.000]  拿撒勒人耶穌
[00:01:44.000 --> 00:01:49.000]  這個比拉多是專門要來諷刺猶太人
[00:01:49.000 --> 00:01:53.000]  因為他們不想放耶穌
[00:01:53.000 --> 00:01:55.000]  但是比拉多又不想多事
[00:01:55.000 --> 00:01:56.000]  就想放耶穌
[00:01:56.000 --> 00:01:58.000]  最終的時候比拉多
[00:01:58.000 --> 00:02:00.000]  逼著要釘耶穌的時候
[00:02:00.000 --> 00:02:03.000]  就專門做一個激怒他們的名字
[00:02:03.000 --> 00:02:06.000]  就說猶太人的王拿撒勒人耶穌
[00:02:06.000 --> 00:02:08.000]  但是這個名字本身
[00:02:08.000 --> 00:02:12.000]  不單止是一個
[00:02:12.000 --> 00:02:15.000]  出於機緣巧合的諷刺
[00:02:15.000 --> 00:02:19.000]  其實也是約翰福音突顯出
[00:02:19.000 --> 00:02:23.000]  這個正正就是耶穌要釘十字架的原因
[00:02:23.000 --> 00:02:25.000]  你記得在約翰福音第一章已經講過
[00:02:25.000 --> 00:02:27.000]  他到自己的地方來
[00:02:27.000 --> 00:02:30.000]  自己的人本不接待他
[00:02:30.000 --> 00:02:34.000]  而這位他們中間真真實實
[00:02:34.000 --> 00:02:36.000]  他們的王來到他們世間的時候
