
[00:00:00.000 --> 00:00:02.720]  我們又開始我們星期三晚的茶經
[00:00:02.720 --> 00:00:04.720]  我自己很深的感受
[00:00:04.720 --> 00:00:07.680]  其實大衛是在十一年前
[00:00:07.680 --> 00:00:10.400]  我在冥恩堂的時候用了兩年的時間
[00:00:10.400 --> 00:00:13.640]  在主義崇拜裡面跟他們分享的
[00:00:13.640 --> 00:00:16.040]  現在雖然好像重複
[00:00:16.040 --> 00:00:18.040]  但是我會不斷去檢視
[00:00:18.040 --> 00:00:20.040]  而且也有很大的感受
[00:00:20.040 --> 00:00:22.880]  十一年前的講道和現在的講道
[00:00:22.880 --> 00:00:25.600]  那個應用是會有很不同的
[00:00:25.600 --> 00:00:28.320]  很簡單 如果上幾個星期我們有聽
[00:00:28.320 --> 00:00:30.320]  百人之死
[00:00:30.320 --> 00:00:32.960]  講到大衛為了保護自己
[00:00:32.960 --> 00:00:35.920]  而令到所有的祭司
[00:00:35.920 --> 00:00:39.080]  都死在掃羅的手下
[00:00:39.080 --> 00:00:41.920]  當年我就講那些人為了保護自己
[00:00:41.920 --> 00:00:45.280]  於是就不理別人的生死
[00:00:45.280 --> 00:00:48.240]  但是現在這個時候我看的時候
[00:00:48.240 --> 00:00:49.760]  就很深的感受
[00:00:49.760 --> 00:00:51.760]  無論是四人七人案
[00:00:51.760 --> 00:00:53.760]  或者其他的案件
[00:00:53.760 --> 00:00:56.760]  都看到那些人為了怎樣保護自己
[00:00:56.760 --> 00:00:59.480]  往往就會出賣別人
[00:00:59.480 --> 00:01:02.440]  那個感受是會很不同的
[00:01:02.440 --> 00:01:03.880]  所以很深體會道
[00:01:03.880 --> 00:01:05.880]  神就說與親是很寶貴
[00:01:05.880 --> 00:01:08.360]  解經一定是那段這樣的解釋
[00:01:08.360 --> 00:01:11.360]  但是怎樣去應用
[00:01:11.360 --> 00:01:13.360]  或者有什麼感受
[00:01:13.360 --> 00:01:14.360]  就會差很遠
[00:01:14.360 --> 00:01:16.360]  今天這篇道也是這樣的
[00:01:16.360 --> 00:01:18.360]  現在其實我們已經進入了
[00:01:18.360 --> 00:01:20.360]  大衛人生第二個階段
[00:01:20.360 --> 00:01:22.360]  就是逃亡的階段
[00:01:22.360 --> 00:01:24.360]  上次我們看到
[00:01:24.360 --> 00:01:26.360]  大衛開始要逃亡
[00:01:26.360 --> 00:01:28.360]  我們今天會繼續看
[00:01:28.360 --> 00:01:30.360]  上次我們看到
[00:01:30.360 --> 00:01:32.360]  有誰可以幫助大衛呢
[00:01:32.360 --> 00:01:34.360]  誰可相依呢
[00:01:34.360 --> 00:01:36.360]  只有神才是我們的保障
[00:01:36.360 --> 00:01:38.360]  我們這一刻
[00:01:38.360 --> 00:01:40.360]  分享的課題
[00:01:40.360 --> 00:01:42.360]  就叫做無悔拯救
[00:01:42.360 --> 00:01:44.360]  或者是無悔當創
[00:01:44.360 --> 00:01:46.360]  在十一年前
[00:01:46.360 --> 00:01:48.360]  當我來大亞去講這篇道的時候
[00:01:48.360 --> 00:01:50.360]  就講到
[00:01:50.360 --> 00:01:52.360]  大衛他終於無悔
[00:01:52.360 --> 00:01:54.360]  他自己所做的
[00:01:54.360 --> 00:01:56.360]  已經做完了
[00:01:56.360 --> 00:01:58.360]  但是來了英國幾年
[00:01:58.360 --> 00:02:00.360]  我去不同的教會講到
[00:02:00.360 --> 00:02:02.360]  我都幾多時
[00:02:02.360 --> 00:02:04.360]  會對著特別在香港來的
[00:02:04.360 --> 00:02:06.360]  弟兄姊妹講這篇道
[00:02:06.360 --> 00:02:08.360]  我就不單單有解經
[00:02:08.360 --> 00:02:10.360]  我甚至在最後的應用裡面
[00:02:10.360 --> 00:02:12.360]  就會講到
[00:02:12.360 --> 00:02:14.360]  究竟我們有沒有後悔
[00:02:14.360 --> 00:02:16.360]  來到英國呢
[00:02:16.360 --> 00:02:18.360]  很希望他們
[00:02:18.360 --> 00:02:20.360]  因為他們都感到很苦澀
[00:02:20.360 --> 00:02:22.360]  我就很深體會到
[00:02:22.360 --> 00:02:24.360]  在他們的時代
[00:02:24.360 --> 00:02:26.360]  我們有不同的感受
[00:02:26.360 --> 00:02:28.360]  不同的體會
[00:02:28.360 --> 00:02:30.360]  其實每一個人
[00:02:30.360 --> 00:02:32.360]  可能都會有經歷過後悔
[00:02:32.360 --> 00:02:34.360]  甚至可能
[00:02:34.360 --> 00:02:36.360]  我那時候都很頑皮
[00:02:36.360 --> 00:02:38.360]  我媽媽那時候講過
[00:02:38.360 --> 00:02:40.360]  後悔生了你
[00:02:40.360 --> 00:02:42.360]  我又壞
[00:02:42.360 --> 00:02:44.360]  我那時候博取都很厲害
[00:02:44.360 --> 00:02:46.360]  你以為你想生我的
[00:02:46.360 --> 00:02:48.360]  你不懂避孕
[00:02:48.360 --> 00:02:50.360]  你想想那時候
[00:02:50.360 --> 00:02:52.360]  我講這些的時候
[00:02:52.360 --> 00:02:54.360]  但是我們就很深體會到
[00:02:54.360 --> 00:02:56.360]  甚至有些人後悔自己所做的
[00:02:56.360 --> 00:02:58.360]  說他是結婚
[00:02:58.360 --> 00:03:00.360]  又或者是甚麼
[00:03:00.360 --> 00:03:02.360]  譬如今晚剛好是
[00:03:02.360 --> 00:03:04.360]  我的親家的安息禮
[00:03:04.360 --> 00:03:06.360]  當他離開世界的時候
[00:03:06.360 --> 00:03:08.360]  我的女親家
[00:03:08.360 --> 00:03:10.360]  即是他太太都說
