
[00:00:00.000 --> 00:00:03.800]  在收奉獻的同時我們一同讀一段聖經
[00:00:03.800 --> 00:00:07.200]  在四篇第三篇第三節
[00:00:07.200 --> 00:00:08.960]  我們一同來唸
[00:00:08.960 --> 00:00:12.500]  但你耶和華是我四維的盾牌
[00:00:12.500 --> 00:00:13.960]  是我的榮耀
[00:00:13.960 --> 00:00:16.300]  又是叫我抬起頭來的
[00:00:16.300 --> 00:00:17.360]  再讀一遍來
[00:00:17.360 --> 00:00:20.800]  但你耶和華是我四維的盾牌
[00:00:20.800 --> 00:00:22.260]  是我的榮耀
[00:00:22.260 --> 00:00:24.500]  又是叫我抬起頭來的
[00:00:24.500 --> 00:00:26.600]  我們就讀到這裏
[00:00:26.600 --> 00:00:28.300]  今天是父親節
[00:00:28.300 --> 00:00:31.300]  首先讓我在這裏恭祝每一位偉大的父親
[00:00:31.300 --> 00:00:33.100]  父親節非常快樂
[00:00:33.100 --> 00:00:34.100]  你們
[00:00:34.100 --> 00:00:38.100]  (掌聲)
[00:00:38.100 --> 00:00:42.000]  奧巴馬總統說這是一個被遺忘的日子
[00:00:42.000 --> 00:00:45.300]  但感謝神我們教會從來沒有遺忘過
[00:00:45.300 --> 00:00:49.300]  每年父親節我們都爲父親們準備了一個
[00:00:49.300 --> 00:00:53.100]  跟全家還有兒女們一同來照相的機會
[00:00:53.100 --> 00:00:56.200]  我們真的盼望每一位偉大的父親
[00:00:56.200 --> 00:00:58.600]  都能夠享受這個屬於你的日子
[00:00:58.600 --> 00:01:00.000]  你們
[00:01:00.000 --> 00:01:04.000]  那我常覺得在現今這樣充滿危機的時代
[00:01:04.000 --> 00:01:05.700]  要做一個父親
[00:01:05.700 --> 00:01:08.800]  是越來越不容易的一件事情
[00:01:08.800 --> 00:01:13.000]  我們一方面要面對工作上無窮的壓力
[00:01:13.000 --> 00:01:15.900]  不但是在技術上的一個挑戰
[00:01:15.900 --> 00:01:21.400]  而且面對公司裏面各種錯綜複雜的人際關係
[00:01:21.400 --> 00:01:23.000]  回到家裏
[00:01:23.000 --> 00:01:27.400]  又要面對妻子兒女多少的期望
[00:01:27.400 --> 00:01:30.900]  來到教會又要侍奉又要追求
[00:01:30.900 --> 00:01:32.400]  不但生活要有見證
[00:01:32.400 --> 00:01:34.800]  而且要有影響力
[00:01:34.800 --> 00:01:35.900]  哇
[00:01:35.900 --> 00:01:39.900]  難怪每天還沒出門就覺得很累了
[00:01:39.900 --> 00:01:43.300]  我們怎麼樣在這樣一個充滿危機
[00:01:43.300 --> 00:01:47.000]  充滿試探跟壓力的時代當中
[00:01:47.000 --> 00:01:50.300]  我們能夠活出一個得勝的生活呢
[00:01:50.300 --> 00:01:53.600]  今天早上要從三方面要跟大家來分享
[00:01:53.600 --> 00:01:57.600]  一個危機時代的一個信仰生活
[00:01:57.600 --> 00:02:00.200]  首先第一件事情很重要的
[00:02:00.200 --> 00:02:03.400]  是要保守你的心思意念
[00:02:03.400 --> 00:02:07.900]  給禮拜說保守你的心思意念
[00:02:07.900 --> 00:02:10.000]  真言第四章二十三節說
[00:02:10.000 --> 00:02:12.900]  要保守你的心勝過保守一切
[00:02:12.900 --> 00:02:16.700]  因爲一生的果效是由心發出的
[00:02:16.700 --> 00:02:21.000]  這裏的心當然就指的我們的心思意念
[00:02:21.000 --> 00:02:25.100]  換句話說要保守你裏面的思想意念
[00:02:25.100 --> 00:02:27.800]  勝過保守一切
[00:02:27.800 --> 00:02:28.900]  很有意思不是嗎
[00:02:28.900 --> 00:02:31.800]  神並沒有說要保守你的錢財
[00:02:31.800 --> 00:02:33.600]  勝過保守一切
[00:02:33.600 --> 00:02:37.600]  神也沒有說保守你的動產不動產
[00:02:37.600 --> 00:02:39.700]  勝過保守一切
[00:02:39.700 --> 00:02:45.000]  神在這裏說是要保守你的心思意念
[00:02:45.000 --> 00:02:46.800]  勝過保守一切
[00:02:46.800 --> 00:02:48.000]  爲什麼
[00:02:48.000 --> 00:02:51.300]  因爲這裏說你一生的果效
[00:02:51.300 --> 00:02:54.100]  是從你的心發出的
[00:02:54.100 --> 00:02:57.500]  換句話說你裏面的思想意念
[00:02:57.500 --> 00:03:02.600]  會決定你一生的道路跟方向的
[00:03:02.600 --> 00:03:06.100]  換句話說你裏面的思想意念
[00:03:06.100 --> 00:03:11.200]  是會決定你一生當中的成功跟失敗的
[00:03:11.200 --> 00:03:14.100]  你的思想意念太重要了
[00:03:14.100 --> 00:03:18.600]  只有當你學會掌管你的思想意念的時候
[00:03:18.600 --> 00:03:23.800]  你纔可能講到說你要過一個得勝的生活
[00:03:23.800 --> 00:03:26.300]  很多時候我們並不太注意
[00:03:26.300 --> 00:03:28.600]  我們裏面的思想意念
[00:03:28.600 --> 00:03:32.600]  我們常常覺得隨便亂想也無所謂
[00:03:32.600 --> 00:03:35.200]  反正也沒有人知道不是嗎
[00:03:35.200 --> 00:03:41.200]  但事實上這正是常常使你我落入失敗跟挫折
[00:03:41.200 --> 00:03:43.800]  最主要的原因
[00:03:43.800 --> 00:03:46.900]  你還記得在舊約時代的大魏王
[00:03:46.900 --> 00:03:51.200]  他是以色列當中最被尊崇的一個君王
[00:03:51.200 --> 00:03:54.900]  但他在最巔峯的時期
