
[00:00:00.000 --> 00:00:04.000]  感謝主,我們真能夠來到主的面前
[00:00:04.000 --> 00:00:09.000]  一同接著祂的話,我們一同來敬拜祂
[00:00:09.000 --> 00:00:16.000]  我們先要跟弟兄姊妹一同來讀《雅各書》
[00:00:16.000 --> 00:00:19.000]  新約的《雅各書》第二章
[00:00:19.000 --> 00:00:23.000]  新約的《雅各書》第二章
[00:00:23.000 --> 00:00:28.000]  我們要先讀第一節
[00:00:28.000 --> 00:00:31.000]  然後讀第九節到十三節
[00:00:31.000 --> 00:00:34.000]  我們先讀第一節
[00:00:34.000 --> 00:00:43.000]  翻到以後,請我們一起來讀
[00:00:43.000 --> 00:00:44.000]  第一節
[00:00:44.000 --> 00:00:53.000]  我的弟兄們,你們信奉我們榮耀的主耶穌基督,便不可按照外貌待人
[00:00:53.000 --> 00:00:56.000]  然後我們讀第九節到十三節
[00:00:57.000 --> 00:01:02.000]  你們若全守這至尊的律法,才是好的
[00:01:02.000 --> 00:01:05.000]  底下讀第九節
[00:01:05.000 --> 00:01:12.000]  但你們若按外貌待人,便是犯罪,被罪法定為犯法的
[00:01:12.000 --> 00:01:20.000]  因為凡遵守全律法的,只在一條上跌倒,那就是犯了重罪
[00:01:20.000 --> 00:01:25.000]  原來祂說不可經營的,也說不可殺人
[00:01:25.000 --> 00:01:31.000]  你就是不經營,你是殺人的,人是只能要按律法的
[00:01:31.000 --> 00:01:40.000]  你們既然要按時人事由的律法受審判,就該照這律法做法行事
[00:01:40.000 --> 00:01:50.000]  因為那不憐憫人的,也要受不憐憫的審判,免你人事向審判誇震
[00:01:50.000 --> 00:01:53.000]  好,我們聖經就讀到這裡
[00:01:54.000 --> 00:02:02.000]  今天我們要跟弟兄姊妹一同來分享的題目就是「信心與偏心」
[00:02:02.000 --> 00:02:10.000]  我們要用的經文就是在《雅各書》第二章從第一節到第十三節
[00:02:12.000 --> 00:02:25.000]  雅各書著重的就是我們怎樣能夠把我們所信的實行出來
[00:02:25.000 --> 00:02:38.000]  我們信了耶穌,那怎樣能夠把我們所信的信仰、所信的真理、所信的神跟耶穌基督能夠實行出來呢?
[00:02:38.000 --> 00:02:43.000]  那就是雅各書著重的講這方面
[00:02:43.000 --> 00:02:51.000]  因為雅各書說,人得救以後就要有好行為
[00:02:51.000 --> 00:03:00.000]  我們可以藉著有好行為來證明他是真正得救的人
[00:03:00.000 --> 00:03:08.000]  雅各書並不是說我們要靠著行為來得救
[00:03:08.000 --> 00:03:15.000]  那聖經也很明確的說我們得救是本宮恩,也是因果性
[00:03:15.000 --> 00:03:25.000]  並不是靠著自己的行為,我們乃是靠著神的恩典我們才能夠被神所拯救
[00:03:25.000 --> 00:03:31.000]  所以雅各書說,你怎麼能夠知道這個人是真正得救的人呢?
[00:03:31.000 --> 00:03:35.000]  他怎麼自己知道呢?別人怎麼知道呢?
[00:03:35.000 --> 00:03:40.000]  就是看他信了以後有沒有好行為
[00:03:40.000 --> 00:03:45.000]  有好行為出來的話就證明他是真得救的人
[00:03:45.000 --> 00:03:54.000]  基督徒生命的過程,這一生的過程可以有三步
[00:03:54.000 --> 00:03:59.000]  第一步就是重生,我們姓祖了,我們重生
[00:03:59.000 --> 00:04:05.000]  重生什麼意思呢?重生就得到祖的生命,一個新的生命
[00:04:05.000 --> 00:04:09.000]  我們從父母得的是一個舊的生命
[00:04:09.000 --> 00:04:13.000]  現在我們要得到新的生命呢?我們是從神
[00:04:13.000 --> 00:04:19.000]  神生了我們,我們就有了一個新的生命
[00:04:19.000 --> 00:04:27.000]  所以基督徒的第一步就是重生,第二步就是承聖
[00:04:27.000 --> 00:04:31.000]  我們重生以後,我們有了新的生命
[00:04:31.000 --> 00:04:36.000]  一開始說,這個生命是很幼稚的,很幼小的
[00:04:36.000 --> 00:04:39.000]  就好像一個嬰孩剛生下來
[00:04:39.000 --> 00:04:45.000]  雖然他也是一個生命,可是他生命比較幼小,很脆弱
[00:04:45.000 --> 00:04:50.000]  需要大人一直照顧他,一直餵養他
[00:04:50.000 --> 00:04:55.000]  這個是人生下來有這樣一個過程
[00:04:55.000 --> 00:04:57.000]  那我們屬靈的生命也是這樣的
[00:04:57.000 --> 00:05:01.000]  我們有了新生命以後,我們剛剛姓的時候
[00:05:01.000 --> 00:05:05.000]  我們的生命還是比較弱小的
[00:05:05.000 --> 00:05:09.000]  還有好多的道理也不明白
[00:05:09.000 --> 00:05:14.000]  好多我們的思想可能還是過去舊的思想
[00:05:14.000 --> 00:05:19.000]  沒有信以前的思想,那些的看法,那些做法
[00:05:19.000 --> 00:05:24.000]  但是我們信了主以後呢,漸漸都要改變
[00:05:24.000 --> 00:05:29.000]  漸漸都要像神所要我們那樣的一個新生命的表現
[00:05:29.000 --> 00:05:33.000]  這個過程呢,就叫承聖
[00:05:33.000 --> 00:05:40.000]  承聖的意思就是我們能夠漸漸的生命被成長了
[00:05:40.000 --> 00:05:45.000]  不再是小孩子漸漸成長,漸漸改變了
