
[00:00:00.000 --> 00:00:03.600]  今天我們要看的這段經文比較長
[00:00:03.600 --> 00:00:06.400]  不過是菲律賓書裡面
[00:00:06.400 --> 00:00:10.600]  從教義的角度來看是最重要的一段
[00:00:10.600 --> 00:00:12.800]  所以我希望如果什麼都忘記了
[00:00:12.800 --> 00:00:14.800]  都記得這一段聖經
[00:00:14.800 --> 00:00:16.800]  這裡是菲律賓書所說的
[00:00:16.800 --> 00:00:24.200]  到底做基督徒是什麼一回事呢?
[00:00:24.200 --> 00:00:30.800]  聖經有很多不同的圖畫、很多不同的比喻
[00:00:30.800 --> 00:00:32.800]  來說到做基督徒
[00:00:32.800 --> 00:00:35.600]  我們比較熟悉的當然就是
[00:00:35.600 --> 00:00:37.600]  我們是神的兒女
[00:00:37.600 --> 00:00:40.200]  上帝是我們的天父
[00:00:40.200 --> 00:00:42.400]  這是最熟悉的一幅圖畫
[00:00:42.400 --> 00:00:44.400]  我們做神的兒女
[00:00:44.400 --> 00:00:49.400]  第二就是我們多數都熟悉的
[00:00:49.400 --> 00:00:52.600]  父神是我們的牧羊人
[00:00:52.600 --> 00:00:54.800]  我們是祂的羊群
[00:00:54.800 --> 00:01:00.200]  祂在青草地上供應我們
[00:01:00.200 --> 00:01:02.600]  看顧我們、補償我們
[00:01:02.600 --> 00:01:06.200]  第三個我們比較熟悉的就是
[00:01:06.200 --> 00:01:09.000]  我們是世上的綱
[00:01:09.000 --> 00:01:10.600]  我們是世上的嚴
[00:01:10.600 --> 00:01:14.000]  所以強調的就是我們對這個邪惡的世代
[00:01:14.000 --> 00:01:16.000]  應該有的影響
[00:01:16.000 --> 00:01:18.400]  說到神自己的兒女做基督徒
[00:01:18.400 --> 00:01:24.400]  然後有另外一個就是我們是耶穌基督的徵兵
[00:01:24.400 --> 00:01:28.000]  這個大家都很熟悉的
[00:01:28.000 --> 00:01:32.800]  我們要與我們的仇敵魔鬼來爭戰
[00:01:32.800 --> 00:01:36.400]  所以我們要穿戴全副的軍裝
[00:01:36.400 --> 00:01:39.000]  比較少人知道的就是
[00:01:39.000 --> 00:01:42.000]  彼得前書第二章第一到十節
[00:01:42.000 --> 00:01:44.800]  描述基督徒是活石
[00:01:44.800 --> 00:01:49.600]  這個靈宮被上帝建造成為一個靈宮
[00:01:49.600 --> 00:01:50.800]  不是說這個教會
[00:01:50.800 --> 00:01:54.000]  是說這個屬靈裡面的一個靈宮
[00:01:54.000 --> 00:01:56.800]  還有我們是軍尊的祭司
[00:01:56.800 --> 00:01:58.800]  是聖傑的國民
[00:01:58.800 --> 00:02:00.800]  是屬於上帝的子民
[00:02:00.800 --> 00:02:03.400]  這些是說到我們侍奉方面
[00:02:03.400 --> 00:02:08.800]  菲律賓書第一章第二十七節就描述基督徒是什麼呢?
[00:02:08.800 --> 00:02:12.200]  是天國的公民
[00:02:12.200 --> 00:02:14.000]  他要強調的是 citizen
[00:02:14.000 --> 00:02:15.800]  是公民這件事
[00:02:15.800 --> 00:02:20.600]  我們必須活得像一個公民
[00:02:20.600 --> 00:02:22.600]  有人說哪裡有啊?
[00:02:22.600 --> 00:02:24.000]  我看也看不到的
[00:02:24.000 --> 00:02:27.400]  因為這裡是一章二十七節那裡
[00:02:27.400 --> 00:02:31.400]  我們聖經要翻出它的意思來
[00:02:31.400 --> 00:02:34.800]  所以就把它做行事為人
[00:02:34.800 --> 00:02:38.600]  行事為人這個專有名詞
[00:02:38.600 --> 00:02:41.600]  基本上其實在原文聖經
[00:02:41.600 --> 00:02:44.600]  就是要活得像公民
[00:02:44.600 --> 00:02:45.600]  你記住了
[00:02:45.600 --> 00:02:46.800]  如果你讀到那裡
[00:02:46.800 --> 00:02:48.400]  你就記得要活得像公民
[00:02:48.400 --> 00:02:50.400]  這個專有的名詞
[00:02:50.400 --> 00:02:53.200]  在新約聖經裡面只用過兩次
[00:02:53.200 --> 00:02:55.400]  這裡菲律賓書一章二十七節
[00:02:55.400 --> 00:02:58.800]  和《士徒行傳》二十三章第一節
[00:02:58.800 --> 00:03:00.600]  用過兩次
[00:03:00.600 --> 00:03:02.600]  都是說到我們基督徒
[00:03:02.600 --> 00:03:04.200]  必須在這個世上
[00:03:04.200 --> 00:03:06.200]  活得像一個公民
[00:03:06.200 --> 00:03:07.600]  那像什麼公民呢?
[00:03:07.600 --> 00:03:09.800]  不是說我們像美國公民
[00:03:09.800 --> 00:03:13.000]  是指我們像天國的公民
[00:03:13.000 --> 00:03:17.000]  我們要活得像公民
[00:03:17.000 --> 00:03:21.200]  就是說我們必須要在行事為人上
[00:03:21.200 --> 00:03:24.600]  所以和合本就把它的意思翻出來
[00:03:24.600 --> 00:03:26.600]  必須在行事為人上
[00:03:26.600 --> 00:03:31.400]  和我們公民的身份相稱
[00:03:31.400 --> 00:03:35.000]  大家來到美國
[00:03:35.000 --> 00:03:36.600]  包括我自己在內
[00:03:36.600 --> 00:03:38.000]  我是在這裡入籍的
[00:03:38.000 --> 00:03:41.400]  你不要以為入籍了就完美了
