
[00:00:00.000 --> 00:00:01.700]  各位姐妹早晨,我是黃牧師
[00:00:01.700 --> 00:00:04.700]  我們再次回到神的話的面前
[00:00:04.700 --> 00:00:06.400]  一起同心的念讀
[00:00:06.400 --> 00:00:09.200]  我們再次在這個主日的時間
[00:00:09.200 --> 00:00:11.900]  我們再次以禱告打開我們心思意念
[00:00:11.900 --> 00:00:13.300]  求聖靈帶領我們
[00:00:13.300 --> 00:00:16.000]  能夠一路在上帝的說話裏面
[00:00:16.000 --> 00:00:18.400]  同心的學習,要一起同心的禱告
[00:00:18.400 --> 00:00:20.800]  慈悲的天父,多謝你
[00:00:20.800 --> 00:00:24.500]  讓我們能夠繼續在每一個星期日的早上
[00:00:24.500 --> 00:00:27.800]  我們眾弟兄姐妹仍然可以透過網絡
[00:00:27.800 --> 00:00:31.100]  能夠一同的去學習主理的說話
[00:00:31.100 --> 00:00:33.200]  求主你的靈與我們同在
[00:00:33.200 --> 00:00:36.000]  幫助我們每一個能夠更深的去認識
[00:00:36.000 --> 00:00:37.700]  上帝你的教訓
[00:00:37.700 --> 00:00:39.700]  也要讓我們能夠好好地預備
[00:00:39.700 --> 00:00:41.400]  能夠在永恆的當中
[00:00:41.400 --> 00:00:43.300]  與主理去預備見面
[00:00:43.300 --> 00:00:45.100]  求主你的幫助
[00:00:45.100 --> 00:00:46.500]  我們親愛的天父,感謝你
[00:00:46.500 --> 00:00:49.500]  給我們再次來到你的說話的面前
[00:00:49.500 --> 00:00:51.900]  讓我們一起來到
[00:00:51.900 --> 00:00:55.500]  首先來到了解上帝你的話語
[00:00:55.500 --> 00:00:58.300]  求你的幫助,在你的話語當中的教訓
[00:00:58.300 --> 00:01:00.500]  也成為我們生命的一部分
[00:01:00.500 --> 00:01:02.100]  好使我們能夠預備
[00:01:02.100 --> 00:01:04.300]  在永恆的裏面與你同活
[00:01:04.300 --> 00:01:06.200]  好,親愛的天父,再次感謝你
[00:01:06.200 --> 00:01:08.600]  讓我們有一個機會
[00:01:08.600 --> 00:01:10.100]  在星期日的早上
[00:01:10.100 --> 00:01:13.300]  我們可以透過非常不同的媒體
[00:01:13.300 --> 00:01:17.000]  讓我們可以繼續學習你的說話
[00:01:17.000 --> 00:01:19.700]  也能夠了解你是誰
[00:01:19.700 --> 00:01:21.500]  幫助我們透過你的聖靈
[00:01:21.500 --> 00:01:25.900]  帶領我們透過這段時間,我們聽你的說話
[00:01:25.900 --> 00:01:28.100]  我們在名義的名義地祈禱主耶穌基督
[00:01:28.100 --> 00:01:29.200]  我們同心圍禱告
[00:01:29.200 --> 00:01:31.800]  奉靠主耶穌基督,得聖命治疗
[00:01:31.800 --> 00:01:33.600]  阿們
[00:01:33.600 --> 00:01:36.100]  好,今天我們會繼續去延續
[00:01:36.100 --> 00:01:39.200]  我們上個星期去看到有關於
[00:01:39.200 --> 00:01:40.200]  一個題目叫做
[00:01:40.200 --> 00:01:44.600]  從付出當中去看純全侍奉的資格
[00:01:44.600 --> 00:01:48.100]  我們會從《路德記》第二章
[00:01:48.100 --> 00:01:49.100]  上次我們已經看了
[00:01:49.100 --> 00:01:51.400]  從第十節至第十三節
[00:01:51.400 --> 00:01:53.500]  今天我們會一起繼續去看
[00:01:53.500 --> 00:01:56.200]  第十四節至第十七節
[00:01:56.200 --> 00:01:58.000]  如果你也有聖經的話
[00:01:58.000 --> 00:01:59.700]  請一起打開聖經
[00:01:59.700 --> 00:02:03.400]  在《路德記》舊約聖經第二章
[00:02:03.400 --> 00:02:07.100]  第十四節至第十七節
[00:02:07.100 --> 00:02:08.500]  好,準備好之後
[00:02:08.500 --> 00:02:10.600]  我會為大家一起讀出
[00:02:10.600 --> 00:02:11.900]  我先會讀出和合本
[00:02:11.900 --> 00:02:16.000]  然後我會讀出NRSV的譯本
[00:02:16.000 --> 00:02:17.600]  到了吃飯的時候
[00:02:17.600 --> 00:02:19.900]  波亞斯對路德說
[00:02:19.900 --> 00:02:22.700]  你到這裡來吃餅
[00:02:22.700 --> 00:02:25.500]  將餅蘸在醋裡
[00:02:25.500 --> 00:02:29.000]  路德就在修過的人旁邊坐下
[00:02:29.000 --> 00:02:32.600]  他們把焊料的水紙遞給他
[00:02:32.600 --> 00:02:34.000]  他吃飽了
[00:02:34.000 --> 00:02:36.200]  還有餘剩的
[00:02:36.200 --> 00:02:39.300]  他起來又拾取墨水
[00:02:39.300 --> 00:02:42.000]  波亞斯吩咐僕人說
[00:02:42.000 --> 00:02:46.100]  他就是在菌中拾取墨水
[00:02:46.100 --> 00:02:47.800]  也可以用它
[00:02:47.800 --> 00:02:49.500]  不可羞辱它
[00:02:49.500 --> 00:02:52.300]  並要從菌裡抽出些來
[00:02:52.300 --> 00:02:56.000]  留在地下任他拾取
[00:02:56.000 --> 00:02:58.000]  不可乘客它
[00:02:58.000 --> 00:03:01.500]  這樣路德在田間拾取墨水
[00:03:01.500 --> 00:03:02.900]  直到晚上
[00:03:02.900 --> 00:03:05.600]  將所拾取的打了
[00:03:05.600 --> 00:03:09.400]  若有一衣發大麥
[00:03:09.400 --> 00:03:11.300]  在吃飯的時候
[00:03:11.300 --> 00:03:13.800]  波亞斯對她說
[00:03:13.800 --> 00:03:17.200]  到這裡來吃餅
[00:03:17.200 --> 00:03:21.500]  將餅蘸在醋裡
[00:03:21.500 --> 00:03:25.200]  路德就在修過的人旁邊坐下
[00:03:25.200 --> 00:03:30.000]  他們把焊料的水紙遞給他
[00:03:30.000 --> 00:03:32.400]  他吃飽了
[00:03:32.400 --> 00:03:36.000]  還有餘剩的
[00:03:36.000 --> 00:03:38.800]  他起來又拾取墨水
