
[00:00:00.000 --> 00:00:05.760]  聖經有很多偉大人物的記載
[00:00:05.760 --> 00:00:11.700]  但是最令我驚奇、最令我詫異的就是大衛
[00:00:11.700 --> 00:00:16.680]  我有時在想,為什麼上帝這麼體重大衛呢?
[00:00:16.680 --> 00:00:20.260]  為什麼上帝好像特別疼愛他呢?
[00:00:20.260 --> 00:00:24.000]  甚至有人覺得他偏愛大衛呢?
[00:00:24.000 --> 00:00:32.440]  在《啟示錄》最後一章描寫人類的歷史終結
[00:00:32.440 --> 00:00:35.200]  預言到人類歷史終結
[00:00:35.200 --> 00:00:38.340]  就好像舞台閉幕那一刻
[00:00:38.340 --> 00:00:42.280]  耶穌基督就作出一個宣告
[00:00:42.280 --> 00:00:50.440]  祂說:「我是大衛的根,又是他的後裔,我是明亮的神聖」
[00:00:50.440 --> 00:00:55.120]  大衛是一個人,是一個凡人,和你和我一樣
[00:00:55.120 --> 00:00:57.120]  都犯了很多罪
[00:00:57.120 --> 00:01:04.720]  為什麼創天造地的神,耶穌基督竟然說我是大衛的根,是祂的後裔呢?
[00:01:04.720 --> 00:01:06.720]  奇不奇怪?
[00:01:06.720 --> 00:01:12.220]  還有,在《撒姆爾記》上的十三章
[00:01:12.220 --> 00:01:17.220]  撒姆爾對蘇羅王說:「你不要,我要取代你」
[00:01:17.220 --> 00:01:24.120]  那他怎麼說呢?他說:「耶和華已經為自己找到一個合他心意的人
[00:01:24.120 --> 00:01:28.640]  立他作自己子民的領袖
[00:01:28.640 --> 00:01:32.640]  因為你沒有緊守耶和華所吩咐你的」
[00:01:32.640 --> 00:01:38.220]  耶和華為自己找到合他心意,就是合心意的人
[00:01:38.220 --> 00:01:44.520]  大衛為了怎樣合神的心意,你和我是不是合神的心意呢?
[00:01:44.520 --> 00:01:48.420]  有誰認為自己是合神心意的,請你舉手,有沒有?
[00:01:48.420 --> 00:01:50.420]  我們全英雄一個都沒有嗎?
[00:01:50.420 --> 00:01:53.420]  賓封舉了一隻手指,是不是真是假的?
[00:01:53.420 --> 00:01:55.420]  不是嗎?是假的?OK
[00:01:55.420 --> 00:01:57.920]  我自己也不敢說自己是合神心意的
[00:01:57.920 --> 00:02:03.920]  今天我們就要看,怎樣成為一個合神心意的人
[00:02:03.920 --> 00:02:06.420]  是不是因為你要很巴閉才行呢?
[00:02:06.420 --> 00:02:09.420]  我會給你的答案,從聖經找出來的答案
[00:02:09.420 --> 00:02:14.420]  是令你驚異,又令你歡喜的
[00:02:14.420 --> 00:02:19.420]  首先,我們重溫一下大衛的生平
[00:02:19.420 --> 00:02:22.420]  大衛年少的時候,他相當平凡
[00:02:22.420 --> 00:02:24.420]  他是牧羊的
