
[00:00:00.000 --> 00:00:04.080]  不知道大家有沒有聽過煮青蛙的方法
[00:00:04.080 --> 00:00:07.280]  有一個故事告訴我們煮青蛙要怎樣煮
[00:00:07.280 --> 00:00:11.480]  如果你將一隻青蛙放入熱水裏面
[00:00:11.480 --> 00:00:13.480]  牠馬上會跳出來
[00:00:13.480 --> 00:00:16.480]  因為青蛙是冷血的
[00:00:16.480 --> 00:00:19.760]  外面高熱的環境
[00:00:19.760 --> 00:00:22.000]  會使牠們很警覺
[00:00:22.000 --> 00:00:24.000]  馬上就會逃生
[00:00:24.000 --> 00:00:26.480]  但如果你真的想煮青蛙
[00:00:26.480 --> 00:00:29.000]  你要將青蛙放在冷水裏面
[00:00:29.000 --> 00:00:31.000]  慢慢加熱
[00:00:31.000 --> 00:00:36.000]  青蛙就會被煮熟了
[00:00:36.000 --> 00:00:42.000]  有人說今天很多基督徒都好像在冷水裏面的青蛙
[00:00:42.000 --> 00:00:46.000]  陶醉在自由富裕的社會生活方式當中
[00:00:46.000 --> 00:00:50.000]  跟隨潮流的時尚飲食
[00:00:50.000 --> 00:00:53.000]  而忽略了天國的大業
[00:00:53.000 --> 00:00:55.000]  和主耶穌的教導
[00:00:55.000 --> 00:00:58.000]  所以如果我們要明白上帝的旨意
[00:00:58.000 --> 00:01:04.000]  我們一定要根深而變化的心意
[00:01:04.000 --> 00:01:06.000]  是先決條件
[00:01:06.000 --> 00:01:09.000]  我們一定要先有根深而變化的心意
[00:01:09.000 --> 00:01:13.000]  不要隨便跟隨世界的潮流
[00:01:13.000 --> 00:01:15.000]  要多讀聖經
[00:01:15.000 --> 00:01:16.000]  多祈禱
[00:01:16.000 --> 00:01:19.000]  學習聽聖靈的聲音
[00:01:19.000 --> 00:01:26.000]  這樣我們就很容易可以明白上帝的旨意
[00:01:26.000 --> 00:01:28.000]  上帝善良順傳
[00:01:28.000 --> 00:01:30.000]  可喜悅的旨意
[00:01:30.000 --> 00:01:34.000]  我們的人生就不至於被潮流的無定向風
[00:01:34.000 --> 00:01:37.000]  吹到搖擺不定
[00:01:37.000 --> 00:01:41.000]  上星期我們看到文素的二十二章
[00:01:41.000 --> 00:01:44.000]  記載了一個很有趣的故事
[00:01:44.000 --> 00:01:47.000]  是一隻會講話的驢
[00:01:47.000 --> 00:01:50.000]  去責備主人巴蘭仙芝
[00:01:50.000 --> 00:01:53.000]  原因就是巴蘭仙芝
[00:01:53.000 --> 00:01:58.000]  是接受了摩訶王巴勒的邀請
[00:01:58.000 --> 00:02:03.000]  要去摩訶那裡奏助以色列人
[00:02:03.000 --> 00:02:09.000]  事實上上帝的旨意是要祝福以色列人的
[00:02:09.000 --> 00:02:13.000]  但是巴蘭仙芝卻是很貪錢
[00:02:13.000 --> 00:02:18.000]  而她不顧上帝的心意
[00:02:18.000 --> 00:02:21.000]  就跟了去了
[00:02:21.000 --> 00:02:26.000]  上帝當然有辦法教訓這麼貪錢的僕人
[00:02:26.000 --> 00:02:34.000]  上帝就要巴蘭只是說上帝要她說的話
[00:02:34.000 --> 00:02:39.000]  在文素的二十三章就記載巴蘭說了兩次話
[00:02:39.000 --> 00:02:41.000]  都是祝福以色列人
[00:02:41.000 --> 00:02:44.000]  但是摩訶王巴勒
[00:02:44.000 --> 00:02:48.000]  就是一個非常堅持己見
[00:02:48.000 --> 00:02:50.000]  不容易放棄的人
[00:02:50.000 --> 00:02:57.000]  可能由於她知道如果沒有靈界力量的幫助
[00:02:57.000 --> 00:03:02.000]  她和她的人民就只有死路一條
[00:03:02.000 --> 00:03:08.000]  所以雖然巴蘭已經說了兩次祝福的說話
[00:03:08.000 --> 00:03:12.000]  巴勒依然是死心不息
[00:03:12.000 --> 00:03:15.000]  她要帶巴蘭去另外一個地方
[00:03:15.000 --> 00:03:19.000]  要求巴蘭在那個地方奏助以色列人
