
[00:00:00.000 --> 00:00:06.000]  今天我們繼續來看啟示錄裏面的第三間教會,別加摩教會。
[00:00:06.000 --> 00:00:09.000]  我們希望能夠從這間教會當中來學習,
[00:00:09.000 --> 00:00:11.000]  特別是我們今天所處身的這個世代裏面,
[00:00:11.000 --> 00:00:15.000]  可能正正和別加摩教會所處身的環境差不多。
[00:00:15.000 --> 00:00:19.000]  我們一起來讓別加摩教會神給他的訊息,
[00:00:19.000 --> 00:00:22.000]  同樣成為我們今天教會要聆聽的訊息。
[00:00:22.000 --> 00:00:25.000]  我們一起來先讀一次這段經文,
[00:00:25.000 --> 00:00:27.000]  讓我們能夠熟悉這段經文。
[00:00:27.000 --> 00:00:31.000]  你可以看螢光幕,或者是看你自己手上的聖經。
[00:00:31.000 --> 00:00:34.000]  我們讀完由十二節讀到第十七節。
[00:00:34.000 --> 00:00:36.000]  預備起!
[00:00:36.000 --> 00:00:40.000]  你要寫信給別加摩教會的使者說:
[00:00:40.000 --> 00:00:43.000]  那有兩人離間的說:
[00:00:43.000 --> 00:00:48.000]  我知道你的居所就是有撒旦座位之處,
[00:00:48.000 --> 00:00:53.000]  當我忠心的見證人安提帕在你們中間,
[00:00:53.000 --> 00:00:57.000]  撒旦所住的地方被殺之時,
[00:00:57.000 --> 00:01:01.000]  你還堅守我的名,沒有棄絕我的道。
[00:01:01.000 --> 00:01:05.000]  然而有幾件事我要責備你,
[00:01:05.000 --> 00:01:10.000]  因為在你那裏有人服從了巴蘭的教訓,
[00:01:10.000 --> 00:01:17.000]  這巴蘭曾教導巴勒將半腳石放在以色列人面前,
[00:01:17.000 --> 00:01:22.000]  叫他們吃祭偶像之物,行奸淫的事。
[00:01:22.000 --> 00:01:28.000]  你那裏也有人照樣服從了尼哥拉一黨人的教訓,
[00:01:28.000 --> 00:01:32.000]  所以你當悔改,若不悔改,
[00:01:32.000 --> 00:01:38.000]  我就快臨到你那裏,用我口中的劍攻擊他們。
[00:01:38.000 --> 00:01:42.000]  聖靈向宗教會所說的話:
[00:01:42.000 --> 00:01:45.000]  凡有異的,就應當停;
[00:01:45.000 --> 00:01:50.000]  得勝的,我必將那隱藏的馬拿賜給他,
[00:01:50.000 --> 00:01:55.000]  定似他一塊白石,石上寫著生命,
[00:01:55.000 --> 00:02:00.000]  除了那領受的以外,沒有人能認識。
[00:02:00.000 --> 00:02:06.000]  別加摩教會是當時一個很出名的地方教會,
[00:02:06.000 --> 00:02:09.000]  在教會的身上我們要學習什麼呢?
[00:02:09.000 --> 00:02:13.000]  第一,我們不可以用罪來妥協,
[00:02:13.000 --> 00:02:15.000]  我們不可以用罪來妥協,
[00:02:15.000 --> 00:02:20.000]  當別加摩的信徒安提柏在二章十三節給我們看到,
[00:02:20.000 --> 00:02:25.000]  他因為堅守神的命,沒有棄絕神的道,
