
[00:00:00.000 --> 00:00:02.840]  歡迎大家來到我們的《周到崇拜》
[00:00:02.840 --> 00:00:06.640]  如果你過去那十天有來過我們教會
[00:00:06.640 --> 00:00:09.560]  應該知道我們教會都連續十天
[00:00:09.560 --> 00:00:13.460]  在轉播這個港九培靈言經大會
[00:00:13.460 --> 00:00:15.840]  我不知道你有沒有來這裏聽
[00:00:15.840 --> 00:00:18.300]  我不知道你聽了多少
[00:00:18.300 --> 00:00:22.120]  又或者你會不會聽到耳朵都有點累呢
[00:00:22.120 --> 00:00:24.520]  如果你星期五有收到我的WhatsApp
[00:00:24.520 --> 00:00:27.840]  我就說有時喫得山珍海味多
[00:00:27.840 --> 00:00:32.040]  都需要喫一點鹹魚青菜這樣
[00:00:32.040 --> 00:00:38.020]  你享受了這三位星級港瑜的十全大補湯
[00:00:38.020 --> 00:00:42.500]  或者都是時候喝一點福音的清湯
[00:00:42.500 --> 00:00:47.640]  我是真理小廚的見習廚師林牧師
[00:00:47.640 --> 00:00:54.240]  今天要帶大家回去聽我們的馬河福音
[00:00:54.840 --> 00:00:59.800]  由今年一月開始我們一直在研究馬河福音
[00:00:59.800 --> 00:01:04.440]  我們講到系列的總題叫做「非凡的見證」
[00:01:04.440 --> 00:01:07.680]  不是因爲馬河是一個非凡的作者
[00:01:07.680 --> 00:01:11.280]  而是因爲主耶穌基督是一個非凡的救主
[00:01:11.280 --> 00:01:16.800]  今天我們讀的經文是馬河福音第四章第一節至二十節
[00:01:16.800 --> 00:01:21.840]  我們的題目是「聽啊,並要再聽」
[00:01:21.840 --> 00:01:24.800]  我想很多人都讀過這段聖經
[00:01:24.800 --> 00:01:28.160]  是一個非常熟悉的聖經
[00:01:28.160 --> 00:01:32.000]  不過今天我想用一個少少不同的角度
[00:01:32.000 --> 00:01:35.880]  帶你去看耶穌最出名的比喻
[00:01:35.880 --> 00:01:39.280]  希望對大家都有少少的幫助
[00:01:39.280 --> 00:01:42.480]  馬河福音第四章第一節這樣講
[00:01:42.480 --> 00:01:45.000]  耶穌又在海邊教導人
[00:01:45.000 --> 00:01:48.840]  有一大羣人到他那裏聚集
[00:01:48.840 --> 00:01:51.160]  他只好上船坐下
[00:01:51.160 --> 00:01:56.720]  船在海里衆人都靠近海站在岸上
[00:01:56.720 --> 00:01:59.600]  上次我們一起去看馬河福音
[00:01:59.600 --> 00:02:01.880]  其實已經是三個星期之前
[00:02:01.880 --> 00:02:04.840]  今天我們已經踏進了另外一個階段
[00:02:04.840 --> 00:02:06.160]  是馬河福音第四章
[00:02:06.160 --> 00:02:08.520]  當你開始馬河福音第四章的時候
