
[00:00:00.000 --> 00:00:02.940]  在逾節的筵席
[00:00:02.940 --> 00:00:05.980]  主耶穌在最後的晚餐之後
[00:00:05.980 --> 00:00:08.180]  就跟門徒說
[00:00:08.180 --> 00:00:12.120]  今夜你們為我的緣故要跌倒
[00:00:12.120 --> 00:00:14.420]  因為經上記著說
[00:00:14.420 --> 00:00:19.420]  「我要擊打木人 羊就分散了」
[00:00:19.420 --> 00:00:21.900]  究竟什麼是跌倒呢?
[00:00:21.900 --> 00:00:24.000]  名勝的倒退
[00:00:24.000 --> 00:00:26.900]  自我的身份的否定
[00:00:26.900 --> 00:00:30.640]  失去了對信仰那份熱誠
[00:00:30.640 --> 00:00:35.840]  失去了對主信靠的心
[00:00:35.840 --> 00:00:39.780]  什麼情況會讓人跌倒?
[00:00:39.780 --> 00:00:44.320]  迫不還難 可能會讓人跌倒
[00:00:44.320 --> 00:00:48.420]  壓力 可能也會讓人跌倒
[00:00:48.420 --> 00:00:54.700]  心靈肉體軟弱 更加容易讓人跌倒
[00:00:54.700 --> 00:00:59.860]  領姊妹 你有沒有試過跌倒?
[00:00:59.860 --> 00:01:05.100]  你最近一次跌倒的感受是怎樣呢?
[00:01:05.100 --> 00:01:06.700]  耶穌在這裡說
[00:01:06.700 --> 00:01:12.040]  就在今夜門徒將要跌倒
[00:01:12.040 --> 00:01:16.820]  他們不是因為失去了平衡感而跌倒
[00:01:16.820 --> 00:01:23.580]  也不是因為晚餐喝得太多酒而跌倒
[00:01:23.580 --> 00:01:32.200]  耶穌是說門徒將要因為他往後的遭遇而跌倒
[00:01:32.200 --> 00:01:33.940]  耶穌的門徒
[00:01:33.940 --> 00:01:38.140]  大大話話都叫跟了他三年
[00:01:38.140 --> 00:01:40.380]  如果我讀神學院的話
[00:01:40.380 --> 00:01:42.880]  可能即將要畢業
[00:01:42.880 --> 00:01:47.120]  耶穌在很多的場合都帶著他們
[00:01:47.120 --> 00:01:52.060]  照理對他們可以有很高的期望
