
[00:00:00.000 --> 00:00:08.000]  今日我們要迷思 迷思的內容就是以色列全家特救的主題
[00:00:08.000 --> 00:00:18.000]  在羅馬書九到十一章裏面 保羅主要是講到以色列和福音的關係
[00:00:18.000 --> 00:00:22.000]  其實在回答一個很重要的問題
[00:00:22.000 --> 00:00:30.000]  當福音 當救恩臨到外邦人 形成一個新的信仰群體 教會的時候
[00:00:30.000 --> 00:00:34.000]  這個會不會意味著以色列的認許
[00:00:34.000 --> 00:00:40.000]  特別是講到在舊約裏面 神對以色列的認許已經廢棄呢
[00:00:40.000 --> 00:00:44.000]  其實九到十一章就是回答這個問題
[00:00:44.000 --> 00:00:46.000]  用三章的經文來回答這個問題
[00:00:46.000 --> 00:00:49.000]  他的認許是不是已經遭到廢棄
[00:00:49.000 --> 00:00:53.000]  當然答案是不是的 斷乎沒有
[00:00:53.000 --> 00:00:56.000]  十一章一節十一章十一節都是這樣講到
[00:00:56.000 --> 00:01:00.000]  神棄絕了他的百姓嗎 斷乎沒有
[00:01:00.000 --> 00:01:05.000]  他們失腳是要他們跌倒嗎 斷乎不是
[00:01:05.000 --> 00:01:10.000]  其實保羅很強烈的言語去回答這個問題
[00:01:10.000 --> 00:01:15.000]  當然他用了很多很多的經文去表達這個信息
[00:01:15.000 --> 00:01:21.000]  第九章的時間他會講到 神的認許從來都不是因為
[00:01:21.000 --> 00:01:26.000]  你生出來是以色列人就可以一定得著這個救恩
[00:01:26.000 --> 00:01:30.000]  是憑著認許和揀選 憑著一個真的信心
[00:01:30.000 --> 00:01:35.000]  跟著九章三十到十章的時間是講到
[00:01:35.000 --> 00:01:38.000]  大部分以色列民在耶穌基督完成救恩的時候
[00:01:38.000 --> 00:01:41.000]  他們都拒絕福音 這是他們的責任
[00:01:41.000 --> 00:01:45.000]  因為神早已經告訴他們 他們清楚應該明白
[00:01:45.000 --> 00:01:50.000]  他們不是靠著行律法 而是要靠著神的恩典
[00:01:50.000 --> 00:01:53.000]  靠著耶穌基督的恩典 而得到這份義
[00:01:53.000 --> 00:01:56.000]  跟著在十一章的頭十節的時間
[00:01:56.000 --> 00:01:59.000]  保羅用自己作為一個例子講明
[00:01:59.000 --> 00:02:03.000]  在教會這個時間其實已經有部分的以色列民
[00:02:03.000 --> 00:02:08.000]  猶太人已經因信耶穌基督而得蒙拯救
[00:02:08.000 --> 00:02:14.000]  跟著今天就講到第四部分 十一至三十二節的內容
[00:02:14.000 --> 00:02:17.000]  在這段經文裏面 首先我想問大家一個問題
[00:02:17.000 --> 00:02:22.000]  在經文裏面是誰寫給誰的
[00:02:22.000 --> 00:02:26.000]  作者是誰 讀者是誰
[00:02:26.000 --> 00:02:30.000]  作者是保羅 是不是 非常清楚
[00:02:30.000 --> 00:02:35.000]  讀者呢 我們看十三節是怎樣說的
[00:02:35.000 --> 00:02:41.000]  十三節說 「我對你們外邦人說者話 因我是外邦人的使徒」
[00:02:41.000 --> 00:02:46.000]  所以這段經文裏面主要是集中對外邦信徒說的
[00:02:46.000 --> 00:02:51.000]  我們知道羅馬教會主要都是以外邦信徒為主的教會
[00:02:51.000 --> 00:02:54.000]  那時候剛開始的時候當然是猶太信徒
[00:02:54.000 --> 00:02:57.000]  但慢慢發展到羅馬這個城市的背景
[00:02:57.000 --> 00:03:01.000]  跟著越來越多的外邦信徒 這個理所當然的
[00:03:01.000 --> 00:03:04.000]  跟著我想問大家一個問題
[00:03:04.000 --> 00:03:07.000]  大家有沒有發現經文裏面有兩個很重要的代名詞
[00:03:07.000 --> 00:03:09.000]  或者兩類很重要的代名詞
[00:03:09.000 --> 00:03:13.000]  一個是「他們」 是不是看到很多地方說「他們」
[00:03:13.000 --> 00:03:18.000]  一個是「你們」 或者有時候用「你」來代替
[00:03:18.000 --> 00:03:22.000]  「他們」是誰 「你們」是誰呢
[00:03:22.000 --> 00:03:26.000]  「他們」當然是指以色列人 猶太人
[00:03:26.000 --> 00:03:30.000]  而「我們」就是指讀者 讀者就是那些外邦人
[00:03:30.000 --> 00:03:34.000]  所以要搞清楚這兩個概念 寶來分得很清楚
[00:03:34.000 --> 00:03:37.000]  是很完整很清楚 為什麼要這樣說呢
[00:03:37.000 --> 00:03:40.000]  因為我們讀跟著的聖經 解釋跟著的聖經的時候
[00:03:40.000 --> 00:03:45.000]  這兩個概念是很清楚幫助我們理解這段經文
[00:03:45.000 --> 00:03:48.000]  這段經文內容是非常豐富的
[00:03:48.000 --> 00:03:52.000]  其實不同的神學立場可以有很多不同的解讀
[00:03:52.000 --> 00:03:56.000]  今天我希望透過聖經本身經文裏面的一些文學結構
[00:03:56.000 --> 00:03:58.000]  去解讀這段經文
[00:03:58.000 --> 00:04:02.000]  我只有三十分鐘 所以我沒有辦法講完所有的經文
[00:04:02.000 --> 00:04:06.000]  每一節每一節這樣講 我都沒有很多的生活例子
[00:04:06.000 --> 00:04:10.000]  所以希望大家不要聽到得教訓
[00:04:10.000 --> 00:04:13.000]  要專心聽神的話
[00:04:13.000 --> 00:04:16.000]  今天我們會著重講的經文主要是兩部分
[00:04:16.000 --> 00:04:18.000]  一個是講到橄欖樹的比喻
[00:04:18.000 --> 00:04:21.000]  第二個是講到以色列人 全以色列人得救
[00:04:21.000 --> 00:04:25.000]  或者全家得救的奧秘
[00:04:25.000 --> 00:04:28.000]  首先我要反過來講 我先講奧秘
[00:04:28.000 --> 00:04:33.000]  大家看看這個奧秘 二十五節到二十七節
[00:04:33.000 --> 00:04:39.000]  開頭保羅就說弟兄們 我不願意你們不知道這奧秘
[00:04:39.000 --> 00:04:46.000]  在聖經裏面 奧秘這個詞的意思是什麼呢?
