
[00:00:00.000 --> 00:00:04.440]  上星期講完第一個呼召的見證
[00:00:04.440 --> 00:00:07.900]  講以塞雅
[00:00:07.900 --> 00:00:11.300]  講完On Fire for Christ 讓我能看見
[00:00:11.300 --> 00:00:16.000]  有弟兄姊妹說其實不太明白你說什麼
[00:00:16.000 --> 00:00:19.000]  其實都是有些困難的
[00:00:19.000 --> 00:00:22.700]  我想強調在上一次的講道裡面
[00:00:22.700 --> 00:00:25.800]  上帝給不同人有不同的經歷
[00:00:25.800 --> 00:00:28.300]  他給以塞雅看到很多的東西
[00:00:28.300 --> 00:00:30.800]  他給以塞雅看到她的罪
[00:00:30.800 --> 00:00:34.500]  看到她群體的問題
[00:00:34.500 --> 00:00:36.700]  看到她的任務
[00:00:36.700 --> 00:00:39.800]  也看到她將來服侍的果效
[00:00:39.800 --> 00:00:41.600]  就是沒有果效
[00:00:41.600 --> 00:00:46.400]  在人的眼中好像是一個失敗的經歷
[00:00:46.400 --> 00:00:48.500]  但是神都容
[00:00:48.500 --> 00:00:52.700]  神都容讓她的計劃裡面
[00:00:52.700 --> 00:00:58.500]  是有人真的聽了聽不明白看了沒有反應
[00:00:58.500 --> 00:01:03.900]  但最重要的我想強調在先知的生命裡面
[00:01:03.900 --> 00:01:09.300]  怎樣可以支持她可以很忠心地
[00:01:09.300 --> 00:01:11.300]  熬到最後
[00:01:11.300 --> 00:01:13.700]  在四十年的服侍
[00:01:13.700 --> 00:01:18.000]  完全沒有一刻離開
[00:01:18.000 --> 00:01:19.900]  或者沒有一刻退縮
[00:01:19.900 --> 00:01:23.200]  是因為我很相信在第六章講她一開始
[00:01:23.200 --> 00:01:26.100]  她看到那個很偉大的上帝
[00:01:26.100 --> 00:01:30.000]  當她看到上帝那個榮耀偉大的時候
[00:01:30.000 --> 00:01:32.200]  其他東西都不再重要
[00:01:32.200 --> 00:01:35.500]  其他東西都不要緊了
[00:01:35.500 --> 00:01:38.700]  被人笑被人說
[00:01:38.700 --> 00:01:41.200]  甚至乎最後要殉道
[00:01:41.200 --> 00:01:43.200]  這一切都不重要
[00:01:43.200 --> 00:01:46.500]  所以我很希望弟兄姊妹在我們的生命裡面
[00:01:46.500 --> 00:01:51.100]  我們真的嘗試努力去見上帝的面
[00:01:51.100 --> 00:01:53.700]  可能藉著經文藉著講道
[00:01:53.700 --> 00:01:57.300]  藉著敬拜藉著你的祈禱的時間
[00:01:57.300 --> 00:01:59.100]  你真的去找一下
[00:01:59.100 --> 00:02:03.000]  希望上帝也讓我們見到祂那個豐盛的榮耀
[00:02:03.000 --> 00:02:06.800]  正如今天領師大敬拜的姐妹
[00:02:06.800 --> 00:02:10.000]  第一首詩歌都是在講神的偉大
[00:02:10.000 --> 00:02:15.600]  今天要轉另一個故事
[00:02:15.600 --> 00:02:17.800]  講的是李希敏的故事
[00:02:17.800 --> 00:02:19.400]  李希敏有什麼特別呢?
[00:02:19.400 --> 00:02:23.900]  其實這篇道是大概一年半前我在大堂講過的
[00:02:23.900 --> 00:02:26.000]  不過當然過了一年半
[00:02:26.000 --> 00:02:28.800]  我又有些反省又有些修改
[00:02:28.800 --> 00:02:32.000]  但我覺得在她的經歷裡面很有趣
[00:02:32.000 --> 00:02:34.700]  為什麼叫做披甲上陣
[00:02:34.700 --> 00:02:36.700]  李希敏是一個什麼人
[00:02:36.700 --> 00:02:41.200]  李希敏是一個波斯王的酒精
[00:02:41.200 --> 00:02:42.500]  一個官
[00:02:42.500 --> 00:02:44.200]  爬到人生的高峰
[00:02:44.200 --> 00:02:46.700]  她不可能做波斯王了
[00:02:46.700 --> 00:02:48.500]  因為她是猶太人
[00:02:48.500 --> 00:02:50.600]  但是在她可以爬的職位
[00:02:50.600 --> 00:02:53.000]  她已經去到頂峰
[00:02:53.000 --> 00:02:57.200]  突然之間她願意披甲上陣
[00:02:57.200 --> 00:03:01.300]  回到耶路撒冷這個廢墟重建
[00:03:01.300 --> 00:03:04.800]  重建一個荒廢了百多年的廢墟
[00:03:04.800 --> 00:03:07.300]  根據聖經的技術
[00:03:07.300 --> 00:03:10.700]  在她最後一路去建這個城牆的時候
[00:03:10.700 --> 00:03:12.700]  其實為什麼說她披甲呢?
[00:03:12.700 --> 00:03:14.300]  因為她有很多外敵攻擊
[00:03:14.300 --> 00:03:17.800]  她是一隻手拿著什麼?
