
[00:00:00.000 --> 00:00:02.040]  我今晚要和你們講一個
[00:00:02.040 --> 00:00:04.600]  我覺得幾難講的題目
[00:00:04.600 --> 00:00:07.280]  幾深的
[00:00:07.280 --> 00:00:11.880]  剛才我都費了一些力才和青少年區講到
[00:00:11.880 --> 00:00:15.000]  還要賣當借這樣才講到
[00:00:15.000 --> 00:00:18.000]  我其實不是很想賣當借這樣講的
[00:00:18.000 --> 00:00:20.440]  賣的意思就是賣自己的身
[00:00:20.440 --> 00:00:22.360]  將自己當了去
[00:00:22.360 --> 00:00:26.480]  借故事來用,叫賣當借這樣
[00:00:26.480 --> 00:00:33.560]  但其實這是一個很重要的訊息
[00:00:33.560 --> 00:00:36.400]  其實它是我論文
[00:00:36.400 --> 00:00:42.440]  我那個教務學博士論文的核心訊息
[00:00:42.440 --> 00:00:45.720]  如果我可以講得清楚
[00:00:45.720 --> 00:00:47.320]  因為我還未動筆寫
[00:00:47.320 --> 00:00:49.040]  只是在這裡醞釀
[00:00:49.040 --> 00:00:50.680]  我可以講得清楚
[00:00:50.680 --> 00:00:53.000]  你可以聽得明白
[00:00:53.000 --> 00:00:57.520]  那我就覺得真的太好了
[00:00:57.520 --> 00:01:00.200]  我們回到幾個月前
[00:01:00.200 --> 00:01:03.920]  我和大家講過的事情追回來
[00:01:03.920 --> 00:01:08.520]  我記得應該是兩個月前還是三個月前
[00:01:08.520 --> 00:01:11.160]  我就和大家講過
[00:01:11.160 --> 00:01:13.680]  我們因為肉體的軟弱
[00:01:13.680 --> 00:01:16.920]  有些事情是做不到的
[00:01:16.920 --> 00:01:19.520]  是不是?好像只有阿飛一個人點頭
[00:01:19.520 --> 00:01:22.160]  阿飛後面都有點頭
[00:01:22.160 --> 00:01:25.480]  肉體軟弱有所不能行
[00:01:25.480 --> 00:01:29.640]  這是羅馬書第八章第三節告訴我們的
[00:01:29.640 --> 00:01:34.080]  肉體軟弱對律法有所不能行
[00:01:34.080 --> 00:01:37.440]  這個軟弱是肉體的軟弱
[00:01:37.440 --> 00:01:39.160]  我今天想告訴你
[00:01:39.160 --> 00:01:42.280]  這個肉體的軟弱是什麼東西
[00:01:42.280 --> 00:01:42.880]  可以嗎?
[00:01:42.880 --> 00:01:45.480]  好,我們來看三段經文
[00:01:45.480 --> 00:01:49.720]  第一段是羅馬書三章二十三節
[00:01:49.720 --> 00:01:52.240]  來吧,請
[00:01:52.240 --> 00:02:00.480]  好,第二段,第七章
[00:02:00.480 --> 00:02:12.880]  好,因為你們大一點
[00:02:12.880 --> 00:02:14.840]  不要這麼快出第三
[00:02:14.840 --> 00:02:15.920]  你們大一點
[00:02:15.920 --> 00:02:20.600]  所以我想將第三章二十三節
[00:02:20.600 --> 00:02:24.840]  和第七章的第五節有些結構
[00:02:24.840 --> 00:02:26.080]  然後你們明白
[00:02:26.080 --> 00:02:29.560]  好,我們回到第三章二十三節
[00:02:29.560 --> 00:02:31.000]  世人都犯了罪
[00:02:31.000 --> 00:02:33.120]  我們全部人都犯了罪
[00:02:33.120 --> 00:02:37.040]  這件事我們就不用費力多講了
[00:02:37.040 --> 00:02:44.640]  因為阿當、夏娃選擇了聽撒旦的話
[00:02:44.640 --> 00:02:47.400]  所以她就犯了罪
[00:02:47.400 --> 00:02:49.080]  她犯了罪
[00:02:49.080 --> 00:02:53.280]  我們就在這個罪的系統出世了
[00:02:53.280 --> 00:02:55.760]  罪雖是阿當、夏娃
