
[00:00:00.000 --> 00:00:02.600]  由我們開始之前,我們一起有個祈禱,好嗎?
[00:00:02.600 --> 00:00:04.240]  我們一起同心的禱告
[00:00:04.240 --> 00:00:08.280]  參拜天父上帝,我們感恩贊美你
[00:00:08.280 --> 00:00:11.680]  感恩你今日帶領孩子來到沙森這個群體裏面
[00:00:11.680 --> 00:00:14.320]  去宣講跨代同行的信息
[00:00:14.320 --> 00:00:16.800]  願主你的靈親至帶領孩子
[00:00:16.800 --> 00:00:19.920]  讓我口中的言語、心中的意念
[00:00:19.920 --> 00:00:24.320]  都蒙住月立,並且成為沙森弟兄姊妹的祝福
[00:00:24.320 --> 00:00:27.560]  多謝主贊美你,誰聽我們同心合意的禱告
[00:00:27.560 --> 00:00:30.640]  我們禱告,祈求乃奉靠救主耶穌基督
[00:00:30.640 --> 00:00:32.640]  德性的名字,阿姆
[00:00:32.640 --> 00:00:38.560]  好,弟兄姊妹,當我們說一個跨代的題目的時候
[00:00:38.560 --> 00:00:41.440]  首先我們都要了解我們屬於哪一代
[00:00:41.440 --> 00:00:45.760]  我在網上找了少許關於不同世代的界分
[00:00:45.760 --> 00:00:50.320]  而先向大家問問大家
[00:00:50.320 --> 00:00:53.480]  不用給我大黃,先看看powerpoint
[00:00:53.480 --> 00:00:56.200]  不知道大家屬於哪個世代
[00:00:56.200 --> 00:00:58.200]  先看一看
[00:00:58.200 --> 00:01:02.600]  由嬰兒潮一代到XYZ
[00:01:02.600 --> 00:01:04.200]  到現在的Alpha世代
[00:01:04.200 --> 00:01:08.000]  你們屬於哪一個世代呢?
[00:01:08.000 --> 00:01:09.800]  大家都應該心中有數,對吧?
[00:01:09.800 --> 00:01:12.080]  對,心中有數就舉一舉手,揚揚給我看看
[00:01:12.080 --> 00:01:14.480]  你知道自己是哪一代的,好嗎?
[00:01:14.480 --> 00:01:17.040]  好,我們看看這張powerpoint就知道
[00:01:17.040 --> 00:01:19.960]  其實我們總有上一代和下一代的
[00:01:19.960 --> 00:01:20.920]  同意嗎?
[00:01:20.920 --> 00:01:23.480]  無論你是哪一世代也好
[00:01:23.480 --> 00:01:26.000]  Alpha世代的,你都有你的下一代
[00:01:26.000 --> 00:01:29.480]  在哪一個世代中,我也有我的上一代和下一代
[00:01:29.480 --> 00:01:37.400]  首先讓我簡單解釋這幾個世代有甚麼特色
[00:01:37.400 --> 00:01:39.640]  然後在你的描述中
[00:01:39.640 --> 00:01:41.560]  對於你覺得是否同意
[00:01:41.560 --> 00:01:43.280]  你認得自己是甚麼世代
[00:01:43.280 --> 00:01:46.880]  裏面也有關於世代的一些特色
[00:01:46.880 --> 00:01:50.960]  看看與你現在的現況或與你的生命
[00:01:50.960 --> 00:01:53.760]  有沒有一些同相同類似的地方
[00:01:53.760 --> 00:01:56.680]  首先說Alpha世代,最年輕的一代
[00:01:56.680 --> 00:02:00.800]  我看到在座的眼鏡中有一個
[00:02:00.800 --> 00:02:02.960]  是在我們當中的
[00:02:02.960 --> 00:02:06.600]  他們在2013年至2025年出生
[00:02:06.600 --> 00:02:10.400]  Alpha世代是最年輕的一代,大家都看到
[00:02:10.400 --> 00:02:13.120]  他們很特別的,有一個特性是甚麼呢?
[00:02:13.120 --> 00:02:18.040]  就是他們從小開始已經懂得使用智能電話和平板電腦
[00:02:18.040 --> 00:02:19.320]  大家同意嗎?
[00:02:19.320 --> 00:02:21.680]  很特別的,他們不用教育
[00:02:21.680 --> 00:02:27.920]  嬰兒都懂得使用螢光幕和平板電腦
[00:02:27.920 --> 00:02:30.280]  不知為何,可能在胎教時
[00:02:30.280 --> 00:02:32.080]  看到爸爸媽媽使用手機
[00:02:32.080 --> 00:02:36.480]  便知道原來那部手機是怎樣使用的
[00:02:36.480 --> 00:02:43.280]  很特別的,這代一出來便已經懂得使用這些器材
[00:02:43.280 --> 00:02:44.800]  而世代是甚麼呢?
[00:02:44.800 --> 00:02:48.040]  就是1997年至2012年出生
[00:02:48.040 --> 00:02:51.320]  他們有一個特別的地方是
[00:02:51.320 --> 00:02:54.600]  他們成長在一個網絡開始很普及的時代
[00:02:54.600 --> 00:02:56.480]  而且他們有一個特別的地方
[00:02:56.480 --> 00:02:59.400]  他們可以叫做「多任務處理」
[00:02:59.400 --> 00:03:00.560]  甚麼意思呢?英文呢?
[00:03:00.560 --> 00:03:02.520]  可能中文比較難明白
[00:03:02.520 --> 00:03:04.840]  英文就是「Multitasking」
[00:03:04.840 --> 00:03:10.040]  他們可以聽著音樂、看著電視
[00:03:10.040 --> 00:03:12.880]  接著看著iPad,又在搭手機
[00:03:12.880 --> 00:03:18.880]  他們可以一次過同時做很多事情
[00:03:18.880 --> 00:03:21.800]  可能每一位都會覺得「其實我也可以」
[00:03:21.800 --> 00:03:25.880]  而世代普遍來說,他們有這個特質和專長
[00:03:25.880 --> 00:03:29.680]  而Y世代,由1981年至1996年出生
[00:03:29.680 --> 00:03:36.880]  他們在經濟全球化和在數位科技蓬勃發展下出生的時代
[00:03:36.880 --> 00:03:38.240]  他們很特別,很特別的
[00:03:38.240 --> 00:03:43.720]  原來這代的人會比較注重工作和生活的平衡
[00:03:43.720 --> 00:03:46.200]  即是要「Work-Life Balance」
[00:03:46.200 --> 00:03:49.040]  而且他們追求有意義的工作
