
[00:00:00.000 --> 00:00:04.080]  我們剛剛完成羅馬書,我們要轉入加拉太書
[00:00:04.080 --> 00:00:08.520]  加拉太書我們要講的題目是「不能改動的福音」
[00:00:08.520 --> 00:00:09.760]  我們為什麼要講加拉太書?
[00:00:09.760 --> 00:00:12.920]  因為當我們讀完羅馬書之後
[00:00:12.920 --> 00:00:16.160]  我們知道羅馬書的訊息不深奧
[00:00:16.160 --> 00:00:18.520]  但是羅馬書的訊息很難入腦
[00:00:18.520 --> 00:00:21.000]  不深奧很難入腦才是問題
[00:00:21.000 --> 00:00:24.280]  我們在宣講加拉太書的時候
[00:00:24.280 --> 00:00:27.920]  將我們能夠重溫了羅馬書所講的
[00:00:27.920 --> 00:00:31.240]  因訊稱義、傳使因典的真理之外
[00:00:31.240 --> 00:00:36.760]  我們再從另一個角度去看關於保羅所講的方案問題
[00:00:36.760 --> 00:00:39.760]  我們不是添加任何的內容
[00:00:39.760 --> 00:00:44.720]  而是從另一個角度去理解保羅關於方案的問題
[00:00:44.720 --> 00:00:46.840]  當你看加拉太書的時候覺得很奇怪
[00:00:46.840 --> 00:00:49.640]  為什麼一開始保羅就已經很緊張
[00:00:49.640 --> 00:00:51.600]  我想說明一下有幾個電影姐妹
[00:00:51.600 --> 00:00:54.120]  你去一個地方或者去陌生的地方
[00:00:54.120 --> 00:00:58.440]  曾經問過路的有沒有這個經驗,即是問路經驗的
[00:00:58.440 --> 00:01:00.440]  其他的沒有,只有這麼少
[00:01:00.440 --> 00:01:02.720]  問過路的人,你的經驗就是這樣的
[00:01:02.720 --> 00:01:04.640]  通常有三個答案
[00:01:04.640 --> 00:01:06.400]  第一個答案就是不知道
[00:01:06.400 --> 00:01:08.080]  我試過一次問路的時候
[00:01:08.080 --> 00:01:12.200]  那人思考很深情的思考了一分鐘
[00:01:12.200 --> 00:01:13.560]  我想他應該懂的
[00:01:13.560 --> 00:01:15.000]  誰知道一分鐘之後他告訴我
[00:01:15.000 --> 00:01:16.760]  我不知道,真的很失望
[00:01:16.760 --> 00:01:17.800]  等了一分鐘
[00:01:17.800 --> 00:01:19.200]  我覺得他浪費了一分鐘
[00:01:19.200 --> 00:01:21.600]  但是他又真的很深情的思考
[00:01:21.600 --> 00:01:22.880]  第二個可能性就是
[00:01:22.880 --> 00:01:25.440]  他指著你的方向很清楚
[00:01:25.440 --> 00:01:26.680]  那個方向走過是對的
[00:01:26.680 --> 00:01:29.120]  誰知道走到那裡之後你會發覺是錯的
[00:01:29.120 --> 00:01:30.560]  第三個也是
[00:01:30.560 --> 00:01:32.880]  他說這個方向是正確的
[00:01:32.880 --> 00:01:34.840]  但是你走到那裡之後是對的
[00:01:34.840 --> 00:01:36.400]  那個指示
[00:01:36.400 --> 00:01:40.120]  你會覺得最慘是哪一種情況
[00:01:40.120 --> 00:01:41.560]  是一還是二還是三
[00:01:41.560 --> 00:01:42.160]  最慘是什麼
[00:01:42.160 --> 00:01:43.800]  第二一定是第二
[00:01:43.800 --> 00:01:44.960]  即是他指錯了你的路
[00:01:44.960 --> 00:01:47.040]  你多慶幸,寧願說不知道
[00:01:47.040 --> 00:01:50.560]  而我們自己覺得別人指錯了我的路
[00:01:50.560 --> 00:01:55.040]  最多浪費了我的時間,浪費了我的腳力之外
[00:01:55.040 --> 00:01:58.520]  但是我們都會有一些情緒出現
[00:01:58.520 --> 00:02:01.200]  何況保羅在《迦太書》裡面更加指出一個問題
[00:02:01.200 --> 00:02:03.480]  有人傳另一個福音
[00:02:03.480 --> 00:02:06.840]  另一個福音就不是這麼簡單的事情
[00:02:06.840 --> 00:02:08.400]  不是指錯了你的路這麼簡單
[00:02:08.400 --> 00:02:10.440]  完全是跟得救的關係
[00:02:10.440 --> 00:02:12.240]  即是說甚至乎你上不到天堂
[00:02:12.240 --> 00:02:15.120]  不過你以為自己上到那裡才恐怖
[00:02:15.120 --> 00:02:17.720]  保羅這麼緊張的原因就是這裡
[00:02:17.720 --> 00:02:22.480]  這個另一種福音令到一部分的人以為自己真的上了耶穌上到天堂
[00:02:22.480 --> 00:02:24.040]  即是等於你買了一張演唱會票
[00:02:24.040 --> 00:02:24.800]  用了幾百塊
[00:02:24.800 --> 00:02:28.000]  你以為那天就可以去聽歌星演唱會
[00:02:28.000 --> 00:02:29.960]  誰知道去到之後才發現那張票是假的
[00:02:29.960 --> 00:02:31.680]  你真是很氣餒
[00:02:31.680 --> 00:02:32.880]  錢就給了
[00:02:32.880 --> 00:02:34.000]  時間就預了
[00:02:34.000 --> 00:02:35.520]  滿懷高興,滿懷期望
[00:02:35.520 --> 00:02:38.000]  去到演唱會才發現那張票是假的
[00:02:38.000 --> 00:02:40.000]  保羅現在緊張的原因就是這裡
[00:02:40.000 --> 00:02:41.280]  所以在《迦太書》第一章
[00:02:41.280 --> 00:02:42.200]  第一節到第五節
[00:02:42.200 --> 00:02:47.760]  我再說我現在宣讀的是和合本修訂本的經文
[00:02:47.760 --> 00:02:49.720]  所以跟你的和合本是有少許出入的
[00:02:49.720 --> 00:02:50.600]  這本經文怎麼說呢
[00:02:50.600 --> 00:02:52.280]  它說我是使徒保羅
[00:02:52.280 --> 00:02:58.840]  這個也是保羅寫書信裡面一個很符合了當時羅馬的格式
[00:02:58.840 --> 00:03:00.760]  今天我們寫了信也有一個格式在這裡
[00:03:00.760 --> 00:03:04.200]  當然今天我們寫電郵、WhatsApp
[00:03:04.200 --> 00:03:05.280]  基本上是沒有格式的
[00:03:05.280 --> 00:03:06.160]  只有符號而已
[00:03:06.160 --> 00:03:07.480]  所以我們不太明白
[00:03:07.480 --> 00:03:09.320]  是有一定的格式
[00:03:09.320 --> 00:03:11.200]  就是保羅先自我介紹
[00:03:11.200 --> 00:03:15.000]  這個自我介紹跟保羅其他書信沒有太大分別
[00:03:15.000 --> 00:03:17.480]  不過它加多了一些註腳
[00:03:17.480 --> 00:03:18.040]  是什麼呢
[00:03:18.040 --> 00:03:20.640]  我作使徒不是由於人的選召
[00:03:20.640 --> 00:03:22.760]  也不是受人的委派
[00:03:22.760 --> 00:03:27.520]  而是耶穌基督和那使他從死裡面復活的父上帝所指派的
[00:03:27.520 --> 00:03:31.760]  我跟我一起的信徒寫信給《迦太》的各教會
[00:03:31.760 --> 00:03:32.480]  請記住
[00:03:32.480 --> 00:03:34.240]  初期教會沒有建築物
[00:03:34.240 --> 00:03:35.400]  不像我們現在這樣
[00:03:35.400 --> 00:03:37.200]  是一個固定的地方
