
[00:00:00.000 --> 00:00:02.860]  主要給我們的心、我們的靈向祢降服
[00:00:02.860 --> 00:00:03.900]  打開我們的耳朵
[00:00:03.900 --> 00:00:05.900]  讓我們聽見祢的聲音
[00:00:05.900 --> 00:00:07.200]  讓我們的心眼大開
[00:00:07.200 --> 00:00:09.900]  讓我們帶著一個感恩的心
[00:00:09.900 --> 00:00:12.480]  去見到祢在我們生命裏面
[00:00:12.480 --> 00:00:14.680]  擺埋的一切的恩典
[00:00:14.680 --> 00:00:17.580]  讓我們知道我們越感恩
[00:00:17.580 --> 00:00:19.380]  越多恩可感
[00:00:19.380 --> 00:00:20.820]  主要去讚美祢
[00:00:20.820 --> 00:00:24.080]  讓我們單單的定睛仰望祢
[00:00:24.080 --> 00:00:25.780]  去奉耶穌基督的名
[00:00:25.780 --> 00:00:27.160]  宣佈一切不屬於耶穌的
[00:00:27.160 --> 00:00:28.080]  都要離開祢的殿
[00:00:28.080 --> 00:00:29.520]  離開頂尖的新生命
[00:00:29.520 --> 00:00:31.860]  讓我們分別為聖貴向祢
[00:00:31.860 --> 00:00:34.960]  主讓我們只願意聽主尼的聖音
[00:00:34.960 --> 00:00:36.660]  多謝你聽我們的禱告
[00:00:36.660 --> 00:00:38.500]  奉耶穌基督特赦您
[00:00:38.500 --> 00:00:39.240]  Amen
[00:00:39.240 --> 00:00:40.500]  頂尖的請坐
[00:00:40.500 --> 00:00:45.880]  著名作家、老益師
[00:00:45.880 --> 00:00:47.040]  C.S. Lewis
[00:00:47.040 --> 00:00:50.920]  曾經參加過一個關於宗教的研討會
[00:00:50.920 --> 00:00:52.820]  這個宗教研討會談到
[00:00:52.820 --> 00:00:54.320]  究竟基督的信仰
[00:00:54.320 --> 00:00:57.620]  和其他的宗教有什麼分別呢
[00:00:57.620 --> 00:00:59.860]  與會者有不同的意見
[00:00:59.860 --> 00:01:02.060]  最後老益師這樣說
[00:01:02.060 --> 00:01:04.560]  就是「因典」
[00:01:04.560 --> 00:01:06.860]  基督的信仰的重心
[00:01:06.860 --> 00:01:08.460]  它的精義就是
[00:01:08.460 --> 00:01:10.660]  人是靠因典得救
[00:01:10.660 --> 00:01:12.600]  人是靠因典存活
[00:01:12.600 --> 00:01:15.340]  人是靠因典生活
[00:01:15.340 --> 00:01:17.800]  而其他宗教大致上來說就是
[00:01:17.800 --> 00:01:19.640]  積陰德做善事
[00:01:19.640 --> 00:01:24.080]  靠著行為修煉去得救
[00:01:24.080 --> 00:01:25.180]  換句話說
[00:01:25.180 --> 00:01:26.220]  基督的信仰就是
[00:01:26.220 --> 00:01:28.140]  當你認罪悔改
[00:01:28.140 --> 00:01:29.420]  接受耶穌
[00:01:29.420 --> 00:01:31.460]  你就得到那份救恩
[00:01:31.460 --> 00:01:33.080]  這份救恩是一份禮物
[00:01:33.080 --> 00:01:33.980]  是免費的
[00:01:33.980 --> 00:01:35.460]  是免費的
[00:01:35.460 --> 00:01:38.000]  所以我們叫做「因典」
[00:01:38.000 --> 00:01:39.300]  領受因典
[00:01:39.300 --> 00:01:41.500]  我們怎樣去回應呢
[00:01:41.500 --> 00:01:43.460]  我們應該感恩
[00:01:43.460 --> 00:01:44.940]  感恩這個字
[00:01:44.940 --> 00:01:47.540]  很久之前不是這麼多人用
[00:01:47.540 --> 00:01:50.240]  當是那個時候
[00:01:50.240 --> 00:01:51.300]  你一說感恩
[00:01:51.300 --> 00:01:52.340]  身邊的人就知道
[00:01:52.340 --> 00:01:53.800]  這個人信耶穌
[00:01:53.800 --> 00:01:55.640]  但是時至今日
[00:01:55.640 --> 00:01:58.580]  因典就越來越普及化
