
[00:00:00.000 --> 00:00:01.820]  各位親愛的弟兄姊妹!你們好!
[00:00:01.820 --> 00:00:03.480]  在新年期間裡
[00:00:03.480 --> 00:00:04.880]  恭祝大家
[00:00:04.880 --> 00:00:07.280]  最重要是身體健康
[00:00:07.280 --> 00:00:11.260]  以及有主的祝福臨到你們身上
[00:00:11.260 --> 00:00:12.680]  熟悉我的都會知道
[00:00:12.680 --> 00:00:17.000]  我每一年都會按照那個生肖講一篇道
[00:00:17.000 --> 00:00:19.000]  接下來一年是牛年
[00:00:19.000 --> 00:00:21.400]  所以都會和大家很自然地講
[00:00:21.400 --> 00:00:23.200]  「牛年話牛」
[00:00:23.200 --> 00:00:26.600]  但很希望大家能夠有牛的體魄
[00:00:26.600 --> 00:00:28.700]  有那種能量
[00:00:28.700 --> 00:00:31.680]  繼續為主工作
[00:00:31.680 --> 00:00:33.080]  在今天的訊息裡
[00:00:33.080 --> 00:00:35.880]  我會和大家分享關於牛的訊息
[00:00:35.880 --> 00:00:37.780]  一句很出名的說話就是
[00:00:37.780 --> 00:00:41.080]  「虎首甘為魚子牛」
[00:00:41.080 --> 00:00:44.980]  牛其實最重要的作用就是耕田
[00:00:44.980 --> 00:00:47.080]  當牠來耕種的時候
[00:00:47.080 --> 00:00:50.880]  就讓人可以有好的糧食
[00:00:50.880 --> 00:00:53.880]  但原來在猶太人的社會裡
[00:00:53.880 --> 00:00:57.280]  牛不單單是用來耕作的
[00:00:57.280 --> 00:01:00.380]  更加是用來獻祭的
[00:01:00.380 --> 00:01:03.580]  所以牠有獻祭的作用
[00:01:03.580 --> 00:01:06.180]  那時候在我們基督徒的意識裡
[00:01:06.180 --> 00:01:08.380]  就是待罪的羔羊
[00:01:08.380 --> 00:01:10.480]  待贖的羔羊
[00:01:10.480 --> 00:01:15.280]  耶穌基督說要成為我們的羔羊
[00:01:15.280 --> 00:01:17.080]  但原來我們忽略了
[00:01:17.080 --> 00:01:18.880]  原來在贖罪祭裡
[00:01:18.880 --> 00:01:21.780]  一樣是要獻牛的
[00:01:21.780 --> 00:01:24.080]  在《出拉及記》十四章第五節
[00:01:24.080 --> 00:01:28.080]  「又打發以色列人中的少年人去獻梵祭」
