
[00:00:00.000 --> 00:00:03.360]  早晨各位聽證會 願你平安
[00:00:03.360 --> 00:00:09.080]  這段時間大家有沒有聽收音機 看電視
[00:00:09.080 --> 00:00:11.080]  有沒有看報紙
[00:00:11.080 --> 00:00:13.080]  最多新聞是甚麼
[00:00:13.080 --> 00:00:15.080]  關於我們特區政府
[00:00:15.080 --> 00:00:18.960]  說到政府我不知道你們會想起甚麼
[00:00:18.960 --> 00:00:24.640]  說到政府會不會想在議事會當中去辯論
[00:00:24.640 --> 00:00:30.200]  文宅 行政還是立法
[00:00:30.200 --> 00:00:35.720]  今年六月香港有一個論證團體
[00:00:35.720 --> 00:00:42.200]  發表了一份對香港特區政府的評估報告
[00:00:42.200 --> 00:00:50.280]  這份評估書是針對政府的三個基本功能
[00:00:50.280 --> 00:00:54.280]  分別是管治 司法和立法
[00:00:54.280 --> 00:00:59.520]  香港特區有政府
[00:00:59.520 --> 00:01:03.000]  不知道當以色列人離開埃及的時候
[00:01:03.000 --> 00:01:06.280]  他們如何組成他們的第一個政府
[00:01:06.280 --> 00:01:09.800]  又或者他們組成政府的過程
[00:01:09.800 --> 00:01:12.760]  跟我們今天的信徒有甚麼關係
[00:01:12.760 --> 00:01:16.760]  如果大家還記得
[00:01:16.760 --> 00:01:21.160]  以色列人是如何進入埃及的
[00:01:21.160 --> 00:01:29.840]  阿伯拉罕的曾孫約瑟
[00:01:29.840 --> 00:01:35.760]  被哥哥賣去埃及做奴隸
[00:01:35.760 --> 00:01:41.000]  輾轉之間 多年的苦患
[00:01:41.000 --> 00:01:45.440]  直至他幫助法老王解蒙
[00:01:45.440 --> 00:01:50.920]  甚至建議推行一個解決方案
[00:01:50.920 --> 00:01:55.040]  以致法老渡過了七年的饑荒
[00:01:55.040 --> 00:01:58.320]  約瑟因此得到法老的重用
[00:01:58.320 --> 00:02:00.320]  法老愛屋及烏
[00:02:00.320 --> 00:02:06.440]  更加接受約瑟把他的父親
[00:02:06.440 --> 00:02:10.480]  他的兄弟和家眷帶來
[00:02:10.480 --> 00:02:13.480]  移居到埃及的地方
[00:02:13.480 --> 00:02:17.800]  在哥山地獨處一餘 自己在那裏居住
[00:02:17.800 --> 00:02:20.240]  不過當約瑟死了之後
[00:02:20.240 --> 00:02:24.760]  新的法老王聖經說他不認識約瑟
[00:02:24.760 --> 00:02:29.880]  新的法老王強迫以色列人做奴隸
[00:02:29.880 --> 00:02:31.600]  做奴隸是甚麼意思
[00:02:31.600 --> 00:02:34.720]  即是說不由你作主
[00:02:34.720 --> 00:02:37.960]  連日常最起居簡單的生活
[00:02:37.960 --> 00:02:40.600]  都不由他們作決定
[00:02:40.600 --> 00:02:45.400]  凡事都要聽命於埃及的主人
[00:02:45.400 --> 00:02:48.160]  這個情況一直持續到
[00:02:48.160 --> 00:02:55.040]  耶和華神藉著摩西帶領以色列人出了埃及
[00:02:55.040 --> 00:03:00.480]  以色列人經歷了耶和華救贖的大流
[00:03:00.480 --> 00:03:03.560]  脫離遺老之家
[00:03:03.560 --> 00:03:05.080]  他們進入曠野
[00:03:05.080 --> 00:03:08.280]  開始自主的生活方式
[00:03:08.280 --> 00:03:10.880]  在一個全新的領域
[00:03:10.880 --> 00:03:12.720]  他們開始在曠野
[00:03:12.720 --> 00:03:15.240]  經歷到耶和華神
[00:03:15.240 --> 00:03:20.400]  另一個在他們來說新的知識
[00:03:20.400 --> 00:03:25.400]  因為過往他所經歷的是耶和華的拯救
[00:03:25.400 --> 00:03:26.960]  耶和華的大流
[00:03:26.960 --> 00:03:28.640]  在曠野開始
[00:03:28.640 --> 00:03:30.640]  上星期羅慕斯跟我們分享
[00:03:30.640 --> 00:03:33.760]  經歷耶和華神在曠野當中
[00:03:33.760 --> 00:03:35.680]  供應食物
[00:03:35.680 --> 00:03:38.480]  供應水
[00:03:38.480 --> 00:03:41.200]  作出保護
[00:03:41.200 --> 00:03:43.200]  不過這段時間
[00:03:43.200 --> 00:03:48.320]  一直以來耶和華都只是使用摩西一個人帶領以色列人
[00:03:48.320 --> 00:03:51.480]  雖然有他的哥哥在旁邊幫忙
[00:03:51.480 --> 00:03:53.480]  不過都是間中出現
[00:03:53.480 --> 00:03:55.960]  做摩西的代言人
