
[00:00:00.000 --> 00:00:06.000]  何俊仁議員
[00:00:30.000 --> 00:00:38.000]  上次去大嶼山長沙露營
[00:00:38.000 --> 00:00:41.000]  在沙灘紮營
[00:00:41.000 --> 00:00:45.000]  那次天氣不錯
[00:00:45.000 --> 00:00:50.000]  紮營在沙灘上很穩妥
[00:00:50.000 --> 00:00:54.000]  一路欣賞夜景
[00:00:54.000 --> 00:00:57.000]  聽海浪聲多浪漫
[00:00:57.000 --> 00:01:01.000]  海浪愈來愈近
[00:01:01.000 --> 00:01:03.000]  發覺漲潮
[00:01:03.000 --> 00:01:05.000]  發覺已有一段時間
[00:01:05.000 --> 00:01:07.000]  未必到我們那裡
[00:01:07.000 --> 00:01:11.000]  我們準備有危機感時
[00:01:11.000 --> 00:01:13.000]  可能要搬去別的地方
[00:01:13.000 --> 00:01:15.000]  不要太近
[00:01:15.000 --> 00:01:23.000]  那頭港猿立即有較大的浪湧上來
[00:01:23.000 --> 00:01:27.000]  海浪濕透營內
[00:01:27.000 --> 00:01:29.000]  連拖鞋也衝出去
[00:01:29.000 --> 00:01:31.000]  那晚不太晚
[00:01:31.000 --> 00:01:33.000]  大約2時
[00:01:33.000 --> 00:01:35.000]  睡眠不足
[00:01:35.000 --> 00:01:37.000]  於是把營拆掉
[00:01:37.000 --> 00:01:41.000]  走到公路邊
[00:01:41.000 --> 00:01:43.000]  營紮不回
[00:01:43.000 --> 00:01:45.000]  因為已濕透
[00:01:45.000 --> 00:01:47.000]  我們在那裡坐了一晚
[00:01:47.000 --> 00:01:49.000]  很狼狽
[00:01:49.000 --> 00:01:53.000]  居無定所的感覺
[00:01:53.000 --> 00:01:57.000]  那次很有印象
[00:01:57.000 --> 00:01:59.000]  為何搞成這樣
[00:01:59.000 --> 00:02:01.000]  想起那情景
[00:02:01.000 --> 00:02:03.000]  剛好早幾天
[00:02:03.000 --> 00:02:05.000]  香港錦塘城
[00:02:05.000 --> 00:02:07.000]  你會發覺很多人
[00:02:07.000 --> 00:02:13.000]  本來可以在餐廳吃飯
[00:02:13.000 --> 00:02:15.000]  或在好地方坐著吃飯
[00:02:15.000 --> 00:02:17.000]  但現在竟然要拿著飯盒
[00:02:17.000 --> 00:02:19.000]  到處吃
[00:02:19.000 --> 00:02:21.000]  有些坐在地上
[00:02:21.000 --> 00:02:23.000]  蹲在地上
[00:02:23.000 --> 00:02:25.000]  很狼狽的情況
[00:02:25.000 --> 00:02:27.000]  連吃飯也沒有一個啞遮頭
[00:02:27.000 --> 00:02:29.000]  所以也看到
[00:02:29.000 --> 00:02:31.000]  這些都是很深刻的印象
[00:02:31.000 --> 00:02:35.000]  幸好政府及時
[00:02:35.000 --> 00:02:37.000]  能夠看到民情的需要
[00:02:37.000 --> 00:02:43.000]  很快就取消了五間錦塘食令
[00:02:43.000 --> 00:02:45.000]  我們教會也曾經想過
[00:02:45.000 --> 00:02:47.000]  開放我們自己
[00:02:47.000 --> 00:02:51.000]  可以立即讓人們去飯堂
[00:02:51.000 --> 00:02:53.000]  我們已經談好了
[00:02:53.000 --> 00:02:55.000]  改報也準備好了
[00:02:55.000 --> 00:02:57.000]  但政府說OK了
[00:02:57.000 --> 00:02:59.000]  不用了
[00:02:59.000 --> 00:03:01.000]  我們就彈入彈出
[00:03:01.000 --> 00:03:03.000]  於是就取消了
[00:03:03.000 --> 00:03:07.000]  真的能夠安居樂業
[00:03:07.000 --> 00:03:11.000]  都是一般香港人期望的生活
[00:03:11.000 --> 00:03:17.000]  但香港近年樓價超高
[00:03:17.000 --> 00:03:21.000]  很多人因此受到很大的折騰
[00:03:21.000 --> 00:03:25.000]  因為很多巨額的資金
[00:03:25.000 --> 00:03:29.000]  從不同的地方流入香港
[00:03:29.000 --> 00:03:33.000]  令到很多人搶購物業
[00:03:33.000 --> 00:03:37.000]  加上息口低
[00:03:37.000 --> 00:03:39.000]  製造了很多假的需求
[00:03:39.000 --> 00:03:41.000]  抬高了香港的樓價
[00:03:41.000 --> 00:03:45.000]  很多香港市民都不能夠置業
[00:03:45.000 --> 00:03:47.000]  特別是年青人
[00:03:47.000 --> 00:03:49.000]  讀完書想置業結婚
[00:03:49.000 --> 00:03:51.000]  是很難很遙遠的事情
[00:03:51.000 --> 00:03:55.000]  又沒有足夠的土地
[00:03:55.000 --> 00:03:57.000]  能夠得到房屋的分配
[00:03:57.000 --> 00:03:59.000]  大家都知道
[00:03:59.000 --> 00:04:01.000]  甚至被迫住在劏房
[00:04:01.000 --> 00:04:03.000]  這個情況真的很可憐
[00:04:03.000 --> 00:04:09.000]  剛才金全道評讀了一篇詩篇
[00:04:09.000 --> 00:04:13.000]  這篇詩篇提及到
[00:04:13.000 --> 00:04:17.000]  我們這位至高神是我們的居所
[00:04:17.000 --> 00:04:19.000]  甚至在這個居所裡
[00:04:19.000 --> 00:04:21.000]  我們得到最大的保護
