
[00:00:00.000 --> 00:00:02.000]  基督教的信仰
[00:00:02.000 --> 00:00:05.000]  和大部份其他的宗教信仰
[00:00:05.000 --> 00:00:08.000]  是一個相當不同的地方
[00:00:08.000 --> 00:00:11.000]  就是我們基督教所信的
[00:00:11.000 --> 00:00:13.000]  是因信稱義
[00:00:13.000 --> 00:00:16.000]  並不是因行為稱義
[00:00:16.000 --> 00:00:17.000]  特別當保羅告訴我們
[00:00:17.000 --> 00:00:22.000]  我們不再活在律法之下的時候
[00:00:22.000 --> 00:00:24.000]  很多時候我們都會誤會
[00:00:24.000 --> 00:00:28.000]  今天我們不再需要進行律法
[00:00:28.000 --> 00:00:30.000]  我們的信仰
[00:00:30.000 --> 00:00:31.000]  我們的救恩
[00:00:31.000 --> 00:00:34.000]  和我們的行為
[00:00:34.000 --> 00:00:37.000]  是再沒有關係了
[00:00:37.000 --> 00:00:40.000]  大家覺得這個觀念對不對呢
[00:00:40.000 --> 00:00:43.000]  今天我們從剛才所讀的經文
[00:00:43.000 --> 00:00:46.000]  一同去思考這個問題
[00:00:46.000 --> 00:00:49.000]  保羅在這裏提醒我們
[00:00:49.000 --> 00:00:54.000]  基督已經在律法的合制裏面
[00:00:54.000 --> 00:00:56.000]  釋放了我們
[00:00:56.000 --> 00:00:58.000]  叫我們得以自由
[00:00:58.000 --> 00:01:01.000]  所以叫我們不要再回到以前
[00:01:01.000 --> 00:01:04.000]  在律法之下像奴僕一般的生活
[00:01:04.000 --> 00:01:07.000]  如果單是從這一節的經文
[00:01:07.000 --> 00:01:09.000]  似乎我們真的可以理解為
[00:01:09.000 --> 00:01:13.000]  我們不再需要被律法所合制
[00:01:13.000 --> 00:01:15.000]  我們要問的問題就是
[00:01:15.000 --> 00:01:18.000]  究竟保羅所講的自由
[00:01:18.000 --> 00:01:23.000]  是不是真的說我們不再需要遵守律法
[00:01:23.000 --> 00:01:25.000]  究竟我們在新的生命
[00:01:25.000 --> 00:01:28.000]  裏面所得到的自由
[00:01:28.000 --> 00:01:31.000]  究竟我們應該怎樣來理解呢
[00:01:31.000 --> 00:01:37.000]  我們由今天進入我們第一個訊息的重點
[00:01:37.000 --> 00:01:41.000]  我們從新生命得到的自由的本質究竟是甚麼呢
[00:01:41.000 --> 00:01:43.000]  在第十三節
[00:01:43.000 --> 00:01:47.000]  保羅提醒當時的加拿大信徒
[00:01:47.000 --> 00:01:50.000]  不要將蒙召的自由
[00:01:50.000 --> 00:01:53.000]  當作放縱情慾的機會
[00:01:53.000 --> 00:01:56.000]  很明顯當時在加拿大一帶的信徒
[00:01:56.000 --> 00:01:59.000]  他們誤會了『輕易不在乎行為』
[00:01:59.000 --> 00:02:01.000]  這一句說話的意思
[00:02:01.000 --> 00:02:02.000]  沒錯
[00:02:02.000 --> 00:02:04.000]  聖經告訴我們
[00:02:04.000 --> 00:02:07.000]  我們確實是因信輕易
[00:02:07.000 --> 00:02:10.000]  而不是因行為輕易
[00:02:10.000 --> 00:02:14.000]  因為聖經說免得我們有人自誇
[00:02:14.000 --> 00:02:16.000]  但我們要留意
[00:02:16.000 --> 00:02:20.000]  不是代表我們能夠放縱情慾
[00:02:20.000 --> 00:02:23.000]  不是代表我們愛怎樣就怎樣
[00:02:23.000 --> 00:02:24.000]  我們要理解
[00:02:24.000 --> 00:02:26.000]  愛怎樣就怎樣
[00:02:26.000 --> 00:02:27.000]  這個不是自由
[00:02:27.000 --> 00:02:28.000]  是甚麼
[00:02:28.000 --> 00:02:30.000]  愛怎樣就怎樣
[00:02:30.000 --> 00:02:31.000]  是自由
[00:02:31.000 --> 00:02:33.000]  我們喜歡甚麼時候怎樣就怎樣
[00:02:33.000 --> 00:02:34.000]  這個不是自由
[00:02:34.000 --> 00:02:37.000]  我們需要知道我們今天世界裏面
[00:02:37.000 --> 00:02:38.000]  有很多令人嚮往
[00:02:38.000 --> 00:02:41.000]  令人感到很高尚
[00:02:41.000 --> 00:02:45.000]  很值得讓人去爭取的價值
[00:02:45.000 --> 00:02:49.000]  例如是我們今天經常講的自由
[00:02:49.000 --> 00:02:51.000]  我們所講的平等
[00:02:51.000 --> 00:02:52.000]  我們所講的民主
[00:02:52.000 --> 00:02:54.000]  這些令人很嚮往
[00:02:54.000 --> 00:02:55.000]  覺得很高尚的價值
[00:02:55.000 --> 00:02:57.000]  但我們需要留意和明白一點
[00:02:57.000 --> 00:03:00.000]  這些價值並不是絕對的
[00:03:00.000 --> 00:03:03.000]  這些價值是有它的界限
[00:03:03.000 --> 00:03:05.000]  是有它的範圍
[00:03:05.000 --> 00:03:07.000]  我們用自由做一個例子
[00:03:07.000 --> 00:03:09.000]  在今天的後現代社會裏面
[00:03:09.000 --> 00:03:11.000]  每一個人都是在講自己的自由
[00:03:11.000 --> 00:03:12.000]  自己的權利
[00:03:12.000 --> 00:03:14.000]  他們的信念就是說
[00:03:14.000 --> 00:03:17.000]  我的自由是絕對的
[00:03:17.000 --> 00:03:20.000]  我要享受我的自由的時候
[00:03:20.000 --> 00:03:21.000]  其他人的自由
[00:03:21.000 --> 00:03:22.000]  是他們自己的事
[00:03:22.000 --> 00:03:24.000]  因為現在講的是個人主義
[00:03:24.000 --> 00:03:27.000]  所以大家有沒有留意最近
[00:03:27.000 --> 00:03:30.000]  在一些所謂高舉自由的社會裏面
[00:03:30.000 --> 00:03:34.000]  當政府要求那些人要戴口罩的時候
[00:03:34.000 --> 00:03:35.000]  那些人怎樣
[00:03:35.000 --> 00:03:37.000]  出來示威
[00:03:37.000 --> 00:03:39.000]  不戴口罩是我的自由
[00:03:39.000 --> 00:03:44.000]  政府不可以強加一些政策在我的身上
[00:03:44.000 --> 00:03:48.000]  但同一時間我們從來沒有考慮到
[00:03:48.000 --> 00:03:50.000]  當他們不戴口罩的時候
[00:03:50.000 --> 00:03:52.000]  會引來其他人一些受感染
[00:03:52.000 --> 00:03:55.000]  甚至死亡的風險
[00:03:55.000 --> 00:03:56.000]  我們要問的就是
[00:03:56.000 --> 00:04:01.000]  究竟聖經裏面所講的自由
[00:04:01.000 --> 00:04:02.000]  是甚麼自由呢
[00:04:02.000 --> 00:04:04.000]  我們跳到下一章
[00:04:04.000 --> 00:04:06.000]  我們看第十三節
[00:04:06.000 --> 00:04:07.000]  保羅告訴我們
[00:04:07.000 --> 00:04:09.000]  這個自由
[00:04:09.000 --> 00:04:10.000]  在基督裏面的自由
[00:04:10.000 --> 00:04:15.000]  並不是我們一個放縱情慾的機會
[00:04:15.000 --> 00:04:18.000]  因為主耶穌在罪的枷鎖裏面
[00:04:18.000 --> 00:04:19.000]  釋放了我們
