
[00:00:00.000 --> 00:00:02.920]  各位電視網友 平安
[00:00:02.920 --> 00:00:08.880]  我今天在《周刊的目者心聲》寫了一篇文章
[00:00:08.880 --> 00:00:15.080]  我特別提及到在香港有很多沒有回教會的教徒
[00:00:15.080 --> 00:00:17.840]  現在我相信香港的每一個主日
[00:00:17.840 --> 00:00:22.920]  或者週末有回教會的教徒大概是三十多萬
[00:00:22.920 --> 00:00:27.760]  但是有另外三、四十萬甚至更多的教徒
[00:00:27.760 --> 00:00:30.520]  他們是沒有回教會的
[00:00:30.520 --> 00:00:33.760]  他們仍然承認自己是基督徒
[00:00:33.760 --> 00:00:39.120]  但卻與神的關係疏遠
[00:00:39.120 --> 00:00:42.680]  在這段時間我一直都會想起這群弟兄姊妹
[00:00:42.680 --> 00:00:45.720]  也很想呼籲我們中間的弟兄姊妹
[00:00:45.720 --> 00:00:48.680]  你也會留意
[00:00:48.680 --> 00:00:54.280]  或者你也會祈禱求神讓你留意到這些弟兄姊妹
[00:00:54.280 --> 00:00:57.000]  然後帶領他們回到神的面前
[00:00:57.000 --> 00:01:01.560]  他們也會重建與神的一個好的關係
[00:01:01.560 --> 00:01:04.240]  知道祂敬拜 知道祂跟隨著
[00:01:04.240 --> 00:01:06.600]  所以我今天在講道之前
[00:01:06.600 --> 00:01:08.520]  也再提一提這一方面
[00:01:08.520 --> 00:01:13.080]  求神也用我們可以引領一些主的羊
[00:01:13.080 --> 00:01:16.280]  可以回到祂的羊圈那裡
[00:01:16.280 --> 00:01:19.600]  我們今天會繼續思想福音的人生
[00:01:19.600 --> 00:01:23.760]  思想到上帝給我們的不單止是我們一次的得救
[00:01:23.760 --> 00:01:30.280]  而是讓福音的恩典和真理貫穿在我們整個人生裡面
[00:01:30.280 --> 00:01:37.480]  大家再一起祈禱 我們再讓望
[00:01:37.480 --> 00:01:40.040]  主我們同心等候祢
[00:01:40.040 --> 00:01:42.680]  等候祢自己的說話
[00:01:42.680 --> 00:01:48.160]  主我們知道祢的說話是靈 是生命
[00:01:48.160 --> 00:01:50.960]  主我們需要祢的說話
[00:01:50.960 --> 00:01:56.360]  主但是我們很多時候聽完很快就會忘記
[00:01:56.360 --> 00:01:59.320]  但是求親愛的主 祢恩待我們
[00:01:59.320 --> 00:02:02.320]  將祢的說話儲在我們的心中
[00:02:02.320 --> 00:02:05.680]  也引導我們按照祢給我們的教導
[00:02:05.680 --> 00:02:09.440]  我們去尋求 去領受 去進入
[00:02:09.440 --> 00:02:14.360]  以致我們能夠真正得著祢要給我們的豐盛
[00:02:14.360 --> 00:02:17.000]  主如今我們仰望主的聖靈
[00:02:17.000 --> 00:02:22.520]  引導我們的心思 讓我們一起在祢面前蒙恩惠
[00:02:22.520 --> 00:02:28.720]  我們仰望祈禱 奉耶穌基督聖名求 阿門
[00:02:28.720 --> 00:02:31.560]  我們思想聖經加勒夏書的經文
[00:02:31.560 --> 00:02:36.320]  在第二章的經文裡面所講及的
[00:02:36.320 --> 00:02:38.080]  當我們提福音人生的時候
[00:02:38.080 --> 00:02:40.120]  或者我也想在開始的時候
[00:02:40.120 --> 00:02:43.000]  很簡單我們重溫一下
[00:02:43.000 --> 00:02:46.760]  當我們說到福音是什麼的時候
[00:02:46.760 --> 00:02:50.440]  有很多不同的角度去理解
[00:02:50.440 --> 00:02:54.760]  但是最基本的就是福音是在講
[00:02:54.760 --> 00:02:56.960]  神的兒子耶穌基督
[00:02:56.960 --> 00:03:01.680]  祂為我們受死 為我們復活
[00:03:01.680 --> 00:03:05.360]  將我們從罪裡面拯救出來
[00:03:05.360 --> 00:03:08.040]  是因為耶穌基督祂的受死復活
[00:03:08.040 --> 00:03:11.160]  而帶來了給我們的拯救
[00:03:11.160 --> 00:03:14.280]  而在拯救裡面聖經是很清楚地講
[00:03:14.280 --> 00:03:19.720]  你們得救是本福恩 也是因為神
[00:03:19.720 --> 00:03:22.920]  是完全是因為神的恩典
[00:03:22.920 --> 00:03:25.800]  也意味著不是我們的行為
[00:03:25.800 --> 00:03:28.640]  或者我們憑著自己去做某一些事情
[00:03:28.640 --> 00:03:32.840]  而得到神的歡心 所以神要救我們
[00:03:32.840 --> 00:03:36.200]  是完全是出於神的工作
[00:03:36.200 --> 00:03:39.880]  不是我們自己努力的成果
[00:03:39.880 --> 00:03:42.200]  這個是福音的道理
[00:03:42.200 --> 00:03:45.680]  但是福音的道理 當我們領受了之後
[00:03:45.680 --> 00:03:48.280]  你會留意就是 聖經清楚地講
[00:03:48.280 --> 00:03:55.480]  福音就不是你進入了天國的門的一對門而已
[00:03:55.480 --> 00:04:01.080]  而是福音是將你整個的信仰人生連結在一起
[00:04:01.080 --> 00:04:05.440]  你整個人生都是按照這個福音的道理
[00:04:05.440 --> 00:04:07.360]  來活出來的
[00:04:07.360 --> 00:04:09.720]  又或者我們可以這樣說
[00:04:09.720 --> 00:04:13.960]  就是福音是貫穿在你整個人生裡面
[00:04:13.960 --> 00:04:17.600]  所以當後來保羅在不同的地方講述福音的時候
[00:04:17.600 --> 00:04:21.240]  他純粹是講自己人生一路來會怎樣做
[00:04:21.240 --> 00:04:23.800]  他臨到後書第一章所講到
[00:04:23.800 --> 00:04:27.320]  保羅說 當我信了主之後
[00:04:27.320 --> 00:04:32.760]  我們在世為人 不靠自己的聰明
[00:04:32.760 --> 00:04:35.960]  而是靠神的恩惠
[00:04:35.960 --> 00:04:40.360]  同樣是講恩惠 你怎樣的生活方式
[00:04:40.360 --> 00:04:43.240]  或者有不同的工作 家庭
[00:04:43.240 --> 00:04:45.440]  但是仍然是一個重要的方向
[00:04:45.440 --> 00:04:50.600]  就是你是憑著神的恩惠來生活
[00:04:50.600 --> 00:04:51.600]  當你這樣做的時候
[00:04:51.600 --> 00:04:54.600]  你就會發覺你活出那種福音的人生
[00:04:54.600 --> 00:05:02.360]  你可以在裡面真正得著神給你的全部的應許
[00:05:02.360 --> 00:05:04.720]  在過程裡面 或者我們都會問
[00:05:04.720 --> 00:05:08.680]  我們怎樣放下自己
[00:05:08.680 --> 00:05:12.480]  怎樣去靠神的恩惠來生活呢?
[00:05:12.480 --> 00:05:15.560]  我們今天一起來看看這段經文
[00:05:15.560 --> 00:05:16.560]  在聖經一開始的時候
[00:05:16.560 --> 00:05:19.960]  第二章十一節剛才我們讀到的經文
[00:05:19.960 --> 00:05:21.640]  裡面提及一件事情
[00:05:21.640 --> 00:05:26.440]  在福音裡面 所有的人都是平等的
[00:05:26.440 --> 00:05:28.960]  這個都影響了我們怎樣跟人的相處
[00:05:28.960 --> 00:05:30.880]  我們怎樣看自己
[00:05:30.880 --> 00:05:33.400]  聖經講到當時基法就是彼得
[00:05:33.400 --> 00:05:35.680]  他去到安提阿的地方的時候
[00:05:35.680 --> 00:05:40.920]  他遇到一群從猶太 從耶路撒冷過來的猶太人
[00:05:40.920 --> 00:05:43.880]  這群猶太人他們有一個信念
[00:05:43.880 --> 00:05:49.960]  認為要能夠行律法 或者守國禮才可以得救
[00:05:49.960 --> 00:05:54.120]  不可以單單信耶穌 必須要行律法
[00:05:54.120 --> 00:05:57.800]  而在那個時候 彼得他已經明白了
[00:05:57.800 --> 00:06:00.760]  如果大家記得 他在哥尼留的家中
[00:06:00.760 --> 00:06:03.400]  見到有天上降下來的異象
[00:06:03.400 --> 00:06:07.160]  他知道神沒有去偏袒人
[00:06:07.160 --> 00:06:09.360]  無論是猶太人 外族人
[00:06:09.360 --> 00:06:12.280]  都一樣能夠蒙恩得救的
[00:06:12.280 --> 00:06:14.200]  而後來在耶路撒冷的會議
[00:06:14.200 --> 00:06:16.160]  《少林傳》第十五章裡面
[00:06:16.160 --> 00:06:19.040]  他們很清楚查察神的心意
[00:06:19.040 --> 00:06:22.080]  很清楚大家一起來去認定
[00:06:22.080 --> 00:06:26.880]  外族人是不需要去行律法才可以得救的
[00:06:26.880 --> 00:06:30.720]  經過這些的尋索認識之後
[00:06:30.720 --> 00:06:31.960]  出現了一件事情
[00:06:31.960 --> 00:06:34.840]  就是彼得來到安提拉這個地方
[00:06:34.840 --> 00:06:37.640]  因此他和當地的一些外族人
[00:06:37.640 --> 00:06:39.680]  是有一個團契的關係
[00:06:39.680 --> 00:06:41.880]  他們一起來吃飯
[00:06:41.880 --> 00:06:45.520]  剛才說到他們吃飯不是一次兩次
[00:06:45.520 --> 00:06:49.080]  是一個習慣性的一種關係
[00:06:49.080 --> 00:06:51.840]  雖然是一種習慣的關係
[00:06:51.840 --> 00:06:56.160]  但是突然間見到一些猶太人來到的時候
[00:06:56.160 --> 00:06:59.160]  彼得就很受威脅
[00:06:59.160 --> 00:07:00.680]  有一種壓力
[00:07:00.680 --> 00:07:03.720]  所以聖經就說他裝假了
[00:07:03.720 --> 00:07:08.280]  大家或者看回剛才讀的聖經第十二節
[00:07:08.280 --> 00:07:12.320]  從雅各那裡來的人還沒有到以前
[00:07:12.320 --> 00:07:14.960]  彼得和外族人一同吃飯
[00:07:14.960 --> 00:07:16.160]  但他們來到了
[00:07:16.160 --> 00:07:19.200]  他因為怕那些守國禮的人
[00:07:19.200 --> 00:07:23.760]  就從外族人中退出來和他們分開
[00:07:23.760 --> 00:07:27.840]  而其他的人也都和他一同裝假
[00:07:27.840 --> 00:07:30.280]  甚至巴拿巴也都受了影響
[00:07:30.280 --> 00:07:34.560]  跟著他們來裝假
[00:07:34.560 --> 00:07:40.120]  聖經提到當時彼得面對著這種處境
[00:07:40.120 --> 00:07:42.720]  他心裏面感覺到一種壓力
[00:07:42.720 --> 00:07:44.560]  他就避開
[00:07:44.560 --> 00:07:47.120]  不讓猶太人知道他和外族人
[00:07:47.120 --> 00:07:50.600]  是一同有團契 一同用飯
[00:07:50.600 --> 00:07:54.800]  當然這裡所說的不僅是一些表面的禮儀
[00:07:54.800 --> 00:07:56.520]  一些的守則
[00:07:56.520 --> 00:07:58.320]  而是他所做的事情
[00:07:58.320 --> 00:08:04.080]  其實正正是和福音的本質是相違背的
[00:08:04.080 --> 00:08:09.560]  如果他以為一個人必須要憑自己的力量
[00:08:09.560 --> 00:08:13.240]  去行律法 去行義
[00:08:13.240 --> 00:08:14.800]  他才能夠得救
[00:08:14.800 --> 00:08:18.320]  而沒有按律法來生活的人
[00:08:18.320 --> 00:08:21.560]  或者沒有遵守猶太的律法生活的人
[00:08:21.560 --> 00:08:23.400]  他們就是低一級
[00:08:23.400 --> 00:08:26.120]  他們不被上帝所接納
