
[00:00:00.000 --> 00:00:03.600]  主耶穌在《瑪利諾第十二章》裏面記載一件事
[00:00:03.600 --> 00:00:05.400]  就是在安息日裏面
[00:00:05.400 --> 00:00:07.800]  祂來帶去醫治病人
[00:00:07.800 --> 00:00:08.900]  但因為這樣的緣故
[00:00:08.900 --> 00:00:11.400]  就被一些很不喜歡的人罵祂
[00:00:11.400 --> 00:00:12.500]  你犯了錯
[00:00:12.500 --> 00:00:15.200]  因為安息日是不應該做任何的事情的
[00:00:15.200 --> 00:00:18.200]  你還要來帶去趕鬼
[00:00:18.200 --> 00:00:20.200]  耶穌就說到
[00:00:20.200 --> 00:00:22.200]  今天如果沒有神的能力
[00:00:22.200 --> 00:00:23.500]  我們做不到這件事
[00:00:23.500 --> 00:00:28.100]  安息日不是為一些規矩而定的
[00:00:28.100 --> 00:00:30.500]  人不是為安息日而設
[00:00:30.500 --> 00:00:32.700]  安息日是為人而設的
[00:00:32.700 --> 00:00:36.700]  所以耶穌就來帶去指出他們的錯
[00:00:36.700 --> 00:00:39.400]  但接著這些人就在罵耶穌
[00:00:39.400 --> 00:00:40.600]  你犯了錯
[00:00:40.600 --> 00:00:41.600]  所以怎樣呢
[00:00:41.600 --> 00:00:42.700]  你可以趕鬼
[00:00:42.700 --> 00:00:45.100]  都是靠著鬼王來趕鬼
[00:00:45.100 --> 00:00:47.200]  所以耶穌說了一句話就是
[00:00:47.200 --> 00:00:50.500]  褻瀆聖靈是不可以得到祂的拯救
[00:00:50.500 --> 00:00:53.200]  他們明知一個沒有神的能力的人
[00:00:53.200 --> 00:00:54.100]  是不會趕鬼
[00:00:54.100 --> 00:00:55.700]  但可以趕到的時候
[00:00:55.700 --> 00:00:59.100]  他就扭橫折曲地誣衊耶穌
[00:00:59.100 --> 00:01:00.900]  從那一刻開始
[00:01:00.900 --> 00:01:02.700]  如果你看回聖經的時候
[00:01:02.700 --> 00:01:06.600]  耶穌就沒有再當眾的來帶去
[00:01:06.600 --> 00:01:09.700]  向著一些人來講天國的道理
[00:01:09.700 --> 00:01:10.500]  他有講
[00:01:10.500 --> 00:01:12.600]  但是用一些隱藏的信息
[00:01:12.600 --> 00:01:14.800]  《馬太福音》第十三章
[00:01:14.800 --> 00:01:18.700]  耶穌就講了很多天國的比喻
[00:01:18.700 --> 00:01:20.200]  那些門徒問祂
[00:01:20.200 --> 00:01:20.900]  祢講了甚麼
[00:01:20.900 --> 00:01:21.700]  祢不是很明白
[00:01:21.700 --> 00:01:24.600]  耶穌就逐樣逐樣解釋
[00:01:24.600 --> 00:01:27.000]  免得那些挑戰我們
[00:01:27.000 --> 00:01:28.900]  刻意針對我們的人
[00:01:28.900 --> 00:01:32.400]  再拿把柄來攻擊我們
[00:01:32.400 --> 00:01:34.000]  《馬太福音》第十三章裡面
[00:01:34.000 --> 00:01:36.300]  記載了很多個比喻
[00:01:36.300 --> 00:01:38.900]  都是和天國有關
[00:01:38.900 --> 00:01:42.700]  當時耶穌已經吸引了一班人
[00:01:42.700 --> 00:01:46.000]  有很多人都很欣賞耶穌所講的道
[00:01:46.000 --> 00:01:47.600]  深入淺出
[00:01:47.600 --> 00:01:49.200]  很有權柄
[00:01:49.200 --> 00:01:52.800]  又見到耶穌能夠醫病趕鬼
[00:01:52.800 --> 00:01:56.000]  但是這班人對耶穌有一個錯誤的期望
[00:01:56.000 --> 00:01:57.800]  很想耶穌
[00:01:57.800 --> 00:01:58.700]  你看他怎樣
[00:01:58.700 --> 00:02:00.500]  做他們的領袖
[00:02:00.500 --> 00:02:03.800]  推翻當時的羅馬政府
[00:02:03.800 --> 00:02:05.500]  他們要做甚麼呢
[00:02:05.500 --> 00:02:07.000]  他們要遊獨
[00:02:07.000 --> 00:02:07.900]  不是港獨
[00:02:07.900 --> 00:02:09.700]  那些人說香港獨立
[00:02:09.700 --> 00:02:12.000]  但是他們很想猶太人獨立
