
[00:00:00.000 --> 00:00:02.280]  當你打開《蘇家紀》第九章的時候
[00:00:02.280 --> 00:00:04.800]  你回到教會一段時間的時候
[00:00:04.800 --> 00:00:07.200]  你聽過這篇經文
[00:00:07.200 --> 00:00:10.560]  也可能你在靈脩裏面讀過很多次
[00:00:10.560 --> 00:00:12.520]  在靈脩裏面你讀過很多次之後
[00:00:12.520 --> 00:00:16.240]  你會發覺你對這段經文的理解
[00:00:16.240 --> 00:00:17.400]  請留意弟兄姊妹
[00:00:17.400 --> 00:00:18.880]  在這段經文裏面
[00:00:18.880 --> 00:00:22.080]  聖經裏面有很多的分段
[00:00:22.080 --> 00:00:23.720]  聖經原本沒有分段的
[00:00:23.720 --> 00:00:25.480]  後來加進去
[00:00:25.480 --> 00:00:27.760]  經節是沒有的
[00:00:27.760 --> 00:00:29.000]  後來加進去
[00:00:29.000 --> 00:00:32.120]  在分段與分段之間的黑體字
[00:00:32.120 --> 00:00:35.920]  都是偏聖經的人加進去的
[00:00:35.920 --> 00:00:40.160]  這個是偏聖經人對這段經文的理解
[00:00:40.160 --> 00:00:43.520]  所以加了一個分題上去
[00:00:43.520 --> 00:00:45.120]  有時是正確的
[00:00:45.120 --> 00:00:49.280]  但有時會令讀者對這段經文有個先入爲主的看法
[00:00:49.280 --> 00:00:52.280]  例如今天這個《蘇家紀》第九章
[00:00:52.280 --> 00:00:55.480]  很多時候我們會偏向理解
[00:00:55.480 --> 00:01:00.920]  它就是說以色列人被機電人所欺騙
[00:01:00.920 --> 00:01:03.760]  或者你聽過很多次靈脩的時候
[00:01:03.760 --> 00:01:05.920]  很多的材料都在講重點
[00:01:05.920 --> 00:01:09.200]  是以色列人被欺騙
[00:01:09.200 --> 00:01:11.240]  不過我一會兒看下去的時候
[00:01:11.240 --> 00:01:13.600]  我想你先放下一些觀念
[00:01:13.600 --> 00:01:16.360]  去重新看看經文究竟跟我們說什麼
[00:01:16.360 --> 00:01:17.840]  因爲當我們有色眼鏡的時候
[00:01:17.840 --> 00:01:19.520]  我們有一個前設的時候
[00:01:19.520 --> 00:01:21.720]  我們看聖經就看不到
[00:01:21.720 --> 00:01:24.600]  聖經要跟我們說的話
[00:01:24.600 --> 00:01:28.000]  在這裏我想先問第一個問題
[00:01:28.000 --> 00:01:29.640]  我想問有多少弟兄姊妹
[00:01:29.640 --> 00:01:31.840]  你一生人到現在爲止
[00:01:31.840 --> 00:01:33.520]  包括旺角弟兄姊妹
[00:01:33.520 --> 00:01:34.960]  一生人到現在爲止
[00:01:34.960 --> 00:01:38.360]  沒有做錯過任何決定的
[00:01:38.360 --> 00:01:39.840]  如果有的話請你舉手
[00:01:39.840 --> 00:01:40.720]  有沒有
[00:01:40.720 --> 00:01:42.080]  沒有是吧
[00:01:42.080 --> 00:01:43.280]  100%
[00:01:43.280 --> 00:01:43.960]  我做錯過
[00:01:43.960 --> 00:01:44.880]  有人差點想舉手
[00:01:44.880 --> 00:01:47.840]  想一下就說買錯東西也是了
[00:01:47.840 --> 00:01:49.920]  你和我也做錯過決定
[00:01:49.920 --> 00:01:54.800]  爲什麼我們有時組長會遇到一些組員是這樣的
[00:01:54.800 --> 00:01:55.840]  這些組員是什麼呢
[00:01:55.840 --> 00:01:56.840]  他什麼都肯做
[00:01:56.840 --> 00:01:58.120]  很熱心侍奉
[00:01:58.120 --> 00:01:59.320]  你叫他做什麼就做什麼
[00:01:59.320 --> 00:02:00.200]  他很肯做事
[00:02:00.200 --> 00:02:02.400]  但是你覺得這個人那麼肯做
[00:02:02.400 --> 00:02:03.800]  又那麼肯侍奉
[00:02:03.800 --> 00:02:05.000]  那麼熱心的話
[00:02:05.000 --> 00:02:08.080]  倒不如就推薦他做核心組員
[00:02:08.080 --> 00:02:11.640]  就希望他未來可以成爲分組的組長
[00:02:11.640 --> 00:02:13.200]  誰知道這個組員就跟你說
[00:02:13.200 --> 00:02:14.440]  組長千萬不要
[00:02:14.440 --> 00:02:15.280]  什麼都行
[00:02:15.280 --> 00:02:16.480]  你叫我做什麼都行
[00:02:16.480 --> 00:02:17.760]  我一定支持你
[00:02:17.760 --> 00:02:19.080]  我一定支持你
[00:02:19.080 --> 00:02:21.280]  你放心我一定支持你
[00:02:21.280 --> 00:02:22.520]  你叫我做什麼就做什麼
[00:02:22.520 --> 00:02:25.200]  千萬不要給我一個名字
[00:02:25.200 --> 00:02:26.760]  不要叫我核心組員
[00:02:26.760 --> 00:02:29.000]  不要叫我將來成爲組長
[00:02:29.000 --> 00:02:30.800]  我不想做這些
[00:02:30.800 --> 00:02:31.440]  我做什麼都行
[00:02:31.440 --> 00:02:33.720]  但是他做的事情都做了組長做的事情
[00:02:33.720 --> 00:02:34.800]  但是他都不肯做組長
[00:02:34.800 --> 00:02:36.280]  爲什麼呢
[00:02:36.280 --> 00:02:38.320]  組長我很支持你
[00:02:38.320 --> 00:02:41.520]  好比說我今天要拆穿你背後的其中一個原因
[00:02:41.520 --> 00:02:42.640]  其中一個原因
[00:02:42.640 --> 00:02:43.680]  他就跟你說組長
[00:02:43.680 --> 00:02:44.360]  我很支持你
[00:02:44.360 --> 00:02:48.960]  你去死吧
[00:02:48.960 --> 00:02:55.240]  人很怕承擔責任
[00:02:55.240 --> 00:02:57.480]  有阿頭在承擔責任的時候
[00:02:57.480 --> 00:02:58.600]  我就很輕鬆
[00:02:58.600 --> 00:02:59.800]  我做任何事情都很輕鬆
[00:02:59.800 --> 00:03:01.560]  我是聽指令做的
[00:03:01.560 --> 00:03:02.440]  我不用思考
[00:03:02.440 --> 00:03:03.720]  我不用背黑鍋
[00:03:03.720 --> 00:03:05.720]  我們俗稱不用背黑鍋
[00:03:05.720 --> 00:03:09.640]  有什麼錯誤組長就承擔了
