
[00:00:00.000 --> 00:00:02.480]  我哋今日會講加拿大書
[00:00:02.480 --> 00:00:03.760]  請大家翻開經文
[00:00:03.760 --> 00:00:05.760]  加拿大書第二章
[00:00:05.760 --> 00:00:09.760]  15到21節
[00:00:09.760 --> 00:00:13.920]  加拿大書在保羅書信裏面
[00:00:13.920 --> 00:00:16.080]  成日同另一卷書羅馬書
[00:00:16.080 --> 00:00:18.080]  兩卷書一齊講
[00:00:18.080 --> 00:00:20.880]  因為對於在保羅書信裏講
[00:00:20.880 --> 00:00:22.000]  要兩卷書都係講
[00:00:22.000 --> 00:00:24.320]  因信稱義講得清清楚楚
[00:00:24.320 --> 00:00:25.440]  明明白白
[00:00:25.440 --> 00:00:27.440]  佢係非常嘅重要
[00:00:27.440 --> 00:00:29.440]  兩卷書嘅背景唔一樣
[00:00:29.440 --> 00:00:31.440]  受眾都唔一樣
[00:00:31.440 --> 00:00:33.440]  昔日
[00:00:33.440 --> 00:00:35.440]  中介改革家馬丁盧德
[00:00:35.440 --> 00:00:37.440]  最鍾意講嘅
[00:00:37.440 --> 00:00:39.440]  就係加拿大書同羅馬書
[00:00:39.440 --> 00:00:43.440]  咁保羅點解要寫加拿大書呀
[00:00:43.440 --> 00:00:47.440]  當你揭開加拿大書第一章
[00:00:47.440 --> 00:00:49.440]  六至到七節
[00:00:49.440 --> 00:00:51.440]  我哋會知道原因
[00:00:51.440 --> 00:00:53.440]  加拿大教會係保羅
[00:00:53.440 --> 00:00:55.440]  傳福音
[00:00:55.440 --> 00:00:57.440]  建立嘅教會
[00:00:57.440 --> 00:00:59.440]  但係喺加拿大書第一章
[00:00:59.440 --> 00:01:01.440]  六至七節佢咁樣講
[00:01:01.440 --> 00:01:03.440]  我好驚訝你哋咁快就離開咗
[00:01:03.440 --> 00:01:05.440]  嗰位藉住基督之恩
[00:01:05.440 --> 00:01:07.440]  基督之恩
[00:01:07.440 --> 00:01:09.440]  呼召你哋嘅神
[00:01:09.440 --> 00:01:11.440]  而去隨從別嘅福音
[00:01:11.440 --> 00:01:13.440]  其實
[00:01:13.440 --> 00:01:15.440]  並沒有另一個福音
[00:01:15.440 --> 00:01:17.440]  不過有些人騷擾你哋
[00:01:17.440 --> 00:01:19.440]  要把基督之恩改了
[00:01:19.440 --> 00:01:21.440]  原來佢自己
[00:01:21.440 --> 00:01:23.440]  親手建立嘅教會
[00:01:23.440 --> 00:01:25.440]  佢發現
[00:01:25.440 --> 00:01:27.440]  有一啲人去騷擾佢哋
[00:01:27.440 --> 00:01:29.440]  將佢哋所聽從保羅
[00:01:29.440 --> 00:01:31.440]  口裏面所聽嘅福音
[00:01:31.440 --> 00:01:33.440]  改咗
[00:01:33.440 --> 00:01:35.440]  所以保羅非常緊張
[00:01:35.440 --> 00:01:39.440]  以至係保羅係第十一節
[00:01:39.440 --> 00:01:41.440]  去到第二章第十節
[00:01:41.440 --> 00:01:43.440]  佢重新講
[00:01:43.440 --> 00:01:45.440]  講返佢自己嘅夢照
[00:01:45.440 --> 00:01:47.440]  佢自己嘅歷史從前佢點樣逼迫教會
[00:01:47.440 --> 00:01:49.440]  點樣夢神呼召成為
[00:01:49.440 --> 00:01:51.440]  外邦人嘅使徒佢自己點樣成長
[00:01:51.440 --> 00:01:53.440]  並且唔係佢自己一個人成長
[00:01:53.440 --> 00:01:55.440]  而係得到耶路撒冷宗教
[00:01:55.440 --> 00:01:57.440]  耶路撒冷教會裏面個班嘅使徒
[00:01:57.440 --> 00:01:59.440]  一同佢認同
[00:01:59.440 --> 00:02:01.440]  講緊乜嘢呀
[00:02:01.440 --> 00:02:03.440]  佢講緊我亦都係使徒中嘅
[00:02:03.440 --> 00:02:05.440]  其中一個
[00:02:05.440 --> 00:02:07.440]  以至我當日傳畀你哋嘅福音
[00:02:07.440 --> 00:02:09.440]  係有權威性嘅
[00:02:09.440 --> 00:02:11.440]  唔係我自己亂咁講嘅
[00:02:11.440 --> 00:02:15.440]  所以加泰書一章十一到十二節
[00:02:15.440 --> 00:02:17.440]  保羅話
[00:02:17.440 --> 00:02:19.440]  帝希望我要你哋知道
[00:02:19.440 --> 00:02:21.440]  我所傳嘅福音不是按照人嘅意思
[00:02:21.440 --> 00:02:23.440]  因為我不是
[00:02:23.440 --> 00:02:25.440]  從人領受嘅
[00:02:25.440 --> 00:02:27.440]  也不是人教導我的
[00:02:27.440 --> 00:02:29.440]  而是藉著耶穌基督嘅啟示
[00:02:29.440 --> 00:02:31.440]  而來嘅
[00:02:31.440 --> 00:02:35.440]  第二章第十節之後
