
[00:00:00.000 --> 00:00:02.640]  (主席)好 電視節目的朋友 早安
[00:00:02.640 --> 00:00:04.340]  這段經文我們頗熟悉的
[00:00:04.340 --> 00:00:05.840]  還有這段經文用一個比喻
[00:00:05.840 --> 00:00:07.340]  來比喻我們所有信靠著的人
[00:00:07.340 --> 00:00:09.140]  就是甚麼樹
[00:00:09.140 --> 00:00:11.300]  溪邊的樹 OK
[00:00:11.300 --> 00:00:14.840]  那麼我們一起看看這段經文
[00:00:14.840 --> 00:00:17.600]  這段經文其實有幾個重點
[00:00:17.600 --> 00:00:18.840]  我想預告一點
[00:00:18.840 --> 00:00:20.340]  我除了說這段經文之外
[00:00:20.340 --> 00:00:23.640]  其實今天我想延續上個星期Samuel傳道
[00:00:23.640 --> 00:00:25.500]  Samuel傳道上次說得很好
[00:00:25.500 --> 00:00:27.040]  就是關於這個芥菜種
[00:00:27.040 --> 00:00:29.840]  有沒有印象 芥菜種變成芥菜樹
[00:00:29.840 --> 00:00:33.040]  那麼我今天主要是說這篇C篇第一篇
[00:00:33.040 --> 00:00:35.040]  但同時間我亦會Pick up
[00:00:35.040 --> 00:00:36.840]  Samuel傳道說這個芥菜種
[00:00:36.840 --> 00:00:38.240]  那棵樹有兩個解釋
[00:00:38.240 --> 00:00:41.940]  那麼他也提到當中一點點的重點
[00:00:41.940 --> 00:00:43.640]  但我很希望能夠這次
[00:00:43.640 --> 00:00:45.440]  今天能夠詳細地解釋
[00:00:45.440 --> 00:00:47.440]  為甚麼我會
[00:00:47.440 --> 00:00:50.240]  即是起碼我和一些解經家
[00:00:50.240 --> 00:00:53.140]  都會認為第二種解釋會比較恰當一點
[00:00:53.140 --> 00:00:55.740]  會用已經解經的原則來跟大家解釋
[00:00:55.740 --> 00:00:58.340]  為甚麼第二種解釋會比較恰當
[00:00:58.340 --> 00:01:01.640]  以及到最後我們會比較溪邊的樹
[00:01:01.640 --> 00:01:03.840]  和芥菜樹之間的分別
[00:01:03.840 --> 00:01:05.540]  然後我們可以做一個決定
[00:01:05.540 --> 00:01:07.740]  做一個立志 究竟你想做哪棵樹呢
[00:01:07.740 --> 00:01:09.040]  清楚了嗎
[00:01:09.040 --> 00:01:10.440]  今天大概就是這樣
[00:01:10.440 --> 00:01:12.840]  好了 我們先看看今天的PowerPoint
[00:01:12.840 --> 00:01:14.940]  第一節其實是教我們一件事
[00:01:14.940 --> 00:01:16.240]  就是說一個字而已
[00:01:16.240 --> 00:01:17.040]  就是甚麼
[00:01:17.040 --> 00:01:18.240]  No
[00:01:18.240 --> 00:01:19.140]  一起說
[00:01:19.140 --> 00:01:20.640]  No
[00:01:20.640 --> 00:01:21.640]  對於甚麼說No呢
