
[00:00:00.000 --> 00:00:02.280]  但願子母處內平安
[00:00:02.280 --> 00:00:04.160]  大家如果有看新聞的話
[00:00:04.160 --> 00:00:06.760]  都知道時局變得很快
[00:00:06.760 --> 00:00:10.000]  這個世界越來越不平安
[00:00:10.000 --> 00:00:15.760]  有時都想想我們努力賺錢養家
[00:00:15.760 --> 00:00:17.600]  培育下一代又為了什麼呢?
[00:00:17.600 --> 00:00:19.600]  下一代不知道是什麼世界
[00:00:19.600 --> 00:00:21.680]  很多人可能選擇不要兒女
[00:00:21.680 --> 00:00:23.240]  都是其中一個原因
[00:00:23.240 --> 00:00:26.560]  很多時候我們都會很空虛
[00:00:26.560 --> 00:00:28.760]  當我們基督徒說到空虛兩個字
[00:00:28.760 --> 00:00:31.440]  就一定是想起傳道書
[00:00:31.440 --> 00:00:35.840]  一張傳道書一開始就說
[00:00:35.840 --> 00:00:42.200]  虛空的虛空 虛空的虛空 全是虛空
[00:00:42.200 --> 00:00:44.040]  樣樣東西都是虛空的
[00:00:44.040 --> 00:00:48.440]  人一切的奴隸就是他在日光之下的奴隸
[00:00:48.440 --> 00:00:49.680]  有什麼益處呢?
[00:00:49.680 --> 00:00:52.240]  我們奴隸的有什麼益處呢?
[00:00:52.240 --> 00:00:54.160]  人生就是這樣虛空
[00:00:54.160 --> 00:00:58.560]  傳道者就說一代過去一代又來
[00:00:58.560 --> 00:00:59.840]  地卻永遠長存
[00:00:59.840 --> 00:01:01.400]  這句說話都說得很對
[00:01:01.400 --> 00:01:04.120]  我們其實短短幾十年很快就過去
[00:01:04.120 --> 00:01:06.360]  一代去一代又來
[00:01:06.360 --> 00:01:10.320]  但是我們不在外面那棵樹還在
[00:01:10.320 --> 00:01:13.680]  這間教會已經差不多有200年了
[00:01:13.680 --> 00:01:16.120]  這個建築物不是我們蘇聯教會
[00:01:16.120 --> 00:01:17.200]  建了200年
[00:01:17.200 --> 00:01:20.440]  我們只不過是一代過去一個循環
[00:01:20.440 --> 00:01:22.760]  然後他說太陽上升 太陽又下來
[00:01:22.760 --> 00:01:26.360]  又留意到太陽從這邊出來又下來
[00:01:26.360 --> 00:01:28.920]  不知道去了哪裡 突然又從這邊出來
[00:01:28.920 --> 00:01:31.680]  是一個循環一樣的
[00:01:31.680 --> 00:01:36.920]  「急歸所出之處 風往南拐 又往北轉
[00:01:36.920 --> 00:01:39.560]  不停旋轉 繞回原路
[00:01:39.560 --> 00:01:42.960]  江河都往海裡流 海卻不滿
[00:01:42.960 --> 00:01:47.560]  江河從何處流 仍歸回原處」
[00:01:47.560 --> 00:01:53.720]  如果大家有讀地理學
[00:01:53.720 --> 00:01:58.320]  都知道為何河流一直流到海裡
[00:01:58.320 --> 00:02:00.680]  海又不會滿水 為什麼呢?
[00:02:00.680 --> 00:02:02.840]  因為原來海水會揮發
[00:02:02.840 --> 00:02:06.120]  揮發了就變成雲
[00:02:06.120 --> 00:02:07.600]  雲又會下雨
[00:02:07.600 --> 00:02:10.600]  下雨又下來 一個大的循環
[00:02:10.600 --> 00:02:12.000]  聖經非常有智慧
[00:02:12.000 --> 00:02:13.480]  因為寫這本書的人
[00:02:13.480 --> 00:02:15.360]  可能出現在幾千年前
[00:02:15.360 --> 00:02:17.200]  他就是充滿智慧的所羅門王
[00:02:17.200 --> 00:02:19.000]  上帝給他智慧
[00:02:19.000 --> 00:02:21.360]  他說「已有的時候必在
[00:02:21.360 --> 00:02:23.280]  有已行的時候必在行」
[00:02:23.280 --> 00:02:26.080]  這亦是告訴我們人是沒有進化過的
[00:02:26.080 --> 00:02:27.840]  其實我們所謂進化
[00:02:27.840 --> 00:02:30.200]  我們可能科技進化 資訊進化
[00:02:30.200 --> 00:02:32.120]  但我們來來去去
[00:02:32.120 --> 00:02:34.200]  以前做的事今天又會做
[00:02:34.200 --> 00:02:39.520]  這是我們一個很現實的世界
[00:02:39.520 --> 00:02:42.000]  上帝做這個世界是一個循環的世界
[00:02:42.000 --> 00:02:43.600]  本來是美好的
[00:02:43.600 --> 00:02:45.600]  上帝其實設計得非常好的
[00:02:45.600 --> 00:02:47.080]  如果大家讀生物學的話
[00:02:47.080 --> 00:02:50.040]  就知道這個世界其實很多東西都是循環的
[00:02:50.040 --> 00:02:53.120]  碳循環 氮是循環
[00:02:53.120 --> 00:02:57.920]  所以這些東西是不會多不會少的
[00:02:57.920 --> 00:03:04.000]  所以海洋世界那裏尤其是是一個大的循環
[00:03:04.000 --> 00:03:07.400]  但是我家裏也有一個海洋世界
[00:03:07.400 --> 00:03:09.960]  有個魚缸也挺大的
[00:03:09.960 --> 00:03:14.400]  盡量做到它可以的
[00:03:14.400 --> 00:03:16.120]  理論上是可以的
[00:03:16.120 --> 00:03:17.920]  是可以的 你不用換水
[00:03:17.920 --> 00:03:19.120]  什麼都不用搞
[00:03:19.120 --> 00:03:21.000]  其實不用餵那些魚
[00:03:21.000 --> 00:03:25.680]  理論上 只要有些缸照著植物
[00:03:25.680 --> 00:03:28.240]  植物生長了 魚可以吃那些植物
[00:03:28.240 --> 00:03:33.960]  然後魚的排泄物又可以化為一些植物的營養
[00:03:33.960 --> 00:03:37.640]  一個不斷不斷的循環
[00:03:37.640 --> 00:03:40.760]  當然我的缸就不是大海
[00:03:40.760 --> 00:03:43.240]  當然循環就未必那麼好
[00:03:43.240 --> 00:03:46.320]  我貪心養很多魚就不夠吃
[00:03:46.320 --> 00:03:48.320]  然後又弄得污染了
[00:03:48.320 --> 00:03:53.400]  所以最後還是要換水
[00:03:53.400 --> 00:03:55.080]  但是理論上是在這裏
[00:03:55.080 --> 00:03:56.880]  在一個均衡的狀態那裏
