
[00:00:00.000 --> 00:00:01.480]  問一條很簡單的問題
[00:00:01.480 --> 00:00:04.240]  不懂回答的話
[00:00:04.240 --> 00:00:06.280]  剛才唱歌也唱過了
[00:00:06.280 --> 00:00:10.280]  25號之前12月
[00:00:10.280 --> 00:00:12.080]  那晚叫什麼
[00:00:12.080 --> 00:00:15.120]  平安夜 大家都對
[00:00:15.120 --> 00:00:16.720]  或者叫聖誕夜
[00:00:16.720 --> 00:00:18.880]  為什麼叫平安夜呢
[00:00:18.880 --> 00:00:20.600]  就是因為
[00:00:20.600 --> 00:00:22.480]  如果在聖經的記載
[00:00:22.480 --> 00:00:25.360]  或者剛才大家讀啟認經文
[00:00:25.480 --> 00:00:30.200]  你會發覺經文裡都會讓你體會到
[00:00:30.200 --> 00:00:33.840]  為什麼10月24號晚上
[00:00:33.840 --> 00:00:36.360]  或者我們說的耶穌基督
[00:00:36.360 --> 00:00:40.000]  那晚的降生叫做平安夜
[00:00:40.000 --> 00:00:42.480]  當然按照聖經的記載
[00:00:42.480 --> 00:00:45.720]  就是耶穌的父母約瑟 瑪利亞
[00:00:45.720 --> 00:00:48.080]  當時他們的家鄉在哪裡
[00:00:48.080 --> 00:00:51.320]  他們回到哪裡
[00:00:51.320 --> 00:00:52.480]  伯利恆
[00:00:52.480 --> 00:00:55.200]  伯利恆報名上冊
[00:00:55.600 --> 00:00:57.880]  他們連夜回去
[00:00:57.880 --> 00:01:01.560]  但是要回自己的地方
[00:01:01.560 --> 00:01:03.440]  要找地方住
[00:01:03.440 --> 00:01:04.440]  要訂酒店
[00:01:04.440 --> 00:01:06.280]  我們今天去旅遊
[00:01:06.280 --> 00:01:07.080]  大家都很聰明
[00:01:07.080 --> 00:01:08.440]  拿手機 手機app
[00:01:08.440 --> 00:01:10.160]  然後訂好了
[00:01:10.160 --> 00:01:11.600]  準備好了
[00:01:11.600 --> 00:01:13.560]  機票就去了
[00:01:13.560 --> 00:01:16.520]  他們不知道為什麼就沒有訂
[00:01:16.520 --> 00:01:17.680]  沒有訂酒店
[00:01:17.680 --> 00:01:19.120]  沒有安排
[00:01:19.120 --> 00:01:21.160]  只是walk in去到
[00:01:21.160 --> 00:01:23.400]  walk in很多時候就沒有了
[00:01:23.400 --> 00:01:26.840]  這些這麼多人湧進去的時間
[00:01:26.840 --> 00:01:29.600]  如果今天你來walk in香港的酒店
[00:01:29.600 --> 00:01:31.520]  可能都沒有位置了
[00:01:31.520 --> 00:01:34.080]  沒辦法了
[00:01:34.080 --> 00:01:38.880]  唯有看到他們有瑪利亞大著肚子
[00:01:38.880 --> 00:01:39.720]  快要生了
[00:01:39.720 --> 00:01:42.720]  那個酒店也很好
[00:01:42.720 --> 00:01:44.600]  給你一個車房住一住
[00:01:44.600 --> 00:01:46.920]  留住一晚
[00:01:46.920 --> 00:01:49.920]  有個遮風擋雨的地方
[00:01:49.920 --> 00:01:52.920]  當然在古代就說這個叫什麼
[00:01:53.480 --> 00:01:55.040]  一個地方叫瑪房
[00:01:55.040 --> 00:01:59.640]  那晚耶穌基督就生在瑪曹裡面
[00:01:59.640 --> 00:02:01.920]  瑪房和瑪曹是不同的
[00:02:01.920 --> 00:02:03.400]  瑪曹是什麼呢
[00:02:03.400 --> 00:02:11.480]  瑪曹就是吃東西盛載的木箱仔
[00:02:11.480 --> 00:02:16.080]  木箱仔就剛剛好似一個嬰兒的搖籃
[00:02:16.080 --> 00:02:16.960]  放進去
[00:02:16.960 --> 00:02:18.960]  所以就在瑪曹裡面
[00:02:18.960 --> 00:02:22.840]  好了 那個晚上
[00:02:24.080 --> 00:02:26.680]  聖經有形容天使報信
[00:02:26.680 --> 00:02:31.440]  天使報信就不是報給酒店的店長聽到
[00:02:31.440 --> 00:02:36.960]  原來瑪曹裡面那個是舊主耶穌基督
[00:02:36.960 --> 00:02:38.320]  不是周邊的人
[00:02:38.320 --> 00:02:42.200]  周邊的人就湧過來看看
[00:02:42.200 --> 00:02:44.240]  反而是給誰
[00:02:44.240 --> 00:02:46.920]  在郊外裡面
[00:02:46.920 --> 00:02:49.160]  這些野地裡的牧羊人
[00:02:49.160 --> 00:02:53.160]  牧羊人看到大光就很驚訝
[00:02:53.600 --> 00:02:58.200]  更加看到天使天君唱一首很美妙的歌
[00:02:58.200 --> 00:02:59.760]  那首歌怎麼唱呢
[00:02:59.760 --> 00:03:01.920]  不是《平安夜》
[00:03:01.920 --> 00:03:03.040]  那首歌就是
[00:03:03.040 --> 00:03:04.600]  在至高之處
[00:03:04.600 --> 00:03:05.760]  怎麼樣
[00:03:05.760 --> 00:03:07.160]  榮耀歸於神
[00:03:07.160 --> 00:03:08.880]  在地上平安
[00:03:08.880 --> 00:03:11.080]  歸於他所喜悅的人
[00:03:11.080 --> 00:03:14.360]  所以就看到這個信息
[00:03:14.360 --> 00:03:16.160]  耶穌這個降生
[00:03:16.160 --> 00:03:19.080]  是要榮耀歸神
[00:03:19.080 --> 00:03:20.800]  平安歸人
[00:03:21.160 --> 00:03:23.520]  所以這個是《平安夜》
[00:03:23.520 --> 00:03:27.160]  我們就會用《平安夜》的一個形容
