
[00:00:00.000 --> 00:00:03.140]  今天的主題是「聚散有事」
[00:00:03.140 --> 00:00:07.900]  對我來說,過去的十幾年
[00:00:07.900 --> 00:00:10.440]  其實這四個字是重複地出現的
[00:00:10.440 --> 00:00:13.120]  因為我曾經轉行
[00:00:13.120 --> 00:00:15.940]  又去過兩年的海外斷酸
[00:00:15.940 --> 00:00:17.680]  之後就去讀神學
[00:00:17.680 --> 00:00:21.760]  然後就開始做傳道
[00:00:21.760 --> 00:00:24.040]  做傳道的時候
[00:00:24.040 --> 00:00:26.400]  我又結婚了
[00:00:26.400 --> 00:00:29.120]  最後就進了同福堂
[00:00:29.120 --> 00:00:33.280]  當中有很多的「聚園有散」的時刻
[00:00:33.280 --> 00:00:37.440]  我不知道大家會不會對「聚散有事」這四個字
[00:00:37.440 --> 00:00:42.320]  會有什麼想法,有什麼回憶
[00:00:42.320 --> 00:00:44.440]  我最深刻的感受
[00:00:44.440 --> 00:00:48.440]  其實是覺得我們都是這樣長大的
[00:00:48.440 --> 00:00:50.520]  我又找到一首歌
[00:00:50.520 --> 00:00:54.640]  它的歌名是「我們都是這樣長大的」
[00:00:54.640 --> 00:00:57.840]  給大家看看
[00:00:57.840 --> 00:01:01.880]  當中有幾句歌詞
[00:01:01.880 --> 00:01:05.520]  它說「而時有著而時的畏懼
[00:01:05.520 --> 00:01:08.160]  成人都有成人的唏噓
[00:01:08.160 --> 00:01:10.560]  年年適應,年年老去
[00:01:10.560 --> 00:01:14.760]  而智慧是沉著面對」
[00:01:14.760 --> 00:01:17.440]  但是當我們面對「聚散有事」的時候
[00:01:17.440 --> 00:01:22.920]  其實是不是只有唏噓和傷感呢?
[00:01:22.920 --> 00:01:26.040]  或者背後是意味著我們都走進了
[00:01:26.040 --> 00:01:28.960]  另一個人生的一里路
[00:01:28.960 --> 00:01:31.880]  離開了而時一起成長的人
[00:01:31.880 --> 00:01:36.080]  要自己去面對一些自己成長裡面的事
[00:01:36.080 --> 00:01:38.680]  但是當中其實有很多的契機
[00:01:38.680 --> 00:01:42.360]  今天我就想繼續跟大家分享
[00:01:42.360 --> 00:01:45.680]  去看看約書亞和以色列十二個支派
[00:01:45.680 --> 00:01:49.520]  當他們在加拿大打了很多場仗之後
[00:01:49.520 --> 00:01:53.560]  也是來到一個「聚散有事」的時刻
[00:01:53.560 --> 00:01:54.760]  而各個支派
[00:01:54.760 --> 00:01:57.840]  他們要自己去面對自己所分的地
[00:01:57.840 --> 00:01:59.480]  當中發生了一些事
[00:01:59.480 --> 00:02:02.040]  我們可以學到些什麼呢?
