
[00:00:00.000 --> 00:00:05.000]  歷史告訴我們,大概在主后的四十六年,
[00:00:05.000 --> 00:00:11.000]  在猶太地一帶有相當嚴重的饑荒。
[00:00:11.000 --> 00:00:14.000]  而這個饑荒所帶來的影響,
[00:00:14.000 --> 00:00:17.000]  維持超過有十年以上。
[00:00:17.000 --> 00:00:23.000]  在耶路撒冷的教會裏面的弟兄姊妹,
[00:00:23.000 --> 00:00:28.000]  當然是首當其衝受到這個饑荒所影響。
[00:00:28.000 --> 00:00:31.000]  當時各地的教會
[00:00:31.000 --> 00:00:37.000]  看到猶太地耶路撒冷的信徒受到很嚴重的影響的時候,
[00:00:37.000 --> 00:00:44.000]  安提柯教會是第一間在猶太地以外的教會,
[00:00:44.000 --> 00:00:49.000]  發起了一個行動去籌集善款。
[00:00:49.000 --> 00:00:57.000]  當時的安提柯教會就差派保羅和巴拿巴這兩個信徒領袖
[00:00:57.000 --> 00:01:02.000]  去將善款帶到耶路撒冷。
[00:01:02.000 --> 00:01:10.000]  這個舉動受到當時其他教會的支持和認同。
[00:01:10.000 --> 00:01:13.000]  其中一個教會就是哥林多教會。
[00:01:13.000 --> 00:01:16.000]  就是今天我們所看的這段經文。
[00:01:16.000 --> 00:01:22.000]  在這段經文,保羅寫信給哥林多的信徒,
[00:01:22.000 --> 00:01:32.000]  來提醒他們,他們曾經發起籌款的舉動。
[00:01:32.000 --> 00:01:38.000]  其實在保羅之前寫信給哥林多教會的時候,
[00:01:38.000 --> 00:01:45.000]  我們的哥林多前書裡面已經提到關於籌集善款的事情。
[00:01:45.000 --> 00:01:53.000]  不過經過了一年,這個籌款活動還沒有完全完成。
[00:01:53.000 --> 00:01:58.000]  今天的經文,保羅就將這件事再一次提出來,
[00:01:58.000 --> 00:02:01.000]  來勸勉當時的哥林多的信徒,
[00:02:01.000 --> 00:02:04.000]  說你既然開始了這個詞彙的工作,
[00:02:04.000 --> 00:02:07.000]  你就要將這個工作完成。
[00:02:07.000 --> 00:02:09.000]  今天就讓我們通過這段經文,
[00:02:09.000 --> 00:02:16.000]  保羅在這段經文裡面對信徒,對哥林多信徒的一個勸勉的說話,
[00:02:16.000 --> 00:02:20.000]  讓我們通過這段話,一同去學習,
[00:02:20.000 --> 00:02:22.000]  我們怎樣在神的恩典裡面,
[00:02:22.000 --> 00:02:27.000]  在神的愛裡面,來活出愛的見證。
[00:02:27.000 --> 00:02:30.000]  我們看第一二節。
[00:02:30.000 --> 00:02:32.000]  在這段經文開始的時候,
[00:02:32.000 --> 00:02:41.000]  保羅就說:「我把神賜給馬其頓宗教會的恩告訴你們。」
[00:02:41.000 --> 00:02:45.000]  馬其頓宗教會是指什麼教會呢?
[00:02:45.000 --> 00:02:50.000]  馬其頓教會包括起碼有兩個我們香港熟悉的教會,
[00:02:50.000 --> 00:02:55.000]  是貼薩羅尼加教會和肥納比教會。
[00:02:55.000 --> 00:02:58.000]  如果大家還有印象的話,
[00:02:58.000 --> 00:03:02.000]  其實不是很久之前,大概兩個月之前,
[00:03:02.000 --> 00:03:07.000]  我們的講道系列,就是講道這個貼薩羅尼加的後書。
[00:03:07.000 --> 00:03:11.000]  如果大家還記得的話,
[00:03:11.000 --> 00:03:17.000]  我跟大家提過當時貼薩羅尼加教會所面對的三個重要的困難和問題。
[00:03:17.000 --> 00:03:18.000]  記不記得?
[00:03:18.000 --> 00:03:21.000]  第一個問題是他們受到很多的逼迫,
[00:03:21.000 --> 00:03:24.000]  第二個就是有假教師的騷擾,
[00:03:24.000 --> 00:03:28.000]  第三個就是在他們教會裡有很多懶惰不做事的信徒。
[00:03:28.000 --> 00:03:33.000]  雖然貼薩羅尼加教會是面對著很多不同類型的挑戰和困難,
[00:03:33.000 --> 00:03:34.000]  不過很奇怪,
[00:03:34.000 --> 00:03:40.000]  保羅在一開始的時候仍然堅信堅持縱然有這麼多的困難,
[00:03:40.000 --> 00:03:45.000]  但是神在這個教會裡仍然有很多的恩典。
[00:03:45.000 --> 00:03:46.000]  如果我們看第二節,
[00:03:46.000 --> 00:03:49.000]  他更加清楚直接地指出什麼是恩典。
[00:03:49.000 --> 00:03:56.000]  就是他們在患難中受到大撕裂的時候仍有滿足的快樂,
[00:03:56.000 --> 00:04:03.000]  在極窮困之間仍然顯出他們願意捐獻的心。
[00:04:03.000 --> 00:04:11.000]  保羅在這裡讓我們看到一個很正確的方式去明白和驚艷神的恩典。
[00:04:11.000 --> 00:04:18.000]  保羅沒有在這裡隱藏或者美化患難,
[00:04:18.000 --> 00:04:21.000]  他是報喜不報憂的。
[00:04:21.000 --> 00:04:25.000]  沒錯,當時的貼薩羅尼加信徒面對著很多的困難,
[00:04:25.000 --> 00:04:27.000]  但是大家要留意,
[00:04:27.000 --> 00:04:32.000]  神的恩典並不在乎環境,
[00:04:32.000 --> 00:04:34.000]  而是在乎我們有沒有依靠神,
[00:04:34.000 --> 00:04:38.000]  有沒有在一些我們不能控制的患難、困難裡面,
[00:04:38.000 --> 00:04:44.000]  按著神給我們的恩典來回應這些困難與挑戰。
[00:04:44.000 --> 00:04:46.000]  對於貼薩羅尼加信徒來說,
[00:04:46.000 --> 00:04:52.000]  他們不僅在患難裡面持守信仰,站立得穩。
[00:04:52.000 --> 00:04:57.000]  在這裡保羅更加說,他們有滿足的快樂。
[00:04:57.000 --> 00:05:09.000]  不僅如此,他們在極窮困之間仍然願意捐助有困難有需要的耶路撒冷信徒。
[00:05:09.000 --> 00:05:18.000]  我想大家想像一下,假如今天你在病床裡面,病得五顏六色,
[00:05:18.000 --> 00:05:26.000]  又或者你出席一個你的親戚、親人、朋友的葬禮,
[00:05:26.000 --> 00:05:32.000]  又或者你在一個經濟困難裡面,
[00:05:32.000 --> 00:05:38.000]  失去了工作,現在在福利部申請失業金,
[00:05:38.000 --> 00:05:43.000]  又或者你在律師樓裡面也是在做離婚手續,
[00:05:43.000 --> 00:05:47.000]  我問你在人世間的困難與挑戰裡面,
[00:05:47.000 --> 00:05:55.000]  你是否仍然帶著感恩的心來到神面前感恩?
[00:05:55.000 --> 00:05:59.000]  也許並不是完全沒有可能,
