
[00:00:00.000 --> 00:00:03.000]  今天就講到第四種情緒
[00:00:03.000 --> 00:00:04.360]  我改了一點點
[00:00:04.360 --> 00:00:05.200]  如果你有留意
[00:00:05.200 --> 00:00:06.880]  我以往本來就不是這個題目
[00:00:06.880 --> 00:00:08.160]  今天我想一下
[00:00:08.160 --> 00:00:09.640]  講一下苦讀
[00:00:09.640 --> 00:00:12.560]  是挺硬朗的
[00:00:12.560 --> 00:00:13.320]  挺深的
[00:00:13.320 --> 00:00:18.960]  但是我相信能夠透過今天的跟大家分享裡面
[00:00:18.960 --> 00:00:20.040]  嘗試一下
[00:00:20.040 --> 00:00:22.400]  如何去解放我們在苦讀裡面
[00:00:22.400 --> 00:00:22.880]  好了
[00:00:22.880 --> 00:00:26.560]  就給大家看一個視頻
[00:00:26.560 --> 00:00:29.840]  1996年2月10日
[00:00:29.840 --> 00:00:33.960]  香港中國婦女會馮耀敬紀念中學一班師生
[00:00:33.960 --> 00:00:36.400]  在八仙嶺遇上山火
[00:00:36.400 --> 00:00:39.760]  這次的意外導致5個師生死亡
[00:00:39.760 --> 00:00:41.560]  恆仔僥倖生還
[00:00:41.560 --> 00:00:44.440]  但是六成的皮膚嚴重燒傷
[00:00:44.440 --> 00:00:46.480]  恆仔發生意外的時候
[00:00:46.480 --> 00:00:49.960]  只是一個12歲的中一學生
[00:00:49.960 --> 00:00:51.880]  我姑姐告訴我
[00:00:51.880 --> 00:00:54.160]  因為她是去遠足
[00:00:54.160 --> 00:00:57.560]  她告訴我她有山火
[00:00:57.560 --> 00:00:58.920]  她在深切治療部
[00:00:58.920 --> 00:01:03.360]  聽到深切治療部就害怕
[00:01:03.360 --> 00:01:07.400]  恆仔在醫院昏迷了三個月才醒來
[00:01:07.400 --> 00:01:10.520]  她的臉是傷得最嚴重的
[00:01:10.520 --> 00:01:13.480]  你知道她半個鼻子都要切除
[00:01:13.480 --> 00:01:14.960]  但是更大的考驗
[00:01:14.960 --> 00:01:19.360]  是一個又一個令她痛不欲生的治療過程
[00:01:19.360 --> 00:01:21.400]  沒有一天是好日子
[00:01:21.400 --> 00:01:22.760]  我不會有一個很教訓
[00:01:22.760 --> 00:01:25.880]  那時候戴著壓力面具
[00:01:25.880 --> 00:01:27.800]  晚上壓著整個臉
[00:01:27.800 --> 00:01:29.520]  很辛苦睡不著覺
[00:01:29.520 --> 00:01:30.640]  接著問治療師
[00:01:30.640 --> 00:01:33.360]  幫我拉手、學站、走路
[00:01:33.360 --> 00:01:34.760]  好痛好痛
[00:01:34.760 --> 00:01:36.040]  我媽媽不讓我照鏡
[00:01:36.040 --> 00:01:37.520]  我想死
[00:01:37.520 --> 00:01:39.600]  但是死不了
[00:01:39.600 --> 00:01:43.680]  因為連自己拿著匙羹吃飯的人都沒有
[00:01:43.680 --> 00:01:46.000]  恆仔每天祈禱的時候
[00:01:46.000 --> 00:01:47.760]  都不停埋怨神
[00:01:47.760 --> 00:01:49.960]  依然都要痛
[00:01:49.960 --> 00:01:51.760]  我試過開始說
[00:01:51.760 --> 00:01:53.680]  你可不可以讓我不痛
[00:01:53.680 --> 00:01:55.080]  從此之後
[00:01:55.080 --> 00:01:58.000]  恆仔再沒有回教會
[00:02:25.080 --> 00:02:26.520]  被人欺負過
[00:02:26.520 --> 00:02:27.320]  一定會吧
[00:02:27.320 --> 00:02:29.000]  大欺小
[00:02:29.000 --> 00:02:33.520]  有沒有試過被人騙過
[00:02:33.520 --> 00:02:34.480]  這些有舉手
[00:02:34.480 --> 00:02:36.560]  多些被人騙
[00:02:36.560 --> 00:02:38.920]  欺負的沒那麼多
