
[00:00:00.000 --> 00:00:02.000]  剛剛過去的禮拜一
[00:00:02.000 --> 00:00:04.000]  不知道你有什麼特別的事情要做
[00:00:04.000 --> 00:00:06.000]  加拿大呢
[00:00:06.000 --> 00:00:08.000]  在剛剛過去的禮拜一
[00:00:08.000 --> 00:00:10.000]  就是感恩節
[00:00:10.000 --> 00:00:12.000]  不過
[00:00:12.000 --> 00:00:14.000]  對不少人來說
[00:00:14.000 --> 00:00:16.000]  感恩節
[00:00:16.000 --> 00:00:18.000]  只不過是一個普通的假期
[00:00:18.000 --> 00:00:20.000]  紀念上帝的恩典
[00:00:20.000 --> 00:00:22.000]  可能不只是
[00:00:22.000 --> 00:00:24.000]  簡單的一個
[00:00:24.000 --> 00:00:26.000]  謝飯的禱告
[00:00:26.000 --> 00:00:28.000]  或者有部分人
[00:00:28.000 --> 00:00:30.000]  去教會的
[00:00:30.000 --> 00:00:32.000]  不過他們可能只是參加一些
[00:00:32.000 --> 00:00:34.000]  只有外在的宗教活動
[00:00:34.000 --> 00:00:36.000]  卻沒有內心的回應
[00:00:36.000 --> 00:00:38.000]  神的恩典
[00:00:38.000 --> 00:00:42.000]  歷史的事實
[00:00:42.000 --> 00:00:44.000]  讓我們看到
[00:00:44.000 --> 00:00:46.000]  人唯有在艱難困境當中
[00:00:46.000 --> 00:00:48.000]  才會重新
[00:00:48.000 --> 00:00:50.000]  發現上帝
[00:00:50.000 --> 00:00:52.000]  不過
[00:00:52.000 --> 00:00:54.000]  以色列第七位君王
[00:00:54.000 --> 00:00:56.000]  阿哈和皇后耶西別
[00:00:56.000 --> 00:00:58.000]  就是一個典型的例子
[00:00:58.000 --> 00:01:00.000]  聶皇記上
[00:01:00.000 --> 00:01:02.000]  二十至二十二章
[00:01:02.000 --> 00:01:04.000]  記述了耶和華
[00:01:04.000 --> 00:01:06.000]  不斷向阿哈和耶西別
[00:01:06.000 --> 00:01:08.000]  兩夫婦
[00:01:08.000 --> 00:01:10.000]  私恩救助
[00:01:10.000 --> 00:01:12.000]  不斷自我彰顯
[00:01:12.000 --> 00:01:14.000]  讓阿哈
[00:01:14.000 --> 00:01:16.000]  耶西別
[00:01:16.000 --> 00:01:18.000]  以至以色列都能夠認識到
[00:01:18.000 --> 00:01:20.000]  耶和華的真實
[00:01:20.000 --> 00:01:22.000]  可惜阿哈
[00:01:22.000 --> 00:01:24.000]  被肉體的慾望
[00:01:24.000 --> 00:01:26.000]  以及
[00:01:26.000 --> 00:01:28.000]  身為皇帝的驕傲
[00:01:28.000 --> 00:01:30.000]  所捆綁著
[00:01:30.000 --> 00:01:32.000]  結果
[00:01:32.000 --> 00:01:34.000]  他只是成為惠秋晚年的千古罪人
[00:01:34.000 --> 00:01:36.000]  我的講題
[00:01:36.000 --> 00:01:38.000]  何等恩典
[00:01:38.000 --> 00:01:40.000]  我們盼望
[00:01:40.000 --> 00:01:42.000]  藉著這一段的歷史
[00:01:42.000 --> 00:01:44.000]  我們能夠以史為鑑
[00:01:44.000 --> 00:01:46.000]  懂得擇善固執
[00:01:46.000 --> 00:01:48.000]  是基於夢照
[00:01:48.000 --> 00:01:50.000]  才能夠事實上
[00:01:50.000 --> 00:01:52.000]  靠著聖靈行事
[00:01:52.000 --> 00:01:54.000]  享受自己常在
[00:01:54.000 --> 00:01:56.000]  主的恩典
