
[00:00:00.000 --> 00:00:02.000]  大英師傅平安
[00:00:02.000 --> 00:00:05.000]  很高興今天可以在當中分享神的說話
[00:00:05.000 --> 00:00:08.000]  繼續我們啟示錄的門訓系列
[00:00:08.000 --> 00:00:10.000]  在我講到之前
[00:00:10.000 --> 00:00:14.000]  不如我也跟大家講一個小故事
[00:00:14.000 --> 00:00:17.000]  在我讀神學的時候
[00:00:17.000 --> 00:00:18.000]  其中有一堂
[00:00:18.000 --> 00:00:20.000]  我上一堂的時候
[00:00:20.000 --> 00:00:22.000]  我坐在旁邊的男同學就問我
[00:00:22.000 --> 00:00:27.000]  Karen 你可不可以借你的眼鏡布給我抹眼鏡
[00:00:27.000 --> 00:00:30.000]  我剛剛就拿到一個贈品的新眼鏡布
[00:00:30.000 --> 00:00:32.000]  我說好吧 這個送給你了
[00:00:32.000 --> 00:00:33.000]  他抹完之後
[00:00:33.000 --> 00:00:35.000]  他就說了一句
[00:00:35.000 --> 00:00:38.000]  Oh the world has suddenly become so clear
[00:00:38.000 --> 00:00:42.000]  他說 嘩 原來世界是這麼清楚的
[00:00:42.000 --> 00:00:45.000]  我心想 你平時在看什麼
[00:00:45.000 --> 00:00:47.000]  但是那一刻
[00:00:47.000 --> 00:00:49.000]  我突然間在想
[00:00:49.000 --> 00:00:50.000]  我在想
[00:00:50.000 --> 00:00:53.000]  原來蒙了的眼鏡
[00:00:53.000 --> 00:00:55.000]  是會模糊了我們的視覺
[00:00:55.000 --> 00:00:57.000]  那個男同學
[00:00:57.000 --> 00:00:58.000]  可能一直都覺得
[00:00:58.000 --> 00:01:00.000]  蒙著眼鏡看的世界
[00:01:00.000 --> 00:01:02.000]  已經是他真實的世界
[00:01:02.000 --> 00:01:04.000]  無疑這個是
[00:01:04.000 --> 00:01:06.000]  但是這個是不是事實的全部
[00:01:06.000 --> 00:01:08.000]  或者他世界的全部呢
[00:01:08.000 --> 00:01:10.000]  會不會有些東西
[00:01:10.000 --> 00:01:12.000]  是在他這個看不到
[00:01:12.000 --> 00:01:14.000]  或者蒙了的眼鏡之上
[00:01:14.000 --> 00:01:17.000]  更真實的東西呢
[00:01:17.000 --> 00:01:19.000]  所以在我們
[00:01:19.000 --> 00:01:23.000]  今天去看這一段的聖經
[00:01:23.000 --> 00:01:27.000]  我們今天看的經文裡面
[00:01:27.000 --> 00:01:30.000]  在啟示錄一章九節至二章七節
[00:01:30.000 --> 00:01:32.000]  我們首先會去看
[00:01:32.000 --> 00:01:33.000]  約翰見到一個異象
[00:01:33.000 --> 00:01:37.000]  之後就看耶穌去給七教會
[00:01:37.000 --> 00:01:38.000]  第一間教會給
[00:01:38.000 --> 00:01:41.000]  二不所教會的一個信息
[00:01:41.000 --> 00:01:44.000]  我們一開始就在這段經文裡面
[00:01:44.000 --> 00:01:48.000]  就見到約翰見到一個異象
[00:01:48.000 --> 00:01:49.000]  這一刻
[00:01:49.000 --> 00:01:52.000]  約翰就好像是被提
[00:01:52.000 --> 00:01:54.000]  離開了這個世界這樣
[00:01:54.000 --> 00:01:55.000]  去提到天上
[00:01:55.000 --> 00:01:57.000]  那麼他的讀者
[00:01:57.000 --> 00:01:58.000]  即是我們
[00:01:58.000 --> 00:01:59.000]  和他當時的讀者
[00:01:59.000 --> 00:02:01.000]  就好像跟他一起
[00:02:01.000 --> 00:02:04.000]  被提到天上那樣
[00:02:04.000 --> 00:02:08.000]  而在天上面再看下來這個世界
[00:02:08.000 --> 00:02:10.000]  我想你可以想像
[00:02:10.000 --> 00:02:13.000]  在天上面看下來的這個世界
[00:02:13.000 --> 00:02:14.000]  和在世界上面
[00:02:14.000 --> 00:02:16.000]  你看那個的真實
[00:02:16.000 --> 00:02:19.000]  會是一個不同的畫面
[00:02:19.000 --> 00:02:21.000]  當時約翰就見到一個
[00:02:21.000 --> 00:02:24.000]  他說好像人子那樣
[00:02:24.000 --> 00:02:26.000]  揭示給當時
[00:02:26.000 --> 00:02:29.000]  在羅馬統治的逼迫下面
[00:02:29.000 --> 00:02:32.000]  怎樣去從神那個的視覺
[00:02:32.000 --> 00:02:34.000]  去看到地上
[00:02:34.000 --> 00:02:37.000]  真正發生的事情
[00:02:37.000 --> 00:02:39.000]  那麼約翰這個異象
[00:02:39.000 --> 00:02:43.000]  今天又怎樣去幫助到我們呢
