
[00:00:00.000 --> 00:00:04.000]  親愛的兄弟姐妹們,平安!
[00:00:04.000 --> 00:00:07.000]  時間過得很快很快
[00:00:07.000 --> 00:00:09.000]  很快很快
[00:00:09.000 --> 00:00:13.000]  今天已經是2015年最後一個主日
[00:00:13.000 --> 00:00:18.000]  相信在座當中有九成以上的朋友
[00:00:18.000 --> 00:00:20.000]  你們應該都會看過這一本
[00:00:20.000 --> 00:00:22.000]  如果還沒看或者還沒拿的話
[00:00:22.000 --> 00:00:26.000]  離開的時候記得一定要拿一本
[00:00:26.000 --> 00:00:27.000]  這本是什麼呢?
[00:00:27.000 --> 00:00:30.000]  這是梁法劍禮拜堂50週年
[00:00:30.000 --> 00:00:35.000]  即是今禧的特刊
[00:00:35.000 --> 00:00:38.000]  在這本的特刊裡面
[00:00:38.000 --> 00:00:43.000]  刊載了很多很經典的相片
[00:00:43.000 --> 00:00:45.000]  這些相片當然
[00:00:45.000 --> 00:00:48.000]  對我來說反起很多很多的回憶
[00:00:48.000 --> 00:00:51.000]  因為我在這間教會長大的
[00:00:51.000 --> 00:00:54.000]  我也在這裡讀幼稚園小學
[00:00:54.000 --> 00:00:58.000]  所以會有很多值得我回味的地方
[00:00:58.000 --> 00:01:01.000]  但是令我最著迷
[00:01:01.000 --> 00:01:03.000]  最沉醉得久的
[00:01:03.000 --> 00:01:07.000]  是當中的其中一個部分
[00:01:07.000 --> 00:01:10.000]  就叫做回首50年
[00:01:10.000 --> 00:01:14.000]  也就是梁法堂大肆回顧
[00:01:14.000 --> 00:01:16.000]  透過這些文字
[00:01:16.000 --> 00:01:21.000]  當年教會特別在人際關係裡面的破口
[00:01:21.000 --> 00:01:26.000]  傷痛 裂痕 歷歷在目
[00:01:26.000 --> 00:01:29.000]  有一些我有親身經歷過
[00:01:29.000 --> 00:01:33.000]  也有一些我沒有經歷過
[00:01:33.000 --> 00:01:35.000]  不過大家不要誤會
[00:01:35.000 --> 00:01:39.000]  令我回味的不是那些傷痕
[00:01:39.000 --> 00:01:40.000]  我回味的是
[00:01:40.000 --> 00:01:44.000]  即使我們的教會處處傷痕纍纍
[00:01:44.000 --> 00:01:48.000]  但是我們依然看到主恩處處
[00:01:48.000 --> 00:01:51.000]  人與人之間的關係實在很複雜
[00:01:51.000 --> 00:01:53.000]  很難處理
[00:01:53.000 --> 00:01:55.000]  也是魔鬼最容易
[00:01:55.000 --> 00:01:59.000]  讓我們失落合一的心的地方
