
[00:00:00.000 --> 00:00:03.260]  好,我們一起先低頭祈禱
[00:00:03.260 --> 00:00:06.780]  天父願你的話語再一次教導我們
[00:00:06.780 --> 00:00:09.220]  帶領我們讓我們明白你的心意
[00:00:09.220 --> 00:00:11.900]  也讓我們知道如何在世上
[00:00:11.900 --> 00:00:15.100]  活著的時候做一個合理心意的人
[00:00:15.100 --> 00:00:19.460]  也是活在世上的時候能夠成就你的旨意
[00:00:19.460 --> 00:00:21.940]  奉耶穌基督的名氣求,阿們
[00:00:21.940 --> 00:00:26.160]  好了,今天繼續講《傳道書》第二章
[00:00:26.160 --> 00:00:27.580]  剛才已經讀完了
[00:00:27.580 --> 00:00:31.640]  很多人讀完《傳道書》之後
[00:00:31.640 --> 00:00:35.200]  就好像不知道他想說什麼
[00:00:35.200 --> 00:00:39.440]  但是《傳道書》本身其實也蠻有意思的
[00:00:39.440 --> 00:00:42.640]  今天所講的這一段聖經
[00:00:42.640 --> 00:00:49.220]  其實作者首先從不同的角度
[00:00:49.220 --> 00:00:52.620]  去思考人生如何得到滿足
[00:00:52.620 --> 00:00:56.040]  我相信這也是一個非常重要的課題
[00:00:56.040 --> 00:00:59.840]  究竟人生怎樣才能夠得到滿足呢?
[00:00:59.840 --> 00:01:02.440]  不知道你有沒有問過這樣的一個問題
[00:01:02.440 --> 00:01:04.280]  你說我有很多東西都得不到
[00:01:04.280 --> 00:01:06.240]  那我就不滿足了,是不是?
[00:01:06.240 --> 00:01:08.140]  但是問題就是說
[00:01:08.140 --> 00:01:09.820]  你要得到什麼才能夠滿足
[00:01:09.820 --> 00:01:12.740]  你才知道,才能找到正確的東西才行,是不是?
[00:01:12.740 --> 00:01:15.020]  就是譬如有一個人很口渴的
[00:01:15.020 --> 00:01:18.180]  他說我沒有水喝,當然得不到滿足
[00:01:18.180 --> 00:01:19.880]  那晚喝海水的時候
[00:01:19.880 --> 00:01:21.360]  今天越喝越渴
[00:01:21.360 --> 00:01:23.200]  根本是不可行的
[00:01:23.200 --> 00:01:26.780]  你不知道自己是真正能夠滿足你的時候
[00:01:26.780 --> 00:01:28.960]  你亂來的時候
[00:01:28.960 --> 00:01:33.640]  其實今天我們所讀的這段《傳道書》正正就是這樣
[00:01:33.640 --> 00:01:36.220]  所以《傳道者》一開始的時候
[00:01:36.220 --> 00:01:41.500]  他就去探索現在在一般的人當中
[00:01:41.500 --> 00:01:44.740]  他們用什麼方法去找滿足呢?
[00:01:44.740 --> 00:01:47.600]  他也去探討究竟這些是否真的能夠得到滿足
