
[00:00:00.000 --> 00:00:02.000]  各位電影主妹 早晨
[00:00:02.000 --> 00:00:06.000]  耶穌就講過一個比喻
[00:00:06.000 --> 00:00:10.000]  祂有個爸爸 祂有兩個兒子
[00:00:10.000 --> 00:00:15.000]  這個爸爸底下有個葡萄園
[00:00:15.000 --> 00:00:18.000]  有一天早上祂就跟兩個兒子講
[00:00:18.000 --> 00:00:22.000]  你們今天來葡萄園幫我做工
[00:00:22.000 --> 00:00:27.000]  那個大兒子就說 我去
[00:00:27.000 --> 00:00:30.000]  然後那個小兒子就說 爸爸沒有空
[00:00:30.000 --> 00:00:32.000]  今天我不去
[00:00:32.000 --> 00:00:34.000]  結果怎樣呢
[00:00:34.000 --> 00:00:38.000]  那個大兒子說去 結果沒有去
[00:00:38.000 --> 00:00:40.000]  甩拖
[00:00:40.000 --> 00:00:42.000]  那個小兒子說不去的
[00:00:42.000 --> 00:00:46.000]  結果他就去了
[00:00:46.000 --> 00:00:49.000]  耶穌就問一個問題
[00:00:49.000 --> 00:00:55.000]  這兩個兒子到底是誰聽耶穌的話呢
[00:00:55.000 --> 00:00:58.000]  我想大家心中有數
[00:00:58.000 --> 00:01:02.000]  你只是用口說是沒有用的
[00:01:02.000 --> 00:01:05.000]  你要做出來才行
[00:01:05.000 --> 00:01:07.000]  你說我幫你 我去 我去
[00:01:07.000 --> 00:01:09.000]  結果又不動
[00:01:09.000 --> 00:01:13.000]  但是那個真的去做的
[00:01:13.000 --> 00:01:16.000]  就是聽話的
[00:01:16.000 --> 00:01:19.000]  所以今天我想問大家一個問題
[00:01:19.000 --> 00:01:21.000]  大家都知道
[00:01:21.000 --> 00:01:29.000]  傳福音是你和我作為信徒的責任
[00:01:29.000 --> 00:01:35.000]  那為什麼你不去傳呢
[00:01:35.000 --> 00:01:37.000]  你明知道的
[00:01:37.000 --> 00:01:39.000]  耶穌吩咐我們
[00:01:39.000 --> 00:01:41.000]  保羅又吩咐我們
[00:01:41.000 --> 00:01:46.000]  聖經裡面有很多次經文都是吩咐我們
[00:01:46.000 --> 00:01:50.000]  你要記得聖經裡面有幾類的
[00:01:50.000 --> 00:01:53.000]  有些我們叫做應許
[00:01:53.000 --> 00:01:56.000]  你如果心裡面有很多重擔
[00:01:56.000 --> 00:01:58.000]  你就來到耶穌面前
[00:01:58.000 --> 00:02:00.000]  你就可以卸下你的重擔
[00:02:00.000 --> 00:02:02.000]  這些是應許
[00:02:02.000 --> 00:02:05.000]  但是聖經裡面是有命令的
[00:02:05.000 --> 00:02:09.000]  我命令你們 你們要彼此相愛
[00:02:09.000 --> 00:02:12.000]  我命令你們 你們要傳福音
[00:02:12.000 --> 00:02:15.000]  好像我們剛才讀馬太福音28章
[00:02:15.000 --> 00:02:17.000]  很熟悉的 大使命
[00:02:17.000 --> 00:02:21.000]  耶穌說天上地下所有的權力都給了我
[00:02:21.000 --> 00:02:26.000]  所以他用一個很強烈的字眼
[00:02:26.000 --> 00:02:30.000]  Therefore 所以你們要去
[00:02:30.000 --> 00:02:32.000]  你一定要去
[00:02:32.000 --> 00:02:36.000]  使萬民做我的門徒
[00:02:36.000 --> 00:02:40.000]  所以各位 你收了命令
[00:02:40.000 --> 00:02:43.000]  所以今天我想和大家
[00:02:43.000 --> 00:02:48.000]  切身處地打開心來討論一下
[00:02:48.000 --> 00:02:53.000]  為什麼我們沒有去做呢
[00:02:53.000 --> 00:02:57.000]  為什麼我們明知道要傳福音
[00:02:57.000 --> 00:02:59.000]  我們又不去做
[00:02:59.000 --> 00:03:01.000]  如果找到的原因
[00:03:01.000 --> 00:03:04.000]  如果可以克服 如果可以勝過
[00:03:04.000 --> 00:03:08.000]  那我們長老會就會有很多人來聚集
[00:03:08.000 --> 00:03:11.000]  因為你是大人 你向人傳福音
[00:03:11.000 --> 00:03:15.000]  你信了耶穌 跟我回禮拜堂做禮拜
[00:03:15.000 --> 00:03:17.000]  所以讓我們一起來到神的面前
[00:03:17.000 --> 00:03:19.000]  我們同心禱告
[00:03:19.000 --> 00:03:22.000]  求神今天向我們說話
[00:03:22.000 --> 00:03:26.000]  讓我們一起去傳福音
[00:03:26.000 --> 00:03:28.000]  請大家低頭祈禱
[00:03:28.000 --> 00:03:31.000]  親愛的天父 我們很感謝你
[00:03:31.000 --> 00:03:34.000]  讓我們經過一個禮拜的辛勞
[00:03:34.000 --> 00:03:37.000]  今天是安息日 是主日
[00:03:37.000 --> 00:03:40.000]  讓我們能夠來到教會面前
[00:03:40.000 --> 00:03:42.000]  我們既然來了
[00:03:42.000 --> 00:03:46.000]  我們就很想聽神給我們的說話
[00:03:46.000 --> 00:03:49.000]  求主你讓我們有一個安靜的心
[00:03:49.000 --> 00:03:54.000]  將我們一個禮拜的忙碌 憂慮 疲倦都放下
[00:03:54.000 --> 00:03:57.000]  叫我們單單來到主的腳前
[00:03:57.000 --> 00:04:01.000]  我們要聽神自己的聲音
[00:04:01.000 --> 00:04:06.000]  求主你今天就和我們每一個人說話
[00:04:06.000 --> 00:04:10.000]  讓我們聽見是你猜我們
[00:04:10.000 --> 00:04:12.000]  去將好消息
[00:04:12.000 --> 00:04:16.000]  將福音帶給我們身邊的家人
[00:04:16.000 --> 00:04:18.000]  我們的親戚
[00:04:18.000 --> 00:04:20.000]  我們的同事
[00:04:20.000 --> 00:04:22.000]  我們的朋友
[00:04:22.000 --> 00:04:24.000]  我們社區裏面的人
[00:04:24.000 --> 00:04:26.000]  我們的鄰舍
[00:04:26.000 --> 00:04:28.000]  讓我們不要只有聽字
[00:04:28.000 --> 00:04:30.000]  我們不要去做
[00:04:30.000 --> 00:04:33.000]  我們承認過去我們有很多軟弱
[00:04:33.000 --> 00:04:35.000]  我們不夠努力傳福音
[00:04:35.000 --> 00:04:37.000]  我們沒有膽量傳福音
[00:04:37.000 --> 00:04:39.000]  我們不懂得去傳福音
[00:04:39.000 --> 00:04:42.000]  但求你今天讓我們立志
[00:04:42.000 --> 00:04:44.000]  主耶穌幫助我
[00:04:44.000 --> 00:04:48.000]  讓我成為一個得人的人
[00:04:48.000 --> 00:04:51.000]  好像主耶穌猜遣彼得說
