
[00:00:00.000 --> 00:00:04.800]  好,多謝大家,我想今天你們都有個期望
[00:00:04.800 --> 00:00:09.000]  我們香港人很渴望可以再坐在一起
[00:00:09.000 --> 00:00:15.000]  個個都覺得自己在家裡好像自閉症一樣
[00:00:15.000 --> 00:00:20.000]  我最近經常去醫院和護士
[00:00:20.000 --> 00:00:22.000]  最近去過保險公司
[00:00:22.000 --> 00:00:25.000]  最近會計界
[00:00:25.000 --> 00:00:28.000]  都算是福音聚會,因為有Zoom
[00:00:28.000 --> 00:00:32.000]  我都聽聞有八百多人一看
[00:00:32.000 --> 00:00:35.000]  但全部都是給微信的人看的
[00:00:35.000 --> 00:00:38.000]  都有八百多人在會計界
[00:00:38.000 --> 00:00:40.000]  我猜很多人都開始在留意
[00:00:40.000 --> 00:00:43.000]  究竟現在的時代還有什麼希望呢
[00:00:43.000 --> 00:00:47.000]  昨晚如果你聽一個電台節目
[00:00:47.000 --> 00:00:50.000]  比較晚的節目很多人聽
[00:00:50.000 --> 00:00:53.000]  他竟然講到索多瑪、摩拉
[00:00:53.000 --> 00:00:56.000]  這個從天降下來的懲罰
[00:00:56.000 --> 00:00:59.000]  但講一個很出名的人
[00:00:59.000 --> 00:01:01.000]  我相信他不是基督徒
[00:01:01.000 --> 00:01:05.000]  他都相信這個世界面對的懲罰
[00:01:05.000 --> 00:01:08.000]  很多人都去解釋很多事情
[00:01:08.000 --> 00:01:12.000]  所以我今早都想講下心煩意亂的解藥
[00:01:12.000 --> 00:01:15.000]  經文《路加福音》四章四十
[00:01:15.000 --> 00:01:19.000]  在差不多黃昏的時候
[00:01:19.000 --> 00:01:21.000]  那時候是日落
[00:01:21.000 --> 00:01:24.000]  所有病人都來見耶穌
[00:01:24.000 --> 00:01:26.000]  看來是不奇怪的
[00:01:26.000 --> 00:01:28.000]  如果你是一些很旺的診所
[00:01:28.000 --> 00:01:30.000]  很出名的名醫
[00:01:30.000 --> 00:01:31.000]  都是差不多這樣
[00:01:31.000 --> 00:01:33.000]  什麼病都找他
[00:01:33.000 --> 00:01:34.000]  也都滿了人
[00:01:34.000 --> 00:01:35.000]  不過有興趣的就是
[00:01:35.000 --> 00:01:37.000]  一句說話就是
[00:01:37.000 --> 00:01:42.000]  耶穌就給他們每一個人按手
[00:01:42.000 --> 00:01:44.000]  然後醫好他
[00:01:44.000 --> 00:01:48.000]  如果你不相信耶穌
[00:01:48.000 --> 00:01:50.000]  你就馬上去問
[00:01:50.000 --> 00:01:54.000]  這個醫生如果這麼厲害
[00:01:54.000 --> 00:01:56.000]  為什麼要每一個人去醫
[00:01:56.000 --> 00:01:59.000]  在街口發功都可以
[00:01:59.000 --> 00:02:01.000]  總之你看一看
[00:02:01.000 --> 00:02:04.000]  四樓的窗口
[00:02:04.000 --> 00:02:06.000]  馬上就好了
[00:02:06.000 --> 00:02:09.000]  那耶穌可以一天醫一億人就行了
[00:02:09.000 --> 00:02:12.000]  為什麼要每一個人用手
[00:02:12.000 --> 00:02:14.000]  很累的
[00:02:14.000 --> 00:02:16.000]  你剛才不握手
[00:02:16.000 --> 00:02:18.000]  用手肘碰都很累
[00:02:18.000 --> 00:02:20.000]  碰了這麼多人都很累
[00:02:20.000 --> 00:02:21.000]  為什麼耶穌要這樣做呢
[00:02:21.000 --> 00:02:23.000]  這個就是謎
[00:02:23.000 --> 00:02:26.000]  是不是祂不每一個人按手就醫不了呢
[00:02:26.000 --> 00:02:28.000]  一定不是
[00:02:28.000 --> 00:02:30.000]  為什麼要每一個人按手呢
[00:02:30.000 --> 00:02:32.000]  你猜到為什麼嗎
[00:02:32.000 --> 00:02:36.000]  就是因為祂可能想那個人經歷一下
[00:02:36.000 --> 00:02:38.000]  就是說我按過耶穌
[00:02:38.000 --> 00:02:40.000]  可能幾十年後告訴別人
[00:02:40.000 --> 00:02:43.000]  這是祂一生最難忘的事
[00:02:43.000 --> 00:02:44.000]  這是真的
[00:02:44.000 --> 00:02:48.000]  如果你被一個人特別這樣來見你
[00:02:48.000 --> 00:02:50.000]  你覺得感覺很不尋常
[00:02:50.000 --> 00:02:52.000]  跟他做一個電郵
[00:02:52.000 --> 00:02:54.000]  一千人都是看那一份
[00:02:54.000 --> 00:02:55.000]  他按了你
[00:02:55.000 --> 00:02:57.000]  你都覺得沒那麼親切
[00:02:57.000 --> 00:02:58.000]  但是逐個碰
[00:02:58.000 --> 00:03:00.000]  反而看到
[00:03:00.000 --> 00:03:04.000]  是不分誰比誰重要
[00:03:04.000 --> 00:03:06.000]  你覺不覺得很重要
[00:03:06.000 --> 00:03:08.000]  如果你做大壽就知道了
[00:03:08.000 --> 00:03:09.000]  你跟誰算錯
[00:03:09.000 --> 00:03:11.000]  隔壁都想很久
