
[00:00:00.000 --> 00:00:02.000]  一首好好的詩篇
[00:00:02.000 --> 00:00:08.000]  我相信是今天我們一齊從詩篇裏面去學習
[00:00:08.000 --> 00:00:11.000]  「神為我們持守」
[00:00:11.000 --> 00:00:14.000]  「神為我們持守」其實當中
[00:00:14.000 --> 00:00:18.000]  詩人大衛用了兩個不同的代表人物
[00:00:18.000 --> 00:00:21.000]  或者可以說是兩幅不同的圖畫
[00:00:21.000 --> 00:00:25.000]  第一個在第一段講到祭司
[00:00:25.000 --> 00:00:27.000]  十六篇的三到六節
[00:00:27.000 --> 00:00:29.000]  其實是在講祭司的獻祭
[00:00:29.000 --> 00:00:33.000]  他講到這個祭司立志選擇了
[00:00:33.000 --> 00:00:38.000]  不再向其他的偶像獻祭
[00:00:38.000 --> 00:00:42.000]  另外一個說法就是不追求第二個的神
[00:00:42.000 --> 00:00:45.000]  有一點你可以說中國人
[00:00:45.000 --> 00:00:49.000]  其實在中國人的一些信仰經歷裏面
[00:00:49.000 --> 00:00:52.000]  曾經我們中國人有一句話講到
[00:00:52.000 --> 00:00:57.000]  「拜得神多,自有神庇佑」
[00:00:57.000 --> 00:01:00.000]  所以在中國人的一些傳統可能會覺得
[00:01:00.000 --> 00:01:01.000]  你甚麼都拜一下
[00:01:01.000 --> 00:01:05.000]  甚至可能有些弟兄姊妹去信耶穌的初初階段
[00:01:05.000 --> 00:01:07.000]  可能都覺得你拜多個耶穌都幾好
[00:01:07.000 --> 00:01:08.000]  可以保佑他
[00:01:08.000 --> 00:01:11.000]  但這個祭司在詩篇十六篇裏面提醒我們
[00:01:11.000 --> 00:01:16.000]  他不以其他的神代替耶和華
[00:01:16.000 --> 00:01:19.000]  就是代表著他不會追求第二個神
[00:01:19.000 --> 00:01:20.000]  他不會再拜其他
[00:01:20.000 --> 00:01:24.000]  他只是向耶和華神獻祭
[00:01:24.000 --> 00:01:27.000]  其實是代表著他知道
[00:01:27.000 --> 00:01:30.000]  真正能夠讓他得到永遠的福樂
[00:01:30.000 --> 00:01:34.000]  真正能夠滿足的不是拜其他的偶像
[00:01:34.000 --> 00:01:36.000]  甚至可能今天我們說
[00:01:36.000 --> 00:01:38.000]  可能我們都不會拜其他偶像
[00:01:38.000 --> 00:01:40.000]  但會不會有第二個神
[00:01:40.000 --> 00:01:41.000]  第三個神
[00:01:41.000 --> 00:01:45.000]  可能就是你要希望賺更多的錢
[00:01:45.000 --> 00:01:49.000]  可能你追求一些名與利的成就
[00:01:49.000 --> 00:01:54.000]  會不會這些都可能成為你我之間的神的阻隔
[00:01:54.000 --> 00:01:55.000]  成為我們的神
[00:01:55.000 --> 00:01:57.000]  但祭司就是告訴我們
[00:01:57.000 --> 00:02:02.000]  他願意的就是單單獻祭給耶和華神
[00:02:02.000 --> 00:02:05.000]  不會用其他的東西代替
[00:02:05.000 --> 00:02:07.000]  所以這個是說祭司的獻祭
