
[00:00:00.000 --> 00:00:03.300]  (主席)我們今天會繼續看《上行詩》
[00:00:03.300 --> 00:00:05.300]  詩篇一百二十八篇
[00:00:05.300 --> 00:00:08.300]  《上行詩》一共有十五首
[00:00:08.300 --> 00:00:11.360]  就是詩篇一百二十首到一百三十四首
[00:00:11.360 --> 00:00:15.900]  上個星期我們已經思想過是詩篇一百二十七篇
[00:00:15.900 --> 00:00:21.220]  那篇詩提到工作和家庭的生活是要平衡的
[00:00:21.220 --> 00:00:23.740]  這篇詩再提到
[00:00:23.740 --> 00:00:26.300]  平衡工作和家庭
[00:00:26.300 --> 00:00:29.500]  其實就是人生真正的福樂
[00:00:30.000 --> 00:00:33.040]  我不知道大家是否同意這個說法
[00:00:33.040 --> 00:00:39.700]  在這個時代的華人似乎大多數人都是向前看
[00:00:39.700 --> 00:00:43.900]  認為錢能夠帶給他們人生的福樂
[00:00:43.900 --> 00:00:47.880]  於是很多人拼命地工作
[00:00:47.880 --> 00:00:51.200]  但由於他們過於拼命
[00:00:51.200 --> 00:00:54.680]  賺到錢,錢是賺到,不過很早就死了
[00:00:54.680 --> 00:00:56.180]  沒有機會享用
[00:00:57.000 --> 00:01:01.260]  據中國有一份《中國企業家》雜誌
[00:01:01.260 --> 00:01:05.020]  幾年前針對中國企業家階層
[00:01:05.020 --> 00:01:07.520]  做了一個調查
[00:01:07.520 --> 00:01:11.360]  那個報告叫做《工作健康及快樂調查》
[00:01:11.360 --> 00:01:14.180]  這個結果顯示了什麼呢
[00:01:14.180 --> 00:01:18.120]  就是有高達90.6%的企業家
[00:01:18.120 --> 00:01:22.800]  是處於不同程度的過勞狀態
[00:01:22.800 --> 00:01:26.800]  每天的工作時間是將近11個小時
[00:01:26.800 --> 00:01:30.180]  睡眠的時間只有6個半小時
[00:01:30.180 --> 00:01:34.800]  而這個是大多數企業家的生活常態
[00:01:34.800 --> 00:01:36.700]  一個星期來說
[00:01:36.700 --> 00:01:39.420]  每週只花了66個小時工作
[00:01:39.420 --> 00:01:45.160]  還有21個小時花費在會議桌、談判桌上
[00:01:45.160 --> 00:01:47.680]  17個小時是交際應酬
[00:01:47.680 --> 00:01:51.300]  還有17個小時是花費在商務旅行
[00:01:51.300 --> 00:01:55.300]  另外一份幾年前的統計就說
[00:01:55.300 --> 00:01:59.680]  由2010年1月到2011年7月
[00:01:59.680 --> 00:02:01.460]  一共有19個月
