
[00:00:00.000 --> 00:00:05.040]  我想第二個加油章跟大家看的是一個新約的一段聖經
[00:00:05.040 --> 00:00:10.400]  其實有四節聖經,兩節,四節都在《馬可福音》裏面
[00:00:10.400 --> 00:00:16.840]  我想起這幾節聖經是因爲過去是聖誕節
[00:00:16.840 --> 00:00:23.200]  所以特別在那一段時間想起耶穌的受苦
[00:00:23.200 --> 00:00:26.800]  《馬可福音》第十五章第二十二節這樣說
[00:00:26.800 --> 00:00:31.120]  他們帶耶穌到一個地方叫格格塔
[00:00:31.120 --> 00:00:39.720]  翻出來就是豬顱地拿墨藥調和的酒給耶穌
[00:00:39.720 --> 00:00:41.920]  他卻不受
[00:00:41.920 --> 00:00:46.880]  但是這有趣的地方就是十多節之後
[00:00:46.880 --> 00:00:49.440]  在十五章三十五節的時候
[00:00:49.440 --> 00:00:52.720]  有人再給一些飲品耶穌
[00:00:52.720 --> 00:00:55.440]  耶穌這一次其實是喝了
[00:00:55.440 --> 00:00:58.200]  三十五節十五章《馬可福音》
[00:00:58.200 --> 00:01:04.160]  旁邊站着的人有的聽見就說看了他叫以利亞
[00:01:04.160 --> 00:01:10.360]  有一個人跑去把海綿糟滿了處
[00:01:10.360 --> 00:01:14.920]  綁在蘆葦杆上送給他和說
[00:01:14.920 --> 00:01:22.920]  且等着看以利亞會不會來把他放下來
[00:01:22.920 --> 00:01:25.440]  如果你去看《約翰福音》的時候
[00:01:25.440 --> 00:01:29.920]  你就知道最後耶穌其實是喝了那個飲品
[00:01:29.920 --> 00:01:32.440]  這是以後《約翰福音》十九章二十八節
[00:01:32.440 --> 00:01:35.720]  耶穌知道各樣的事已經成就了
[00:01:35.720 --> 00:01:40.880]  就使經上的話應驗就說我渴了
[00:01:40.880 --> 00:01:44.840]  有一個剩滿了處的罐子放在那裏
[00:01:44.840 --> 00:01:51.560]  他就拿海綿糟滿了處綁在牛屎草上送到他的嘴邊
[00:01:51.560 --> 00:01:55.720]  耶穌藏了那處就說成了
[00:01:55.720 --> 00:01:58.960]  有沒有想過在短短的十幾節裏面
[00:01:58.960 --> 00:02:04.160]  爲什麼耶穌第一次他拒絕那個酒
[00:02:04.160 --> 00:02:08.520]  第二次他卻喝了那個飲料
[00:02:08.520 --> 00:02:11.520]  可能有人說他第一次他還沒有口渴
[00:02:11.520 --> 00:02:13.720]  第二次他口渴他就喝了
[00:02:13.720 --> 00:02:19.120]  當然不可能因爲其實從頭到尾他都非常口渴
[00:02:19.120 --> 00:02:23.160]  也有可能我們會說第一次他雖然口渴他拒絕
[00:02:23.160 --> 00:02:25.960]  但是到第二次他真的非常口渴
[00:02:25.960 --> 00:02:30.000]  他沒辦法再拒絕於是把他喝了
