
[00:00:00.000 --> 00:00:02.820]  在今天繼續講整句話之前
[00:00:02.820 --> 00:00:04.740]  想和大家做個遊戲
[00:00:04.740 --> 00:00:07.960]  小遊戲,不要緊
[00:00:07.960 --> 00:00:11.820]  昨天我們長青的頂智媒都好好反映一下
[00:00:11.820 --> 00:00:14.520]  一講就知道玩什麼,平時小組一定玩過
[00:00:14.520 --> 00:00:18.260]  有機會玩的,小組會叫組長華
[00:00:18.260 --> 00:00:21.620]  今天這一刻由於我走出來,所以遊戲會叫牧師華
[00:00:21.620 --> 00:00:23.240]  你猜遊戲應該是怎麼玩的?
[00:00:23.240 --> 00:00:26.420]  職稱都很瞭解的,我簡單講一講
[00:00:26.420 --> 00:00:29.480]  有職稱經驗知道怎麼玩,想告訴我們,Karen怎麼玩的?
[00:00:30.240 --> 00:00:33.280]  忘記了,很聰明,立刻忘記了
[00:00:33.280 --> 00:00:36.260]  哎呀,不知道,沒關係,我來
[00:00:36.260 --> 00:00:38.860]  一會兒我會邀請大家做些動作
[00:00:38.860 --> 00:00:41.840]  每一個動作,我講之前
[00:00:41.840 --> 00:00:44.660]  如果有牧師華
[00:00:44.660 --> 00:00:47.580]  大家就做了,如果那一個動作
[00:00:47.580 --> 00:00:50.180]  我講之前,這個動作講的時候
[00:00:50.180 --> 00:00:52.340]  之前沒有牧師華,動作做不做呢?
[00:00:52.340 --> 00:00:55.540]  就不做了,大家有沒有理解到?
[00:00:55.540 --> 00:00:58.720]  我理解到很聰明,很聰明,對不對?
[00:00:58.720 --> 00:01:00.040]  大家聽,你很聰明
[00:01:00.040 --> 00:01:03.900]  這麼快的,我都沒有講牧師華
[00:01:03.900 --> 00:01:06.160]  我都沒講牧師華
[00:01:06.160 --> 00:01:09.320]  大家看幫主多振頂,翹起雙手不講
[00:01:09.320 --> 00:01:12.600]  OK,那我們試一試,我們試一試
[00:01:12.600 --> 00:01:14.540]  牧師華揮一揮右手
[00:01:14.540 --> 00:01:17.780]  右手,我真是右手,是對的,真的,不要那麼猶豫
[00:01:17.780 --> 00:01:19.940]  牧師華揮一揮左手
[00:01:19.940 --> 00:01:22.460]  好,兩隻手一起揮
[00:01:22.460 --> 00:01:25.000]  兩隻手爲什麼一起揮呢?
[00:01:25.000 --> 00:01:27.760]  牧師華兩隻手一起揮
[00:01:28.760 --> 00:01:30.660]  好,放下手
[00:01:30.660 --> 00:01:32.500]  哎呀
[00:01:32.500 --> 00:01:35.100]  好,牧師華放下手
[00:01:35.100 --> 00:01:36.700]  好,大家記得嗎?
[00:01:36.700 --> 00:01:39.640]  很聰明,對不對?
[00:01:39.640 --> 00:01:43.620]  那我來多幾次,我試多一次,看看大家有多好反應
[00:01:43.620 --> 00:01:46.160]  OK,好,牧師華拍拍手
[00:01:46.160 --> 00:01:48.460]  好,不要拍
[00:01:48.460 --> 00:01:50.920]  好,牧師華不要拍
[00:01:50.920 --> 00:01:53.800]  唉,學到東西了,真是厲害,厲害啊
[00:01:53.800 --> 00:01:56.060]  OK,牧師華請起身
[00:01:57.440 --> 00:01:59.040]  好,牧師華請坐
[00:01:59.040 --> 00:02:03.660]  哎呀,有錯就起身,牧師華請起身
[00:02:03.660 --> 00:02:07.040]  哎呀,這樣啊,那麼累,請坐
[00:02:07.040 --> 00:02:09.820]  哇,很厲害,很聰明啊,真是
[00:02:09.820 --> 00:02:11.980]  沒人騙到,給點掌聲自己吧
[00:02:11.980 --> 00:02:14.720]  牧師都沒叫你做這些掌聲自己
[00:02:14.720 --> 00:02:16.720]  哎喲
