
[00:00:00.000 --> 00:00:06.000]  我們很多時候都說教會是神所賜的屬靈大家庭
[00:00:06.000 --> 00:00:07.160]  不過想問問大家
[00:00:07.160 --> 00:00:10.880]  很多時候你聽完這樣的說法的時候
[00:00:10.880 --> 00:00:12.160]  你想到什麼呢?
[00:00:12.160 --> 00:00:14.160]  你的感受如何?
[00:00:14.160 --> 00:00:15.840]  你會不會感到很興奮?
[00:00:15.840 --> 00:00:16.520]  很開心?
[00:00:16.520 --> 00:00:17.840]  雀躍?
[00:00:17.840 --> 00:00:21.840]  還是感到很憂慮?
[00:00:21.840 --> 00:00:24.360]  我相信這個感受很視乎
[00:00:24.360 --> 00:00:29.040]  你在地上的家庭的經驗如何
[00:00:29.040 --> 00:00:32.800]  根據澳洲健康與福利部的研究
[00:00:32.800 --> 00:00:35.280]  在兩年之前他們做過這樣的研究
[00:00:35.280 --> 00:00:38.240]  他們說澳洲普遍來說
[00:00:38.240 --> 00:00:40.920]  十個人裡面就會有一個
[00:00:40.920 --> 00:00:45.000]  是在家庭裡面遇到不開心的事情
[00:00:45.000 --> 00:00:45.840]  受到傷害
[00:00:45.840 --> 00:00:47.720]  甚至是家暴
[00:00:47.720 --> 00:00:48.600]  我們都知道
[00:00:48.600 --> 00:00:53.200]  我們每一個人都是通過母親的討福
[00:00:53.200 --> 00:00:56.080]  生進一個家庭
[00:00:56.080 --> 00:00:57.400]  這個是我們沒得選擇的
[00:00:57.400 --> 00:01:00.040]  我們沒得選擇我們的家人
[00:01:00.040 --> 00:01:03.400]  但是對很多人來說
[00:01:03.400 --> 00:01:04.960]  一個家庭
[00:01:04.960 --> 00:01:08.080]  在我們做完一天辛勞的工作之後
[00:01:08.080 --> 00:01:10.160]  我們回到家庭我們都怎樣?
[00:01:10.160 --> 00:01:14.400]  很多時候我們都感到很放鬆
[00:01:14.400 --> 00:01:17.440]  很感到得到家人的支持
[00:01:17.440 --> 00:01:20.600]  可以恢復我們精神的壓力
[00:01:20.600 --> 00:01:21.320]  得到安慰
[00:01:21.320 --> 00:01:24.120]  甚至是可以享受家庭之樂
[00:01:24.120 --> 00:01:25.440]  不過如果根據那個研究的話
[00:01:25.440 --> 00:01:29.600]  十個裡面有一個家庭
[00:01:29.600 --> 00:01:32.920]  當人回去的時候會受到傷害
[00:01:32.920 --> 00:01:33.880]  感到不開心
[00:01:33.880 --> 00:01:34.800]  感到困擾
[00:01:34.800 --> 00:01:36.560]  感到痛苦
[00:01:36.560 --> 00:01:41.360]  究竟兩者之間有什麼不同
[00:01:41.360 --> 00:01:46.960]  以至有完全不一樣的經歷呢?
[00:01:46.960 --> 00:01:51.960]  如果教會是神所賜給我們屬靈的家庭的時候
[00:01:51.960 --> 00:02:01.120]  這個家庭是應該我們可以回來得到彼此的支援、助紂
[00:02:01.120 --> 00:02:03.760]  還是受到傷害呢?
[00:02:03.760 --> 00:02:05.720]  今天我想通過這個經文
[00:02:05.720 --> 00:02:10.320]  一同學習作為屬靈家庭教會的一份子
[00:02:10.320 --> 00:02:11.800]  我們有什麼做
[00:02:11.800 --> 00:02:13.480]  或者我們需要知道什麼
[00:02:13.480 --> 00:02:15.120]  以至這個屬靈的家庭
[00:02:15.120 --> 00:02:17.840]  可以讓我們成為一個榮神益人的地方
[00:02:17.840 --> 00:02:19.560]  我們一同來看看
[00:02:19.560 --> 00:02:21.880]  在經文開始的時候
[00:02:21.880 --> 00:02:23.800]  保羅說:所以弟兄們
[00:02:23.800 --> 00:02:25.760]  我以神的慈悲勸你們
[00:02:25.760 --> 00:02:28.360]  將身體獻上當作活祭
[00:02:28.360 --> 00:02:29.560]  我跟大家講過很多次
[00:02:29.560 --> 00:02:31.320]  當我們看到這個「所以」的時候
[00:02:31.320 --> 00:02:32.440]  是一個連接詞
[00:02:32.440 --> 00:02:35.720]  就是說我們將要看的這幾節的經文
[00:02:35.720 --> 00:02:40.120]  是建基於我們之前經文所講的教導
[00:02:40.120 --> 00:02:43.960]  那十一章是講什麼呢?
[00:02:43.960 --> 00:02:46.520]  我們先看一看
[00:02:46.520 --> 00:02:48.000]  要了解的是
[00:02:48.000 --> 00:02:49.440]  整個的羅馬書
[00:02:49.440 --> 00:02:58.440]  其實保羅寫給大部分的受書人
[00:02:58.440 --> 00:02:59.960]  大部分都是外邦
[00:02:59.960 --> 00:03:03.960]  當時羅馬教會的信徒都是外邦人
[00:03:03.960 --> 00:03:05.480]  在十一章裡面
