
[00:00:00.000 --> 00:00:03.300]  很快再來到同心與神同行第八講
[00:00:03.300 --> 00:00:06.300]  專注於達成使命
[00:00:06.300 --> 00:00:11.000]  知不知道這是什麼?
[00:00:11.000 --> 00:00:13.800]  兩隻眼睛
[00:00:13.800 --> 00:00:16.100]  有沒有人知道什麼叫monovision?
[00:00:16.100 --> 00:00:18.700]  中文我叫做「鴛鴦眼」
[00:00:18.700 --> 00:00:20.400]  有沒有人知道什麼叫「鴛鴦眼」?
[00:00:20.400 --> 00:00:24.100]  大細朝
[00:00:24.100 --> 00:00:29.300]  大約二十年前我當時準備讀神學
[00:00:29.700 --> 00:00:31.300]  又有近視
[00:00:31.300 --> 00:00:32.800]  差不多有六百多度近視
[00:00:32.800 --> 00:00:36.700]  又有老花
[00:00:36.700 --> 00:00:38.000]  二百度老花
[00:00:38.000 --> 00:00:39.900]  我就去找醫生
[00:00:39.900 --> 00:00:40.900]  laser了一隻眼睛
[00:00:40.900 --> 00:00:42.600]  弄了一對鴛鴦眼出來
[00:00:42.600 --> 00:00:44.700]  是故意的
[00:00:44.700 --> 00:00:45.900]  不是意外
[00:00:45.900 --> 00:00:47.400]  這隻眼睛有五十度近視
[00:00:47.400 --> 00:00:49.200]  可以看到很遠的東西
[00:00:49.200 --> 00:00:51.800]  這隻眼睛有二百度近視
[00:00:51.800 --> 00:00:53.700]  可以看到近的東西
[00:00:53.700 --> 00:00:56.700]  又對消了老花帶來的後果
[00:00:56.700 --> 00:00:57.700]  一近一遠
[00:00:57.700 --> 00:00:59.600]  一起來的時候腦袋很神奇
[00:00:59.600 --> 00:01:00.800]  神所做給我們的腦袋
[00:01:00.800 --> 00:01:03.200]  真的很神奇
[00:01:03.200 --> 00:01:06.200]  可以將兩樣東西一起來看得很清楚
[00:01:06.200 --> 00:01:08.300]  所以現在看得很清楚
[00:01:08.300 --> 00:01:09.500]  原則上
[00:01:09.500 --> 00:01:12.100]  不過現在暗暗的就不太好
[00:01:12.100 --> 00:01:13.800]  鴛鴦眼就是這樣
[00:01:13.800 --> 00:01:15.000]  可以看近看遠都可以
[00:01:15.000 --> 00:01:18.700]  今天有一個奇蹟
[00:01:18.700 --> 00:01:21.400]  你們全部都有鴛鴦眼
[00:01:21.400 --> 00:01:24.400]  今天我們就嘗試和大家一起
[00:01:24.400 --> 00:01:26.300]  用鴛鴦眼來看今天的經文
[00:01:26.900 --> 00:01:28.400]  一隻眼睛就看很遠很遠的
[00:01:28.400 --> 00:01:29.400]  尼希米的故事
[00:01:29.400 --> 00:01:31.100]  一隻眼睛看很近很近
[00:01:31.100 --> 00:01:32.900]  發生在你們在我們身上的
[00:01:32.900 --> 00:01:34.200]  發生的事情
[00:01:34.200 --> 00:01:35.100]  好不好
[00:01:35.100 --> 00:01:37.900]  預備好經歷過鴛鴦眼的感受
[00:01:37.900 --> 00:01:41.900]  今天將經文分成三個部分來講
[00:01:41.900 --> 00:01:44.900]  先看看尼希米當時的現實景況是怎樣
[00:01:44.900 --> 00:01:46.900]  當然也看看我們的現實景況又是怎樣
[00:01:46.900 --> 00:01:49.800]  看看情況有沒有惡化
[00:01:49.800 --> 00:01:51.100]  或者更加複雜化
[00:01:51.100 --> 00:01:54.200]  最後看看神在這件事上
[00:01:54.600 --> 00:01:57.400]  神的作為,事在神為
[00:01:57.400 --> 00:02:01.100]  第一部分
[00:02:01.100 --> 00:02:03.900]  目光一樣
[00:02:03.900 --> 00:02:05.800]  眼光
[00:02:05.800 --> 00:02:07.500]  不同
[00:02:07.500 --> 00:02:09.700]  看東西一樣,看東西會不同
[00:02:09.700 --> 00:02:12.200]  都是有一點鴛鴦眼的效果
