
[00:00:00.000 --> 00:00:02.000]  好開心能夠再見面
[00:00:02.000 --> 00:00:04.000]  剛剛在星期三
[00:00:04.000 --> 00:00:06.000]  在祈禱會見過你們
[00:00:06.000 --> 00:00:08.000]  很想大家
[00:00:08.000 --> 00:00:10.000]  在每天都
[00:00:10.000 --> 00:00:12.000]  繼續有好的靈修生活
[00:00:12.000 --> 00:00:14.000]  去清淨神
[00:00:14.000 --> 00:00:16.000]  如果更好的
[00:00:16.000 --> 00:00:18.000]  星期三抽時間回來
[00:00:18.000 --> 00:00:20.000]  跟我們一起去祈禱
[00:00:20.000 --> 00:00:22.000]  一起集體的靈修
[00:00:22.000 --> 00:00:24.000]  我們的牧者
[00:00:24.000 --> 00:00:26.000]  會用心
[00:00:26.000 --> 00:00:28.000]  預備二十分鐘左右的訊息
[00:00:28.000 --> 00:00:30.000]  我們一同領受
[00:00:30.000 --> 00:00:32.000]  然後一同去禱告
[00:00:32.000 --> 00:00:34.000]  可以在網上
[00:00:34.000 --> 00:00:36.000]  可以回來城鎮家
[00:00:36.000 --> 00:00:38.000]  一起去
[00:00:38.000 --> 00:00:40.000]  有一個美好的祈禱會
[00:00:40.000 --> 00:00:42.000]  在過往的
[00:00:42.000 --> 00:00:44.000]  三個星期三
[00:00:44.000 --> 00:00:46.000]  我跟鼎姐妹們
[00:00:46.000 --> 00:00:48.000]  分享了自由
[00:00:48.000 --> 00:00:50.000]  的課題
[00:00:50.000 --> 00:00:52.000]  在今天的中午
[00:00:52.000 --> 00:00:54.000]  我跟大家繼續
[00:00:54.000 --> 00:00:56.000]  講生命的自由
[00:00:56.000 --> 00:00:58.000]  講到自由
[00:00:58.000 --> 00:01:00.000]  想問問你們
[00:01:00.000 --> 00:01:02.000]  你們喜不喜歡自由
[00:01:02.000 --> 00:01:04.000]  喜歡是吧
[00:01:04.000 --> 00:01:06.000]  自由這個字
[00:01:06.000 --> 00:01:08.000]  給我們有很大的共鳴
[00:01:08.000 --> 00:01:10.000]  因為它承載著
[00:01:10.000 --> 00:01:12.000]  很重要的價值
[00:01:12.000 --> 00:01:14.000]  和意義
[00:01:14.000 --> 00:01:16.000]  有些國家的人民
[00:01:16.000 --> 00:01:18.000]  當他們慶祝
[00:01:18.000 --> 00:01:20.000]  他們的獨立的時候
[00:01:20.000 --> 00:01:22.000]  他們就會唱自由之歌
[00:01:22.000 --> 00:01:24.000]  政客
[00:01:24.000 --> 00:01:26.000]  商人廣告商都知道
[00:01:26.000 --> 00:01:28.000]  自由這個字的重要性
[00:01:28.000 --> 00:01:30.000]  就是會用這個字
[00:01:30.000 --> 00:01:32.000]  來吸引
[00:01:32.000 --> 00:01:34.000]  大家的注意力
[00:01:34.000 --> 00:01:36.000]  自由是我們
[00:01:36.000 --> 00:01:38.000]  所喜歡的
[00:01:38.000 --> 00:01:40.000]  在這個時間
[00:01:40.000 --> 00:01:42.000]  我們一同去思考自由
[00:01:42.000 --> 00:01:44.000]  一起去得著
[00:01:44.000 --> 00:01:46.000]  自由的生命
[00:01:46.000 --> 00:01:48.000]  生命的自由
[00:01:48.000 --> 00:01:50.000]  我們同心禱告
[00:01:52.000 --> 00:01:54.000]  親愛的主 多謝你
[00:01:54.000 --> 00:01:56.000]  讓我們一起回到
[00:01:56.000 --> 00:01:58.000]  成浸家 在你的聖所當中
[00:01:58.000 --> 00:02:00.000]  我們的心
[00:02:00.000 --> 00:02:02.000]  專心向著你
[00:02:02.000 --> 00:02:04.000]  我們聽你的話
[00:02:04.000 --> 00:02:06.000]  今天你叫我們休息
[00:02:06.000 --> 00:02:08.000]  我們在你神聖的
[00:02:08.000 --> 00:02:10.000]  休息當中
[00:02:10.000 --> 00:02:12.000]  我們親近你
[00:02:12.000 --> 00:02:14.000]  敬拜你 愛你
[00:02:14.000 --> 00:02:16.000]  聽你的說話
[00:02:16.000 --> 00:02:18.000]  主就求你
[00:02:18.000 --> 00:02:20.000]  讓我們在你的當中
[00:02:20.000 --> 00:02:22.000]  能夠自由自在
[00:02:22.000 --> 00:02:24.000]  有你給我們的
[00:02:24.000 --> 00:02:26.000]  平安和喜樂
[00:02:26.000 --> 00:02:28.000]  我們更多的經歷你
[00:02:28.000 --> 00:02:30.000]  更多的愛你
[00:02:30.000 --> 00:02:32.000]  更多的愛
[00:02:32.000 --> 00:02:34.000]  其他的人
[00:02:34.000 --> 00:02:36.000]  在這段時間
[00:02:36.000 --> 00:02:38.000]  我們要聽你的話語
[00:02:38.000 --> 00:02:40.000]  求你讓我們眾弟兄姊妹們
[00:02:40.000 --> 00:02:42.000]  都能夠有聰明
[00:02:42.000 --> 00:02:44.000]  耳朵聽得見
[00:02:44.000 --> 00:02:46.000]  眼睛看得見
[00:02:46.000 --> 00:02:48.000]  我們的心
[00:02:48.000 --> 00:02:50.000]  信任
[00:02:50.000 --> 00:02:52.000]  相信你的說話
[00:02:52.000 --> 00:02:54.000]  主我們仰望你
[00:02:54.000 --> 00:02:56.000]  我們的祈禱是
[00:02:56.000 --> 00:02:58.000]  奉主耶穌基督名字求
[00:02:58.000 --> 00:03:00.000]  阿們
[00:03:00.000 --> 00:03:02.000]  我們生命的起初
[00:03:02.000 --> 00:03:04.000]  由起初
[00:03:04.000 --> 00:03:06.000]  我們都知道
[00:03:06.000 --> 00:03:08.000]  我們生命是脆弱的
[00:03:08.000 --> 00:03:10.000]  很多的事情
[00:03:10.000 --> 00:03:12.000]  是我們不能夠控制的
[00:03:12.000 --> 00:03:14.000]  我們要依賴
[00:03:14.000 --> 00:03:16.000]  我們的爸爸媽媽
[00:03:16.000 --> 00:03:18.000]  我們沒有權利去選
[00:03:18.000 --> 00:03:20.000]  誰是我們爸爸媽媽
