
[00:00:00.000 --> 00:00:05.000]  好,我們現在回到看架構
[00:00:05.000 --> 00:00:08.500]  《創世紀》裏面有一個很長的書
[00:00:08.500 --> 00:00:10.260]  其中一個最長的書
[00:00:10.260 --> 00:00:11.500]  有五十張聖經
[00:00:11.500 --> 00:00:14.580]  我們說,我們要怎麼去cut the pie
[00:00:14.580 --> 00:00:17.500]  一個五十張,你怎麼去將它分斷
[00:00:17.500 --> 00:00:22.140]  以至它的架構會明顯出來給我們
[00:00:22.140 --> 00:00:24.380]  其中一個最簡單的
[00:00:24.380 --> 00:00:28.540]  有一些神學家會提出的架構就是一二三
[00:00:28.540 --> 00:00:30.260]  即是三部分
[00:00:30.260 --> 00:00:31.100]  哪三部分呢?
[00:00:31.100 --> 00:00:34.300]  第一,世界的創造
[00:00:34.300 --> 00:00:37.900]  第二,世界的歷史或者世界的創造
[00:00:37.900 --> 00:00:40.460]  第二是人類的歷史
[00:00:40.460 --> 00:00:43.220]  第三是以色列人的歷史
[00:00:43.220 --> 00:00:45.780]  我不知道你熟不熟悉《創世紀》
[00:00:45.780 --> 00:00:47.900]  如果你這樣分的時候
[00:00:47.900 --> 00:00:52.860]  第一部分就是《創世紀》一章至第二章第三節
[00:00:52.860 --> 00:00:55.860]  這個就是世界創造的歷史
[00:00:55.860 --> 00:00:58.580]  第二個是人類的歷史
[00:00:58.580 --> 00:01:01.460]  可以說阿當·夏娃,比較特殊一些
[00:01:01.460 --> 00:01:04.740]  接着說到人類被造在伊甸園裏面
[00:01:04.740 --> 00:01:06.180]  說到人類墮落的歷史
[00:01:06.180 --> 00:01:09.580]  接着說阿當·夏娃的子女犯罪的歷史
[00:01:09.580 --> 00:01:11.180]  接着也有挪娃
[00:01:11.180 --> 00:01:12.180]  去到哪裏呢?
[00:01:12.180 --> 00:01:15.860]  去到《創世紀》第十一章完的時候
[00:01:15.860 --> 00:01:17.460]  那就是人類歷史了
[00:01:17.460 --> 00:01:17.940]  爲什麼呢?
[00:01:17.940 --> 00:01:20.860]  因爲十二章就有一個新的人物出現了
[00:01:20.860 --> 00:01:22.940]  那個人物在哪裏呢?
[00:01:22.940 --> 00:01:26.140]  在阿伯拉罕,成爲以色列國的歷史了
[00:01:26.140 --> 00:01:27.220]  你明白嗎?
[00:01:27.220 --> 00:01:31.020]  所以有人就是用這個最簡單的這樣分
[00:01:31.020 --> 00:01:34.820]  不過這樣分其實都不是幫到我們很多
[00:01:34.820 --> 00:01:38.660]  我給另外一個分段
[00:01:38.660 --> 00:01:40.540]  這個如果是歷史分段
[00:01:40.540 --> 00:01:42.900]  以下那個叫做文學分段
[00:01:42.900 --> 00:01:47.020]  但這個文學分段就真的挺複雜的
[00:01:47.020 --> 00:01:49.020]  這個東西叫《陶列都》
[00:01:49.020 --> 00:01:50.940]  我想之前都有些人
[00:01:50.940 --> 00:01:53.500]  如果你聽我的教育站我也有講過
[00:01:53.500 --> 00:01:56.060]  《陶列都》就是一個詞彙
[00:01:56.060 --> 00:01:58.100]  一個欺敗文文的詞彙
[00:01:58.100 --> 00:02:00.540]  而《創世紀》第一章
[00:02:00.540 --> 00:02:03.500]  一至二章三節
[00:02:03.500 --> 00:02:05.660]  這個叫做開始的介紹
[00:02:05.660 --> 00:02:06.900]  introduction(介紹)之後
[00:02:06.900 --> 00:02:09.980]  就出現了十一個《陶列都》
[00:02:09.980 --> 00:02:11.300]  這十一個《陶列都》
