
[00:00:00.000 --> 00:00:02.000]  丁姊妹主來平安
[00:00:02.000 --> 00:00:05.600]  在講道至先,我們再一次同心禱告
[00:00:05.600 --> 00:00:11.300]  聖靈也求祢都去掌管我們的心思意念
[00:00:11.300 --> 00:00:15.600]  讓我們有敞開的心、聆聽的耳朵
[00:00:15.600 --> 00:00:18.500]  聖靈也求祢掌管我的心思意念
[00:00:18.500 --> 00:00:21.900]  讓我所講的都出自祢的心意
[00:00:21.900 --> 00:00:25.200]  奉主耶穌基督的聖名祈求
[00:00:25.200 --> 00:00:26.200]  阿們
[00:00:27.600 --> 00:00:31.100]  丁姊妹,前段時間我們過年的時候
[00:00:31.100 --> 00:00:35.100]  我們都會用一些祝賀的說話來給錢民安,是嗎?
[00:00:35.100 --> 00:00:39.100]  中國人,不要講一些不吉利、好意頭的說話
[00:00:39.100 --> 00:00:41.600]  我不知道你對人講了些什麼說話
[00:00:41.600 --> 00:00:44.100]  我想以下這些基本上我們都會講的
[00:00:44.100 --> 00:00:46.100]  新年快樂,恭喜發財
[00:00:46.100 --> 00:00:47.600]  財源廣進,萬事如意
[00:00:47.600 --> 00:00:49.600]  心想事成,事事順利
[00:00:49.600 --> 00:00:52.100]  身體健康,長命百歲
[00:00:52.100 --> 00:00:55.600]  我想,誰會贏出呢?
[00:00:56.100 --> 00:00:59.100]  贏出,我想今年一定是身體健康,是嗎?
[00:00:59.100 --> 00:01:02.600]  昨晚我講完周六崇拜之後,有個弟兄來
[00:01:02.600 --> 00:01:04.100]  牧師爺,不是啊
[00:01:04.100 --> 00:01:06.600]  今年是百毒不侵,贏出了
[00:01:06.600 --> 00:01:09.600]  很真啊,是不是?
[00:01:09.600 --> 00:01:12.600]  我們很需要百毒不侵,可能在這個時間
[00:01:12.600 --> 00:01:16.100]  我們又喜歡在家裡掛一個福字,是嗎?
[00:01:16.100 --> 00:01:17.600]  貼在牆壁或者門口
[00:01:17.600 --> 00:01:19.100]  但是我們不是這樣掛的
[00:01:19.100 --> 00:01:20.600]  很多時候我們會怎樣呢?
