
[00:00:00.000 --> 00:00:02.000]  今日是青少主日
[00:00:02.000 --> 00:00:07.000]  不知大家當提起青少年時會想起甚麼
[00:00:07.000 --> 00:00:09.000]  記得我上年提過
[00:00:09.000 --> 00:00:12.000]  那些網紅YouTuber
[00:00:12.000 --> 00:00:15.000]  手機族 斜槓族 或者slash
[00:00:15.000 --> 00:00:19.000]  都好像已經很久的時間
[00:00:19.000 --> 00:00:22.000]  近期在將來這個
[00:00:22.000 --> 00:00:25.000]  叫做Gen Z
[00:00:25.000 --> 00:00:27.000]  即是1997至2012年之間
[00:00:27.000 --> 00:00:32.000]  出世的年青人都大概十幾二十歲的一班年青人
[00:00:32.000 --> 00:00:36.000]  他們中間最流行 最新近的詞彙
[00:00:36.000 --> 00:00:39.000]  不知大家認識多少個
[00:00:39.000 --> 00:00:42.000]  我考考大家
[00:00:42.000 --> 00:00:49.000]  這個詞彙就不知你知不知為甚麼
[00:00:49.000 --> 00:00:52.000]  MNYY我第一次看的時候
[00:00:52.000 --> 00:00:57.000]  我還以為在問我的出生月日
[00:00:57.000 --> 00:01:02.000]  原來不是 是廣東話食字
[00:01:02.000 --> 00:01:05.000]  Must need 要有
[00:01:05.000 --> 00:01:08.000]  食少少字
[00:01:08.000 --> 00:01:13.000]  有些人在網上說
[00:01:13.000 --> 00:01:15.000]  去吃火鍋一定要喝可樂
[00:01:15.000 --> 00:01:18.000]  所以就彈出MNYY
[00:01:18.000 --> 00:01:22.000]  回應一下那些需要
[00:01:22.000 --> 00:01:25.000]  即是表達那種很需要
[00:01:25.000 --> 00:01:30.000]  另一個 大家知不知為甚麼
[00:01:30.000 --> 00:01:35.000]  這個其實就是促成輸入法裏面
[00:01:35.000 --> 00:01:37.000]  你打MM+7
[00:01:37.000 --> 00:01:39.000]  打完之後就會出個正字
[00:01:39.000 --> 00:01:41.000]  所以人們就說回應正
[00:01:41.000 --> 00:01:43.000]  就用MM7來回應
[00:01:43.000 --> 00:01:46.000]  正到爆 說那些人那些事
[00:01:46.000 --> 00:01:49.000]  這個可能有人聽過
[00:01:49.000 --> 00:01:52.000]  鉗 我應該沒有讀錯
