
[00:00:00.000 --> 00:00:06.440]  弟兄姊妹在此再次透過預先錄製的崇拜
[00:00:06.440 --> 00:00:09.560]  我們盼望沒有分阻隔
[00:00:09.560 --> 00:00:14.480]  雖然在疫症仍是肆虐的時期
[00:00:14.480 --> 00:00:16.480]  我們每一個弟兄姊妹都願意
[00:00:16.480 --> 00:00:19.680]  你們和教會每一個弟兄姊妹
[00:00:19.680 --> 00:00:23.280]  和上帝的關係都沒有任何阻隔
[00:00:23.280 --> 00:00:28.200]  今天我在此跟大家分享這個題目
[00:00:28.200 --> 00:00:34.680]  死也願意的保羅繼續延續我們《使徒行傳》的講論
[00:00:34.680 --> 00:00:40.520]  特別是上星期我們聽完李文耀博士跟我們分享
[00:00:40.520 --> 00:00:43.520]  在這二十章裏面
[00:00:43.520 --> 00:00:46.480]  保羅如何毁身
[00:00:46.480 --> 00:00:51.320]  為信仰和福音的緣故
[00:00:51.320 --> 00:00:56.120]  他給我們一個很清晰的典範
[00:00:56.120 --> 00:00:59.480]  我們今天來看這個題目的時候
[00:00:59.480 --> 00:01:02.280]  最近我相信大家都很留意
[00:01:02.280 --> 00:01:05.480]  疫情的進展
[00:01:05.480 --> 00:01:08.920]  而我們國內一位抗疫的專家
[00:01:08.920 --> 00:01:13.200]  已經八十多歲的鍾南山先生
[00:01:13.200 --> 00:01:18.720]  他說有家人陪伴有朋友關心有健康的身體
[00:01:18.720 --> 00:01:22.040]  這就是世界上最幸福的事
[00:01:22.040 --> 00:01:26.760]  確實是的,我們今天人生可能很簡單
[00:01:26.760 --> 00:01:29.400]  大家為求三餐一宿
[00:01:29.400 --> 00:01:32.400]  可能有很多人已經覺得很滿足
[00:01:32.400 --> 00:01:35.680]  我們覺得有健康,有家人有朋友
[00:01:35.680 --> 00:01:38.800]  有健康的身體
[00:01:38.800 --> 00:01:41.000]  很多人都覺得很重要
[00:01:41.000 --> 00:01:45.640]  失去了,你就會覺得整個世界灰暗
[00:01:45.640 --> 00:01:47.440]  但我都提一提大家
[00:01:47.440 --> 00:01:49.800]  原來在我們今天這個時代
[00:01:49.800 --> 00:01:54.800]  大家想著眼的,你認為很寶貴很重要的東西
[00:01:54.800 --> 00:01:57.400]  但有些東西更加重要
[00:01:57.400 --> 00:02:00.480]  已故的葛培里牧師曾經說
[00:02:00.480 --> 00:02:02.800]  當你財富失去的時候
[00:02:02.800 --> 00:02:07.200]  你沒有什麼是會失去的
[00:02:07.200 --> 00:02:12.600]  其實我們說金錢就是身外物
[00:02:12.600 --> 00:02:14.360]  其實失去了的金錢
[00:02:14.360 --> 00:02:16.360]  你仍然可以生活下去
[00:02:16.360 --> 00:02:18.080]  當健康失去的時候
[00:02:18.080 --> 00:02:20.320]  你只是失去某些東西
[00:02:20.320 --> 00:02:23.480]  但當你品格失去的時候
[00:02:23.480 --> 00:02:25.240]  你就失去所有
[00:02:25.240 --> 00:02:28.320]  在這個疫情裏面我們正正可以看見
[00:02:28.320 --> 00:02:31.280]  原來當人去面對惶恐不安的時候
[00:02:31.280 --> 00:02:33.640]  很多我們人的本性
[00:02:33.640 --> 00:02:35.000]  我們的貪婪
[00:02:35.000 --> 00:02:37.760]  我們的自私就出來了
[00:02:37.760 --> 00:02:40.360]  我們為了自己的一些訴求
[00:02:40.360 --> 00:02:43.400]  甚至我們可能不顧大眾的安全
[00:02:43.400 --> 00:02:51.320]  甚至可能犧牲了整個社會的一些安全的保護網
[00:02:51.320 --> 00:02:53.400]  我們看見今天
[00:02:53.400 --> 00:02:56.560]  我們要來說一個真正的品格
[00:02:56.560 --> 00:02:58.560]  一個有品的人是怎樣的呢?
[00:02:58.560 --> 00:03:02.280]  保羅就是一個真正有品的傳道人
[00:03:02.280 --> 00:03:05.440]  而且他可以說是一代的宗師
[00:03:05.440 --> 00:03:07.440]  他在這麼多云云的仕途當中
[00:03:07.440 --> 00:03:10.280]  可以說是一個最偉大的宣教師
[00:03:10.280 --> 00:03:12.960]  他成為我們生命的一個不單見證
[00:03:12.960 --> 00:03:15.320]  他更加激勵我們每一個人
[00:03:15.320 --> 00:03:18.120]  要效法耶穌基督的腳踪行
[00:03:18.120 --> 00:03:22.240]  最近可能有人在網上看過這個文章
[00:03:22.240 --> 00:03:25.920]  說到當你反過來讀COVID-19
[00:03:25.920 --> 00:03:28.520]  這個就是世衛告訴我們
[00:03:28.520 --> 00:03:32.480]  這個縮寫COVID-19的疾病
[00:03:32.480 --> 00:03:34.120]  2019
[00:03:34.120 --> 00:03:36.360]  有人把它倒轉來讀
[00:03:36.360 --> 00:03:37.840]  就是91
[00:03:37.840 --> 00:03:39.520]  DIVOC
