
[00:00:00.000 --> 00:00:02.840]  上一次我們提過出埃及這件事蹟
[00:00:02.840 --> 00:00:07.200]  是大約在公元前1500至1200年之間發生
[00:00:07.200 --> 00:00:11.180]  當時的世界都是面臨史無前例的動盪
[00:00:11.180 --> 00:00:16.720]  近東有很多人正在遷徙 正在移居
[00:00:16.720 --> 00:00:19.840]  想找一個安居之所
[00:00:19.840 --> 00:00:22.780]  我們舉個例子就是海人Sea Peoples
[00:00:22.780 --> 00:00:27.420]  其中一組人就是菲利士人Philistines
[00:00:27.420 --> 00:00:32.720]  在大歷史的圖畫中 以色列人是其中一群正在遷徙
[00:00:32.720 --> 00:00:36.060]  他們在埃及被欺壓了多年
[00:00:36.060 --> 00:00:39.000]  他們離開時前無去路 後有追兵
[00:00:39.000 --> 00:00:43.440]  但有特別的地方是他們發現上帝親自帶領他們
[00:00:43.440 --> 00:00:48.520]  對於今天你和我面對社會政局的不穩
[00:00:48.520 --> 00:00:53.620]  有一種被迫的感覺流散在世界不同的地方
[00:00:53.620 --> 00:00:58.380]  都同樣面對很多的改變 身份的改變 很多未知之數
[00:00:58.380 --> 00:01:04.080]  這樣看出埃及這個故事 似乎對我們來說非常切身
[00:01:04.080 --> 00:01:07.120]  但當我們看出埃及這個技術的時候
[00:01:07.120 --> 00:01:10.460]  我們一定要梳理一下歷史的問題
[00:01:10.460 --> 00:01:13.460]  為什麼呢 因為在舊約聖經裏面
[00:01:13.460 --> 00:01:16.540]  經常提到出埃及這件歷史事蹟
[00:01:16.540 --> 00:01:18.840]  可以這樣說 在舊約歷史當中
[00:01:18.840 --> 00:01:24.720]  出埃及這件事就有如新約的耶穌基督從死裏復活
[00:01:24.720 --> 00:01:27.520]  歷史性都是這麼重要的
[00:01:27.520 --> 00:01:32.700]  但在過去幾十年 越來越多人質疑
[00:01:32.700 --> 00:01:36.900]  為什麼沒有證據證明出埃及這件事件
[00:01:36.900 --> 00:01:42.260]  或者可能出埃及會是很後期虛構的故事
[00:01:42.260 --> 00:01:46.780]  我記得好幾年前在一個香港的電台上受過訪問
[00:01:46.780 --> 00:01:50.740]  主持人問了一個問題 也是很有道理的
[00:01:50.740 --> 00:01:55.680]  他說出埃及這麼大件事 總會有一點點線索吧
[00:01:55.680 --> 00:02:02.420]  居然一點線索都沒有 有些道理我們必須承認
[00:02:02.420 --> 00:02:06.620]  暫時到現在都沒有直接的歷史證明
[00:02:06.620 --> 00:02:10.660]  但是我們這樣說也好 我們都需要留意幾件事
[00:02:10.660 --> 00:02:17.340]  第一 證據的不存在不一定等於不存在的證據
[00:02:17.340 --> 00:02:20.340]  這個你動高床板就要想一想
[00:02:20.340 --> 00:02:25.740]  The absence of evidence is not the evidence of absence
[00:02:25.740 --> 00:02:28.740]  因為很多歷史的事蹟
[00:02:28.740 --> 00:02:32.040]  包括聖經或者聖經以外的歷史事蹟
[00:02:32.040 --> 00:02:35.720]  都未必會找到考古的證據
[00:02:35.720 --> 00:02:38.460]  我們不能夠踏時光機回去以前
[00:02:38.460 --> 00:02:42.620]  將歷史放在化驗室裏面去證明多一次
[00:02:42.620 --> 00:02:44.820]  何況你想想當時的背景
[00:02:44.820 --> 00:02:47.300]  埃及帝國是獨裁的政權
[00:02:47.300 --> 00:02:50.700]  他們不會將失敗的事蹟寫下來
[00:02:50.700 --> 00:02:53.140]  第二件事我們需要留意的
[00:02:53.140 --> 00:02:56.060]  就是當我們想起考古證據的時候
[00:02:56.060 --> 00:03:00.060]  我們對考古證據的要求一定要實際
[00:03:00.060 --> 00:03:03.540]  假設以色列人出埃及的話
[00:03:03.540 --> 00:03:05.260]  你想想他們會帶著什麼
[00:03:05.260 --> 00:03:08.300]  他們好像難民一樣離開埃及
[00:03:08.300 --> 00:03:11.260]  我不知道你有沒有做過服務難民的工作
[00:03:11.260 --> 00:03:15.740]  我記得有一次我參與一個難民服務的工作
[00:03:15.740 --> 00:03:20.620]  去到機場接一家六口從剛果難民營來的難民
[00:03:20.620 --> 00:03:23.500]  六個人他們入境下機的時候
[00:03:23.500 --> 00:03:25.780]  每個人你想想他們帶著什麼
[00:03:25.780 --> 00:03:28.140]  他們只是帶著一個小的膠袋
[00:03:28.140 --> 00:03:29.740]  就是這麼多
[00:03:29.740 --> 00:03:31.300]  所以你再想一想
[00:03:31.300 --> 00:03:35.180]  作為難民甚至作為平民百姓也好
[00:03:35.180 --> 00:03:36.940]  過了一百年之後
[00:03:36.940 --> 00:03:40.300]  你看看我們這一班平民百姓的人
[00:03:40.300 --> 00:03:42.620]  都一定是蕭姓匿跡的
[00:03:42.620 --> 00:03:46.660]  就是說在考古歷史裡面是見不到我們的
[00:03:46.660 --> 00:03:49.500]  所以為什麼有這麼多皇帝想見皇陵
[00:03:49.500 --> 00:03:52.100]  大墳墓有兵馬俑金字塔等等
[00:03:52.100 --> 00:03:54.780]  因為他們想留芳百世
[00:03:54.780 --> 00:03:59.860]  所以沒有考古證據不代表你不存在
[00:03:59.860 --> 00:04:01.820]  再有一點需要留意的
[00:04:01.820 --> 00:04:04.100]  就是如果你真的按照聖經所說
[00:04:04.100 --> 00:04:07.900]  以色列人在埃及住了好幾代
[00:04:07.900 --> 00:04:09.380]  如果他們出埃及的時候
[00:04:09.380 --> 00:04:12.500]  你想想他們帶著什麼實物出來
[00:04:12.500 --> 00:04:16.100]  衣服啊瓷器啊日用品等等
[00:04:16.100 --> 00:04:17.900]  但是這些全部的東西
[00:04:17.900 --> 00:04:19.980]  都必定是埃及製造的
[00:04:19.980 --> 00:04:21.740]  Made in Egypt
[00:04:21.740 --> 00:04:25.060]  所以他們到曠野就算留下這些實物
[00:04:25.060 --> 00:04:28.620]  我們找到我們只會當是有一班人
[00:04:28.620 --> 00:04:32.700]  埃及人他們經過留下過在這裡
[00:04:32.700 --> 00:04:34.180]  舉個很簡單的例子
[00:04:34.180 --> 00:04:38.420]  我的子女都是在美國出生長大的
[00:04:38.420 --> 00:04:41.620]  我看遍他們擁有的實物裡面
[00:04:41.620 --> 00:04:47.660]  我真的找不到哪一樣可以直接表明他們是華裔第二代
[00:04:47.660 --> 00:04:53.060]  除了他們現在在生的樣子是像亞裔的人
[00:04:53.060 --> 00:04:58.020]  但是他們說的想的都是美國本土化的
[00:04:58.020 --> 00:05:01.140]  所以我想如果他們真的化了灰的話
[00:05:01.140 --> 00:05:04.940]  他們的實物是跟其他白人啊黑人啊
[00:05:04.940 --> 00:05:07.900]  這裡的美國人是沒有任何分別的
[00:05:07.900 --> 00:05:10.660]  所以我們對這個考古的證據的要求
[00:05:10.660 --> 00:05:12.540]  是需要實際一點的
[00:05:12.540 --> 00:05:15.860]  我們不會找到一塊石上面寫著
[00:05:15.860 --> 00:05:17.420]  摩西到此一遊
[00:05:17.420 --> 00:05:29.980]  你說沒有直接的歷史考古的證據
[00:05:29.980 --> 00:05:31.340]  那是不是就這樣算了
[00:05:31.340 --> 00:05:32.620]  但其實也不是的
[00:05:32.620 --> 00:05:35.940]  在歷史的探索裡面我們要多問一個問題
