
[00:00:00.000 --> 00:00:02.080]  在我們今天的經文之前
[00:00:02.080 --> 00:00:04.240]  讓我們一起先讀一段聖經
[00:00:04.240 --> 00:00:08.640]  就是哥倫多前書第十章第十三節
[00:00:08.640 --> 00:00:11.360]  哥倫多前書第十章第十三節
[00:00:11.360 --> 00:00:13.840]  讓我們一起開聲去讀
[00:00:13.840 --> 00:00:17.080]  你們所遭遇的每一個試探
[00:00:17.080 --> 00:00:20.360]  無非是一般人所受得了的
[00:00:20.360 --> 00:00:22.160]  上帝是信實的
[00:00:22.160 --> 00:00:26.720]  他絕不讓你們遭遇到無力抵抗的試探
[00:00:26.720 --> 00:00:28.720]  當試探來的時候
[00:00:28.720 --> 00:00:30.720]  他會給你們力量
[00:00:30.720 --> 00:00:32.920]  使你們擔當得起
[00:00:32.920 --> 00:00:35.720]  替你們打開一條出路
[00:00:35.720 --> 00:00:38.640]  哥倫多前書十章第十三節
[00:00:38.640 --> 00:00:40.640]  我們今天一起思想這個題目
[00:00:40.640 --> 00:00:43.040]  就是耶穌的試探
[00:00:43.040 --> 00:00:46.000]  究竟我們怎樣面對人生裡面
[00:00:46.000 --> 00:00:48.680]  各樣的試探、各樣的困難呢?
[00:00:48.680 --> 00:00:49.760]  聖經告訴我們
[00:00:49.760 --> 00:00:52.560]  上帝對每一個屬於祂的兒女
[00:00:52.560 --> 00:00:54.440]  是每一個屬於祂的兒女
[00:00:54.440 --> 00:00:59.920]  上帝已經在她的兒女所經歷各樣的隱憂的事上
[00:00:59.920 --> 00:01:02.400]  已經下了一個界限
[00:01:02.400 --> 00:01:03.680]  一個Limitation(限制)
[00:01:03.680 --> 00:01:05.040]  一個Boundary(限制)
[00:01:05.040 --> 00:01:07.320]  下一個界限的意思就是說
[00:01:07.320 --> 00:01:09.800]  當上帝容許這些事出現的時候
[00:01:09.800 --> 00:01:11.120]  這些事就會出現
[00:01:11.120 --> 00:01:14.000]  到上帝認為這些事應該做完
[00:01:14.000 --> 00:01:16.200]  他的果效應該做完的時候
[00:01:16.200 --> 00:01:21.520]  這些困難、這些隱憂、這些事就會離開
[00:01:21.520 --> 00:01:22.880]  聖經告訴我們
[00:01:22.880 --> 00:01:25.200]  當我們正在經歷這些事的時候
[00:01:25.200 --> 00:01:28.200]  當試探、研究在我們當中的時候
[00:01:28.200 --> 00:01:29.040]  聖經告訴我們
[00:01:29.040 --> 00:01:32.880]  上帝必會讓我們有力量和智慧
[00:01:32.880 --> 00:01:35.280]  讓我們能夠擔當得起
[00:01:35.280 --> 00:01:36.800]  而且祂答應
