
[00:00:00.000 --> 00:00:02.000]  各位電影節目的好
[00:00:02.000 --> 00:00:04.000]  我們踏入2020年
[00:00:04.000 --> 00:00:06.000]  我最近簽了一個Date
[00:00:06.000 --> 00:00:08.000]  這個日子我都寫回2019
[00:00:08.000 --> 00:00:10.000]  實在我們時間很快
[00:00:10.000 --> 00:00:12.000]  盼望在新的一年
[00:00:12.000 --> 00:00:14.000]  我們大家一起
[00:00:14.000 --> 00:00:16.000]  靈明有成長
[00:00:16.000 --> 00:00:18.000]  祝大家新年快樂
[00:00:18.000 --> 00:00:20.000]  我們一起有個禱告
[00:00:20.000 --> 00:00:22.000]  好嗎
[00:00:22.000 --> 00:00:24.000]  天父我們謝謝你
[00:00:24.000 --> 00:00:26.000]  讓我們今天一同去看你的華語
[00:00:26.000 --> 00:00:28.000]  讓我們特別在新的一年
[00:00:28.000 --> 00:00:30.000]  在新的一年
[00:00:30.000 --> 00:00:32.000]  這一段經文幫助我們
[00:00:32.000 --> 00:00:36.000]  提醒我們要不斷地成長
[00:00:36.000 --> 00:00:38.000]  願意帶領你去祝福
[00:00:38.000 --> 00:00:40.000]  祈禱奉主耶穌基督的名
[00:00:40.000 --> 00:00:42.000]  阿們
[00:00:42.000 --> 00:00:46.000]  有一位運動的好手
[00:00:46.000 --> 00:00:50.000]  他是一個肯尼亞人
[00:00:50.000 --> 00:00:52.000]  他叫做Henry Wanyoki
[00:00:52.000 --> 00:00:54.000]  是一個肯尼亞人
[00:00:54.000 --> 00:00:58.000]  在非洲的一個很厲害的賽跑
[00:00:58.000 --> 00:01:00.000]  如果我們看他的人生
[00:01:00.000 --> 00:01:02.000]  都很特別
[00:01:02.000 --> 00:01:04.000]  他現在都三十多歲
[00:01:04.000 --> 00:01:06.000]  接近四十歲
[00:01:06.000 --> 00:01:08.000]  他在二十一歲那年
[00:01:08.000 --> 00:01:10.000]  在一九九五年
[00:01:10.000 --> 00:01:12.000]  他一直都喜歡運動
[00:01:12.000 --> 00:01:14.000]  突然在那一年他患了中風
[00:01:14.000 --> 00:01:16.000]  突然一個年輕人的時候
[00:01:16.000 --> 00:01:18.000]  他發覺很多事情都做不到
[00:01:18.000 --> 00:01:22.000]  視力沒有了九成多
[00:01:22.000 --> 00:01:24.000]  後來他完全瞎了
[00:01:24.000 --> 00:01:26.000]  成為一個瞎了的人
[00:01:26.000 --> 00:01:28.000]  當時很好
[00:01:28.000 --> 00:01:30.000]  因為他媽媽非常愛護他
[00:01:30.000 --> 00:01:32.000]  一個親人
[00:01:32.000 --> 00:01:34.000]  並且送到他
[00:01:34.000 --> 00:01:38.000]  當時一個設備最齊全的
[00:01:38.000 --> 00:01:40.000]  一個基督教的
[00:01:40.000 --> 00:01:42.000]  眼科醫院裡面去治療他
[00:01:42.000 --> 00:01:44.000]  但是當然
[00:01:44.000 --> 00:01:46.000]  他的眼都失去了視力
[00:01:46.000 --> 00:01:48.000]  唯有醫院幫他慢慢康復
[00:01:48.000 --> 00:01:50.000]  這個Henry很喜歡跑步
[00:01:50.000 --> 00:01:52.000]  他說我瞎了
[00:01:52.000 --> 00:01:54.000]  可不可以跑
[00:01:54.000 --> 00:01:56.000]  過了四年之後
[00:01:56.000 --> 00:01:58.000]  醫生就告訴他
[00:01:58.000 --> 00:02:00.000]  你可以試一下
[00:02:00.000 --> 00:02:02.000]  但你需要一個領跑員
[00:02:02.000 --> 00:02:04.000]  領跑員就是有條繩子
[00:02:04.000 --> 00:02:06.000]  這樣拖著
[00:02:06.000 --> 00:02:08.000]  有些訊號
[00:02:08.000 --> 00:02:10.000]  有些指示
[00:02:10.000 --> 00:02:12.000]  你轉左轉右
[00:02:12.000 --> 00:02:14.000]  結果在媽媽的支持
[00:02:14.000 --> 00:02:16.000]  還有醫院的醫生的支持下
[00:02:16.000 --> 00:02:18.000]  他就接受這個訓練
[00:02:18.000 --> 00:02:20.000]  但這個旅程
[00:02:20.000 --> 00:02:22.000]  並不簡單
[00:02:22.000 --> 00:02:24.000]  有時找一些領跑員幫他
[00:02:24.000 --> 00:02:26.000]  有時未能配合
[00:02:26.000 --> 00:02:28.000]  有一次他跑步的時候
[00:02:28.000 --> 00:02:30.000]  路邊有些小朋友
[00:02:30.000 --> 00:02:32.000]  在作弄他
[00:02:32.000 --> 00:02:34.000]  小朋友不太懂事
[00:02:34.000 --> 00:02:36.000]  覺得很好玩
[00:02:36.000 --> 00:02:38.000]  轉左轉右
[00:02:38.000 --> 00:02:40.000]  結果Henry撞到
[00:02:40.000 --> 00:02:42.000]  一個電燈柱
[00:02:42.000 --> 00:02:44.000]  當然
[00:02:44.000 --> 00:02:46.000]  頭破血流
[00:02:46.000 --> 00:02:48.000]  頭上有很多疤痕
[00:02:48.000 --> 00:02:50.000]  有一次
