
[00:00:00.000 --> 00:00:05.400]  我們讀一段聖經,在以色列書第四十章二十七到三十一節
[00:00:05.400 --> 00:00:10.180]  這時候雅各,你為何說我的道路像耶和華隱藏?
[00:00:10.180 --> 00:00:14.140]  以色列,你為何言,我的冤屈神並不查問?
[00:00:14.140 --> 00:00:17.540]  你豈不曾知道嗎?豈不曾聽見嗎?
[00:00:17.540 --> 00:00:22.540]  永在的神耶和華,創造地極的主,並不疲乏也不困倦,
[00:00:22.540 --> 00:00:24.780]  祂的智慧無法測度,
[00:00:24.780 --> 00:00:28.420]  疲乏了祂次能力,軟弱了祂家力量。
[00:00:28.420 --> 00:00:32.060]  以色列,你為何言,我的冤屈神並不查問?
[00:00:32.060 --> 00:00:36.460]  就是少年人也要疲乏困倦,強壯的也必然跌倒。
[00:00:36.460 --> 00:00:38.860]  我們三十一節一同來念來,
[00:00:38.860 --> 00:00:42.360]  但那等候耶和華的必從心得力,
[00:00:42.360 --> 00:00:44.860]  他們必如鷹斬刺上藤,
[00:00:44.860 --> 00:00:49.200]  他們奔跑卻不困倦,行走卻不疲乏。
[00:00:49.200 --> 00:00:50.260]  我們就讀到這裡。
[00:00:50.260 --> 00:00:56.100]  上禮拜加州州長宣佈了要除去室內聚集的口罩令,
[00:00:56.460 --> 00:00:59.460]  當然我們省的卡爾縣永遠是比較緩慢的,
[00:00:59.460 --> 00:01:02.580]  我們暫時不會跟隨州長這個指引,
[00:01:02.580 --> 00:01:09.900]  但無論如何,我們看見整個新冠病毒的疫情已經在走向尾聲了,
[00:01:09.900 --> 00:01:16.340]  各行各業都在積極地準備面對疫情之後的新世界。
[00:01:16.340 --> 00:01:19.900]  當我們看見這一切復甦的現象的時候,
[00:01:19.900 --> 00:01:23.340]  我們就知道一個新的季節已經開始了,
[00:01:24.020 --> 00:01:29.300]  而且在這個新的季節當中, 神已經賜給我們一個嶄新的恩高。
[00:01:29.300 --> 00:01:31.860]  在年初的時候我已經宣告了,
[00:01:31.860 --> 00:01:35.340]  神要賜給我們一個恢復的恩高,
[00:01:35.340 --> 00:01:40.820]  神要帶領我們在生活的每一個領域當中經歷擴張的恩典,
[00:01:40.820 --> 00:01:42.500]  加徵的恩典,
[00:01:42.500 --> 00:01:48.780]  而且神要在我們這新的一年當中賜給我們新的啟示、新的供應。
