
[00:00:00.000 --> 00:00:14.000]  在我沒講到之前,我都對現在的市場有些慷慨講兩句話。
[00:00:14.000 --> 00:00:18.000]  在我講之前,我對現在的市場講兩句話。
[00:00:18.000 --> 00:00:21.000]  番茄好貴呀!
[00:00:21.000 --> 00:00:24.000]  番茄好貴!
[00:00:24.000 --> 00:00:27.000]  現在沒得種了!
[00:00:27.000 --> 00:00:33.000]  以前一個零錢一磅,現在三個幾呀?
[00:00:33.000 --> 00:00:36.000]  以前一塊錢一磅,現在三塊多錢。
[00:00:36.000 --> 00:00:38.000]  什麼都在變的當中。
[00:00:38.000 --> 00:00:40.000]  什麼都在變的當中。
[00:00:40.000 --> 00:00:42.000]  加幣跌到七毛錢呀?
[00:00:42.000 --> 00:00:44.000]  加幣已經跌到七毛錢了。
[00:00:44.000 --> 00:00:47.000]  電油,今次我見到九五九呀。
[00:00:47.000 --> 00:00:51.000]  這個汽油價格就是95.9。
[00:00:51.000 --> 00:00:54.000]  經濟學,電油跌,加幣就跌了呀。
[00:00:54.000 --> 00:00:56.000]  如果看到油價跌,加幣也會跌。
[00:00:56.000 --> 00:00:58.000]  世界都在變的當中了。
[00:00:58.000 --> 00:01:00.000]  世界都在變的當中了。
[00:01:00.000 --> 00:01:03.000]  剛才我們唱了一首歌,現在我們唱一首歌。
[00:01:03.000 --> 00:01:08.000]  你的信實很偉大,你的氣質廣大。
[00:01:08.000 --> 00:01:14.000]  你見不見到春夏秋冬,我喜歡這句話,春夏秋冬。
[00:01:14.000 --> 00:01:19.000]  春夏秋冬四季,我栽種收成。
[00:01:19.000 --> 00:01:21.000]  我栽種收成。
[00:01:21.000 --> 00:01:22.000]  有什麼沒變呢?
[00:01:22.000 --> 00:01:24.000]  有什麼沒變呢?
[00:01:24.000 --> 00:01:26.000]  太陽的陽光。
[00:01:26.000 --> 00:01:28.000]  太陽的陽光。
[00:01:28.000 --> 00:01:30.000]  你去掘地種東西。
[00:01:30.000 --> 00:01:32.000]  你去挖地種珍珠。
[00:01:32.000 --> 00:01:34.000]  你十年前種的番茄。
[00:01:34.000 --> 00:01:36.000]  你十年前種的番茄。
[00:01:36.000 --> 00:01:40.000]  沒有什麼本錢的,你出汗了嘛,是不是?
[00:01:40.000 --> 00:01:42.000]  沒有什麼本錢,就是你出汗而已。
[00:01:42.000 --> 00:01:47.000]  你去那些菜頭菜尾,你都會扔的,做肥田料。
[00:01:47.000 --> 00:01:51.000]  就是說你的菜頭菜尾,那個爛葉子做的肥料。
[00:01:51.000 --> 00:01:57.000]  所以番茄以前是zero cost,不用錢的,是不是?
[00:01:57.000 --> 00:01:59.000]  就是以前的番茄,正式的番茄。
[00:01:59.000 --> 00:02:00.000]  就當是自己種的,不用錢的?
[00:02:00.000 --> 00:02:01.000]  自己種番茄,正式的番茄。
[00:02:01.000 --> 00:02:04.000]  你今年去自己種,一樣不用錢的?
[00:02:04.000 --> 00:02:07.000]  就是你自己種,你譬如說不要錢。
[00:02:07.000 --> 00:02:09.000]  你見不見到一樣東西沒有變,上帝給我們的陽光呢?
[00:02:09.000 --> 00:02:12.000]  你看有的時候沒變,上帝給我們的陽光。
[00:02:12.000 --> 00:02:13.000]  有沒有變呢?
[00:02:13.000 --> 00:02:14.000]  有沒有變?
[00:02:14.000 --> 00:02:15.000]  沒有,但你也要不變。
[00:02:15.000 --> 00:02:16.000]  你也要不變。
[00:02:16.000 --> 00:02:17.000]  你要勤力去種。
[00:02:17.000 --> 00:02:18.000]  你要勤力去做。
[00:02:18.000 --> 00:02:19.000]  收割番茄呢?
[00:02:19.000 --> 00:02:21.000]  收割的番茄呢?
[00:02:21.000 --> 00:02:25.000]  你就不會吃到三元磅的番茄了,是不是?
[00:02:25.000 --> 00:02:27.000]  你就不會吃到三塊皮一塊的番茄。
[00:02:27.000 --> 00:02:29.000]  而且還好吃過三元磅的那些,是不是?
[00:02:29.000 --> 00:02:30.000]  那些比較好吃。
[00:02:30.000 --> 00:02:33.000]  給我看到一樣東西呢,上帝是不變的,上帝。
[00:02:33.000 --> 00:02:35.000]  讓我看到這件事情,上帝是不變的。
[00:02:35.000 --> 00:02:36.000]  他所做的太陽呢?
[00:02:36.000 --> 00:02:40.000]  他所做的太陽,春夏秋冬,春夏秋冬。
[00:02:40.000 --> 00:02:44.000]  什麼時候,太陽什麼時候起床?
[00:02:44.000 --> 00:02:45.000]  太陽什麼時候起床?
[00:02:45.000 --> 00:02:47.000]  對不起,我用了一個人,當個二人話。
[00:02:47.000 --> 00:02:49.000]  我用了一個人,當個二人話。
[00:02:49.000 --> 00:02:51.000]  太陽什麼時候起床?
[00:02:51.000 --> 00:02:53.000]  太陽什麼時候起床?
[00:02:53.000 --> 00:02:54.000]  是不是很有規律?
[00:02:54.000 --> 00:02:55.000]  是不是很有規律?
[00:02:55.000 --> 00:02:58.000]  但是你也要很有規律去配合。
[00:02:58.000 --> 00:03:00.000]  你要同樣要很有規律去配合。
[00:03:00.000 --> 00:03:05.000]  看到我講到就是呢,上帝給了很多東西,頒布了。
[00:03:05.000 --> 00:03:06.000]  上帝頒布了很多東西。
[00:03:06.000 --> 00:03:07.000]  你要去配合。
[00:03:07.000 --> 00:03:09.000]  你要去配合。
[00:03:09.000 --> 00:03:10.000]  回到我們今天的聖經。
[00:03:10.000 --> 00:03:12.000]  看看我們今天的聖經。
[00:03:12.000 --> 00:03:13.000]  上帝講了一句話。
