
[00:00:00.000 --> 00:00:02.100]  我今天選擇了一個題目
[00:00:02.100 --> 00:00:03.400]  來跟大家分享
[00:00:03.400 --> 00:00:06.500]  「舊事已過,新做的我」
[00:00:06.500 --> 00:00:07.100]  我們經常說
[00:00:07.100 --> 00:00:08.400]  「算耶穌的人」
[00:00:08.400 --> 00:00:10.600]  有些事情我們會過去
[00:00:10.600 --> 00:00:13.900]  但有些事情我們會有新的
[00:00:13.900 --> 00:00:16.100]  「舊事已過,新做的我」
[00:00:16.100 --> 00:00:17.300]  說的是
[00:00:17.300 --> 00:00:18.300]  我們算耶穌之後
[00:00:18.300 --> 00:00:19.500]  生命起了一些變化
[00:00:19.500 --> 00:00:22.100]  由舊到新
[00:00:22.100 --> 00:00:24.600]  有三點很想跟大家一起分享
[00:00:24.600 --> 00:00:25.700]  第一個是
[00:00:25.700 --> 00:00:27.300]  由舊我的身份
[00:00:27.300 --> 00:00:30.000]  去到一個新我的身份
[00:00:30.000 --> 00:00:32.900]  聖經裏面記載一位偉大人物
[00:00:32.900 --> 00:00:34.200]  叫做保羅
[00:00:34.200 --> 00:00:36.000]  他曾經寫了一段
[00:00:36.000 --> 00:00:38.100]  這樣的信仰宣言
[00:00:38.100 --> 00:00:39.200]  聽我讀
[00:00:39.200 --> 00:00:41.600]  「我已經與基督同釘十字架」
[00:00:41.600 --> 00:00:43.900]  「現在活著的不再是我」
[00:00:43.900 --> 00:00:46.100]  「乃是基督在我裏面活著」
[00:00:46.100 --> 00:00:48.300]  「並且我如今在肉身活著」
[00:00:48.300 --> 00:00:50.800]  「是因信神的兒子而活」
[00:00:50.800 --> 00:00:54.000]  「他是愛我,為我捨己」
[00:00:54.000 --> 00:00:56.100]  在這裏我們可以看到
[00:00:56.100 --> 00:01:00.100]  「已經與基督同釘十字架」的兩個結果
[00:01:00.100 --> 00:01:00.800]  第一
[00:01:00.800 --> 00:01:02.800]  保羅說「不再是我」
[00:01:02.800 --> 00:01:04.700]  「不再是我」的意思是
[00:01:04.700 --> 00:01:06.700]  「不再是我活」
[00:01:06.700 --> 00:01:08.200]  「乃是基督」
[00:01:08.200 --> 00:01:09.300]  甚麼是「不再是我」
[00:01:09.300 --> 00:01:10.500]  「乃是基督」呢
[00:01:10.500 --> 00:01:12.000]  即不是「我」
[00:01:12.000 --> 00:01:13.700]  「不再是我活」
[00:01:13.700 --> 00:01:15.400]  那是誰活呢
[00:01:15.400 --> 00:01:18.300]  而是「基督在我裏面活著」
[00:01:18.300 --> 00:01:19.500]  意思是
[00:01:19.500 --> 00:01:20.900]  「不再是我」不是指
[00:01:20.900 --> 00:01:23.300]  我們舊的「我」消失了
[00:01:23.300 --> 00:01:26.600]  即我信了耶穌之後依然都是穩天照
[00:01:26.600 --> 00:01:28.500]  剛才聚會之前講一下
[00:01:28.500 --> 00:01:29.500]  我們教會裏面
[00:01:29.500 --> 00:01:32.300]  都有少少基督徒的藝人在當中
[00:01:32.300 --> 00:01:33.900]  我介紹嘉嘉、何嘉麗
[00:01:33.900 --> 00:01:35.700]  他說「原來你們小時候已經認識」
[00:01:35.700 --> 00:01:39.300]  「不知道是否住在同一區」
[00:01:39.300 --> 00:01:40.500]  這樣都認得到
[00:01:40.500 --> 00:01:41.400]  是因為無變
[00:01:41.400 --> 00:01:43.000]  信了耶穌之後都是這樣的樣子
[00:01:43.000 --> 00:01:44.800]  「這個是舊的我」
[00:01:44.800 --> 00:01:46.000]  「變成新的我又怎樣」
[00:01:46.000 --> 00:01:47.500]  「難道我們真的不同了」
[00:01:47.500 --> 00:01:48.800]  有機會我們變漂亮了
[00:01:48.800 --> 00:01:50.300]  但亦有機會我們怎樣
[00:01:50.300 --> 00:01:51.100]  皺紋多了
[00:01:51.100 --> 00:01:53.100]  白頭髮多了
[00:01:53.100 --> 00:01:54.700]  「舊的我」
[00:01:54.700 --> 00:01:56.700]  他說「基督在我裏面活著」
[00:01:56.700 --> 00:01:58.400]  是甚麼意思呢
[00:01:58.400 --> 00:02:00.700]  我依然是這個人
[00:02:00.700 --> 00:02:03.000]  甚麼血型依然都是這樣
[00:02:03.000 --> 00:02:04.500]  有時是今生而改
[00:02:04.500 --> 00:02:05.300]  本性難移
[00:02:05.300 --> 00:02:07.000]  我都是這樣
[00:02:07.000 --> 00:02:09.000]  但舊事已過
[00:02:09.000 --> 00:02:11.300]  新做的我是甚麼呢
[00:02:11.300 --> 00:02:13.400]  是基督在我們裏面活著
[00:02:13.400 --> 00:02:14.900]  即是我這個人
[00:02:14.900 --> 00:02:16.200]  是加上了耶穌
[00:02:16.200 --> 00:02:17.900]  好像你們看到這個框框
[00:02:17.900 --> 00:02:19.100]  我們這個藍色的人
[00:02:19.100 --> 00:02:21.600]  但我裏面多了耶穌
[00:02:21.600 --> 00:02:25.300]  是耶穌基督在我們裏面活著
[00:02:25.300 --> 00:02:26.800]  在這裏保羅提到
[00:02:26.800 --> 00:02:29.000]  他是與基督同釘十字架
[00:02:29.000 --> 00:02:31.400]  釘十字架的結果是甚麼呢
[00:02:31.400 --> 00:02:32.600]  是死
[00:02:32.600 --> 00:02:35.400]  所以與基督同釘十字架的意思是
[00:02:35.400 --> 00:02:38.300]  他已經與基督同死
[00:02:38.300 --> 00:02:39.600]  他已經與基督同死
[00:02:39.600 --> 00:02:40.200]  不是吧
[00:02:40.200 --> 00:02:41.500]  耶穌基督二千多年前
[00:02:41.500 --> 00:02:43.000]  被釘死在十字架裏
[00:02:43.000 --> 00:02:44.000]  他真的死了
[00:02:44.000 --> 00:02:45.300]  保羅有沒有與耶穌基督
[00:02:45.300 --> 00:02:46.900]  一起釘十字架
[00:02:46.900 --> 00:02:47.700]  沒有
[00:02:47.700 --> 00:02:49.500]  與耶穌基督一起釘十字架
[00:02:49.500 --> 00:02:51.800]  那兩個是強盜
[00:02:51.800 --> 00:02:53.000]  是犯人
[00:02:53.000 --> 00:02:54.100]  保羅當時不是
