
[00:00:00.000 --> 00:00:02.120]  上星期日是母親節
[00:00:02.120 --> 00:00:04.800]  下個月亦有父親節
[00:00:04.800 --> 00:00:09.680]  一般人都很認同父母的愛是最偉大的
[00:00:09.680 --> 00:00:12.200]  是最沒有條件的
[00:00:12.200 --> 00:00:15.240]  總會給最好的東西給子女
[00:00:15.240 --> 00:00:18.800]  要用盡方法去保護自己的子女
[00:00:18.800 --> 00:00:22.600]  不過其實愛原來也要學習的
[00:00:22.600 --> 00:00:25.600]  最近我看到一則分享
[00:00:25.600 --> 00:00:27.120]  都頗有趣的
[00:00:27.120 --> 00:00:29.800]  有一對高學歷的年輕夫婦
[00:00:29.800 --> 00:00:32.000]  生了一個寶貝兒子
[00:00:32.000 --> 00:00:34.280]  他們很緊張
[00:00:34.280 --> 00:00:37.080]  簡直是萬千寵愛
[00:00:37.080 --> 00:00:39.880]  兒子平日有什麼不喜歡
[00:00:39.880 --> 00:00:41.920]  都會大吵大鬧
[00:00:41.920 --> 00:00:45.320]  兩夫妻都會盡力去哄他
[00:00:45.320 --> 00:00:46.760]  要什麼有什麼
[00:00:46.760 --> 00:00:49.360]  總之都遷就兒子
[00:00:49.360 --> 00:00:51.480]  有一次
[00:00:51.480 --> 00:00:56.080]  有朋友一家大小上去吃飯
[00:00:56.080 --> 00:00:58.320]  兒子在生氣
[00:00:58.320 --> 00:01:00.280]  又哭又生氣
[00:01:00.280 --> 00:01:03.880]  總是不讓人進屋
[00:01:03.880 --> 00:01:05.520]  父母對他搞不定
[00:01:05.520 --> 00:01:07.200]  怎麼辦呢
[00:01:07.200 --> 00:01:09.720]  唯有在門口跟他說
[00:01:09.720 --> 00:01:12.800]  不如你們到家多走半小時
[00:01:12.800 --> 00:01:14.760]  給我一點時間
[00:01:14.760 --> 00:01:16.760]  半小時走站
[00:01:16.760 --> 00:01:19.280]  終於哄哄了兒子
[00:01:19.280 --> 00:01:23.360]  大家吃飯吧
[00:01:23.360 --> 00:01:25.200]  兒子突然嫌棄其他人的小孩
[00:01:25.200 --> 00:01:27.800]  吃了他想吃的那隻雞翼
